repo,month,health_file_commit_count
airflow,2020-06,1
airflow,2020-07,20
airflow,2020-08,27
airflow,2020-09,17
airflow,2020-10,18
airflow,2020-11,26
airflow,2020-12,22
airflow,2021-01,18
airflow,2021-02,15
airflow,2021-03,7
airflow,2021-04,12
airflow,2021-05,17
airflow,2021-06,15
airflow,2021-07,13
airflow,2021-08,14
airflow,2021-09,9
airflow,2021-10,10
airflow,2021-11,7
airflow,2021-12,7
airflow,2022-01,7
airflow,2022-02,12
airflow,2022-03,12
airflow,2022-04,13
airflow,2022-05,14
airflow,2022-06,10
airflow,2022-07,10
airflow,2022-08,7
airflow,2022-09,5
airflow,2022-10,6
airflow,2022-11,5
airflow,2022-12,7
airflow,2023-01,5
airflow,2023-02,3
airflow,2023-03,5
airflow,2023-04,8
airflow,2023-05,14
airflow,2023-06,5
airflow,2023-07,10
airflow,2023-08,11
airflow,2023-09,7
airflow,2023-10,10
airflow,2023-11,14
airflow,2023-12,9
airflow,2024-01,15
airflow,2024-02,1
airflow,2024-03,8
airflow,2024-04,3
airflow,2024-05,6
airflow,2024-06,2
airflow,2024-07,3
airflow,2024-08,4
airflow,2024-09,2
airflow,2024-10,4
airflow,2024-11,4
airflow,2024-12,3
airflow,2025-01,2
airflow,2025-02,3
airflow,2025-03,5
airflow,2025-04,6
airflow,2025-05,8
airflow,2025-06,5
