repo,year,bus50,doc_only_rate,touch_commits
metasploit-framework,1,2.0,0.888889,9
metasploit-framework,2,4.0,0.916667,12
metasploit-framework,3,3.0,0.833333,12
metasploit-framework,4,2.0,1.0,11
metasploit-framework,5,2.0,1.0,18
metasploit-framework,6,2.0,1.0,6
metasploit-framework,7,3.0,1.0,21
metasploit-framework,8,1.0,1.0,4
metasploit-framework,9,2.0,1.0,10
metasploit-framework,10,2.0,0.75,8
juice-shop,1,2.0,0.789809,157
juice-shop,2,2.0,0.7125,80
juice-shop,3,1.0,0.884058,69
juice-shop,4,2.0,0.755556,45
juice-shop,5,1.0,0.633333,30
juice-shop,6,1.0,0.4375,32
juice-shop,7,1.0,0.586207,29
juice-shop,8,1.0,0.695652,23
juice-shop,9,1.0,0.45,20
juice-shop,10,2.0,0.48,25
flask,1,5.0,0.571429,14
flask,2,2.0,0.833333,12
flask,3,4.0,0.846154,13
flask,4,1.0,0.647059,17
flask,5,1.0,0.833333,12
flask,6,2.0,0.75,4
flask,7,1.0,0.666667,6
flask,8,1.0,0.333333,3
flask,9,1.0,1.0,4
flask,10,1.0,1.0,2
terraform,1,2.0,1.0,1567
terraform,2,2.0,0.990683,322
terraform,3,2.0,0.994048,168
terraform,4,3.0,0.996491,285
terraform,5,3.0,0.989305,187
terraform,6,3.0,0.987805,82
terraform,7,3.0,0.979592,98
terraform,8,3.0,0.77305,141
terraform,9,3.0,0.472527,91
terraform,10,1.0,0.113636,44
FFmpeg,1,6.0,0.472727,165
FFmpeg,2,8.0,0.268657,134
FFmpeg,3,1.0,0.294872,78
FFmpeg,4,3.0,0.336735,98
FFmpeg,5,2.0,0.176471,102
FFmpeg,6,2.0,0.208955,67
FFmpeg,7,2.0,0.373494,83
FFmpeg,8,7.0,0.576471,85
FFmpeg,9,2.0,0.779221,77
FFmpeg,10,8.0,0.529412,85
aspnetcore,1,7.0,0.847619,105
aspnetcore,2,5.0,0.851675,209
aspnetcore,3,2.0,0.586667,225
aspnetcore,4,2.0,0.666667,9
aspnetcore,5,2.0,0.888889,9
aspnetcore,6,2.0,0.75,8
aspnetcore,7,4.0,0.875,8
aspnetcore,8,1.0,1.0,5
aspnetcore,9,1.0,1.0,2
aspnetcore,10,2.0,0.75,4
Marlin,1,2.0,1.0,11
Marlin,2,1.0,0.9,10
Marlin,3,3.0,1.0,6
Marlin,4,2.0,0.75,12
Marlin,5,4.0,0.444444,9
Marlin,6,1.0,1.0,3
Marlin,7,3.0,0.7,10
Marlin,8,1.0,0.857143,7
Marlin,9,2.0,0.7,10
Marlin,10,1.0,0.571429,7
jekyll,1,1.0,0.99536,431
jekyll,2,1.0,0.990826,436
jekyll,3,1.0,0.98893,271
jekyll,4,1.0,1.0,188
jekyll,5,1.0,0.987179,156
jekyll,6,1.0,0.988235,85
jekyll,7,1.0,0.983051,59
jekyll,8,1.0,1.0,48
jekyll,9,1.0,0.964286,56
jekyll,10,1.0,1.0,17
PHPMailer,1,1.0,0.847826,46
PHPMailer,2,1.0,0.85,40
PHPMailer,3,1.0,0.769231,13
PHPMailer,4,1.0,0.777778,36
PHPMailer,5,1.0,0.722222,36
PHPMailer,6,1.0,0.833333,30
PHPMailer,7,1.0,0.6,20
PHPMailer,8,1.0,0.714286,14
PHPMailer,9,1.0,0.733333,15
PHPMailer,10,1.0,0.666667,27
go,1,2.0,1.0,12
go,2,2.0,0.961538,26
go,3,4.0,1.0,15
go,4,5.0,1.0,16
go,5,7.0,1.0,13
go,6,11.0,1.0,25
go,7,2.0,1.0,5
go,8,1.0,1.0,1
go,9,1.0,1.0,2
go,10,1.0,1.0,1
core,1,3.0,0.75,20
core,2,4.0,0.909091,11
core,3,5.0,0.842105,19
core,4,1.0,1.0,10
core,5,2.0,1.0,8
core,6,2.0,1.0,4
core,7,3.0,1.0,8
core,8,3.0,0.6,5
core,9,2.0,0.666667,3
core,10,2.0,1.0,3
bootstrap,1,3.0,0.740741,27
bootstrap,2,3.0,0.545455,44
bootstrap,3,2.0,0.638889,36
bootstrap,4,2.0,0.75,20
bootstrap,5,1.0,0.612903,31
bootstrap,6,1.0,0.666667,21
bootstrap,7,1.0,0.521739,23
bootstrap,8,2.0,0.545455,11
bootstrap,9,2.0,0.222222,9
bootstrap,10,2.0,0.285714,7
dotfiles,1,1.0,0.666667,3
dotfiles,2,1.0,1.0,1
dotfiles,3,,,0
dotfiles,4,1.0,1.0,1
dotfiles,5,1.0,0.5,2
dotfiles,6,,,0
dotfiles,7,,,0
dotfiles,8,,,0
dotfiles,9,,,0
dotfiles,10,,,0
Chart.js,1,2.0,0.736842,19
Chart.js,2,1.0,0.714286,7
Chart.js,3,2.0,0.833333,6
Chart.js,4,1.0,1.0,1
Chart.js,5,2.0,0.75,8
Chart.js,6,3.0,1.0,5
Chart.js,7,1.0,0.9,10
Chart.js,8,1.0,1.0,2
Chart.js,9,,,0
Chart.js,10,,,0
WordPress,1,3.0,1.0,7
WordPress,2,1.0,1.0,2
WordPress,3,1.0,1.0,6
WordPress,4,1.0,1.0,5
WordPress,5,1.0,1.0,4
WordPress,6,2.0,1.0,9
WordPress,7,1.0,1.0,6
WordPress,8,3.0,1.0,7
WordPress,9,1.0,1.0,4
WordPress,10,2.0,1.0,5
react-native,1,5.0,0.857143,35
react-native,2,2.0,0.775,40
react-native,3,2.0,0.774194,31
react-native,4,7.0,0.769231,13
react-native,5,4.0,0.857143,7
react-native,6,3.0,0.818182,22
react-native,7,3.0,0.947368,38
react-native,8,5.0,0.967213,61
react-native,9,2.0,1.0,85
react-native,10,4.0,0.922078,77
pdf.js,1,1.0,1.0,9
pdf.js,2,2.0,0.916667,12
pdf.js,3,4.0,1.0,7
pdf.js,4,1.0,0.666667,6
pdf.js,5,1.0,1.0,6
pdf.js,6,1.0,0.666667,3
pdf.js,7,1.0,0.833333,6
pdf.js,8,1.0,0.75,4
pdf.js,9,2.0,0.909091,11
pdf.js,10,1.0,0.25,4
DefinitelyTyped,1,1.0,0.763889,72
DefinitelyTyped,2,4.0,0.935484,31
DefinitelyTyped,3,2.0,1.0,26
DefinitelyTyped,4,3.0,0.969697,33
DefinitelyTyped,5,2.0,0.903846,52
DefinitelyTyped,6,4.0,0.952381,21
DefinitelyTyped,7,6.0,0.933333,15
DefinitelyTyped,8,3.0,0.793103,29
DefinitelyTyped,9,2.0,0.875,8
DefinitelyTyped,10,2.0,0.25,4
Python,1,3.0,0.5,46
Python,2,2.0,0.909091,22
Python,3,4.0,0.95,20
Python,4,1.0,0.785714,14
Python,5,1.0,0.736842,19
Python,6,2.0,0.772727,22
Python,7,2.0,0.894737,19
Python,8,1.0,0.875,16
Python,9,1.0,0.785714,14
Python,10,1.0,0.928571,14
grpc,1,4.0,0.75,12
grpc,2,4.0,1.0,21
grpc,3,4.0,0.947368,19
grpc,4,6.0,0.921053,76
grpc,5,3.0,0.909091,55
grpc,6,4.0,0.967742,62
grpc,7,2.0,0.857143,7
grpc,8,4.0,1.0,10
grpc,9,3.0,1.0,8
grpc,10,2.0,0.8,5
framework,1,1.0,0.875,24
framework,2,4.0,1.0,9
framework,3,1.0,1.0,14
framework,4,1.0,0.875,8
framework,5,2.0,0.8,5
framework,6,1.0,1.0,36
framework,7,1.0,0.990991,111
framework,8,1.0,0.97619,126
framework,9,1.0,1.0,113
framework,10,1.0,1.0,100
guava,1,2.0,0.866667,15
guava,2,2.0,0.962963,27
guava,3,1.0,1.0,6
guava,4,1.0,0.833333,12
guava,5,1.0,0.375,8
guava,6,1.0,0.25,4
guava,7,1.0,0.666667,3
guava,8,1.0,0.333333,18
guava,9,1.0,0.214286,14
guava,10,1.0,0.666667,9
flink,1,3.0,0.75,12
flink,2,5.0,0.9,10
flink,3,2.0,0.166667,6
flink,4,3.0,0.666667,12
flink,5,3.0,0.8,5
flink,6,3.0,0.444444,9
flink,7,4.0,0.375,8
flink,8,2.0,0.8,5
flink,9,2.0,0.666667,6
flink,10,1.0,0.5,4
minimal-mistakes,1,1.0,0.610526,95
minimal-mistakes,2,1.0,0.835681,213
minimal-mistakes,3,1.0,0.753521,142
minimal-mistakes,4,1.0,0.791667,96
minimal-mistakes,5,1.0,0.797619,84
minimal-mistakes,6,1.0,0.909091,44
minimal-mistakes,7,1.0,1.0,2
minimal-mistakes,8,1.0,0.596491,57
minimal-mistakes,9,1.0,0.6,25
minimal-mistakes,10,1.0,0.529412,17
redis,1,1.0,1.0,4
redis,2,1.0,1.0,1
redis,3,4.0,0.777778,9
redis,4,2.0,0.666667,3
redis,5,4.0,0.6875,16
redis,6,3.0,0.625,8
redis,7,2.0,0.75,4
redis,8,4.0,0.571429,7
redis,9,1.0,0.852941,34
redis,10,1.0,1.0,11
ardupilot,1,6.0,1.0,11
ardupilot,2,5.0,1.0,11
ardupilot,3,2.0,1.0,11
ardupilot,4,3.0,1.0,7
ardupilot,5,4.0,1.0,9
ardupilot,6,5.0,0.857143,14
ardupilot,7,,,0
ardupilot,8,2.0,1.0,3
ardupilot,9,1.0,1.0,1
ardupilot,10,1.0,0.916667,12
material-ui,1,1.0,0.6,30
material-ui,2,1.0,0.914815,270
material-ui,3,1.0,0.795652,230
material-ui,4,1.0,0.496296,135
material-ui,5,1.0,0.66087,115
material-ui,6,2.0,0.496124,129
material-ui,7,3.0,0.463636,110
material-ui,8,3.0,0.526316,133
material-ui,9,3.0,0.518182,110
material-ui,10,3.0,0.509091,55
mybatis-3,1,1.0,1.0,1
mybatis-3,2,1.0,1.0,2
mybatis-3,3,1.0,1.0,4
mybatis-3,4,1.0,1.0,2
mybatis-3,5,1.0,1.0,1
mybatis-3,6,1.0,1.0,2
mybatis-3,7,1.0,0.75,8
mybatis-3,8,1.0,1.0,1
mybatis-3,9,2.0,1.0,3
mybatis-3,10,1.0,1.0,2
ionic-framework,1,3.0,0.784483,116
ionic-framework,2,2.0,0.384615,26
ionic-framework,3,2.0,0.315789,76
ionic-framework,4,2.0,0.328125,64
ionic-framework,5,1.0,0.186047,43
ionic-framework,6,1.0,0.179104,67
ionic-framework,7,1.0,0.19,100
ionic-framework,8,1.0,0.086022,93
ionic-framework,9,1.0,0.085714,35
ionic-framework,10,1.0,0.0,44
imgui,1,1.0,0.944444,18
imgui,2,1.0,0.926667,150
imgui,3,1.0,0.961905,105
imgui,4,1.0,1.0,4
imgui,5,1.0,1.0,2
imgui,6,1.0,1.0,4
imgui,7,1.0,1.0,1
imgui,8,1.0,0.75,4
imgui,9,1.0,1.0,2
imgui,10,1.0,1.0,2
TypeScript,1,3.0,0.571429,28
TypeScript,2,3.0,0.705882,34
TypeScript,3,5.0,0.896552,29
TypeScript,4,4.0,0.846154,13
TypeScript,5,6.0,0.8125,16
TypeScript,6,4.0,1.0,8
TypeScript,7,1.0,0.5,8
TypeScript,8,2.0,1.0,6
TypeScript,9,1.0,1.0,1
TypeScript,10,1.0,0.888889,9
scikit-learn,1,6.0,0.916667,36
scikit-learn,2,2.0,0.75,16
scikit-learn,3,9.0,0.761905,21
scikit-learn,4,4.0,0.9375,16
scikit-learn,5,4.0,0.875,16
scikit-learn,6,3.0,0.826087,23
scikit-learn,7,3.0,0.833333,18
scikit-learn,8,4.0,0.9,20
scikit-learn,9,3.0,0.666667,15
scikit-learn,10,4.0,0.695652,23
rust,1,5.0,0.710938,256
rust,2,8.0,0.691131,327
rust,3,9.0,0.898649,444
rust,4,9.0,0.921717,396
rust,5,12.0,0.846652,463
rust,6,18.0,0.840237,338
rust,7,15.0,0.823864,352
rust,8,7.0,0.806154,325
rust,9,11.0,0.83871,248
rust,10,9.0,0.791411,163
animate.css,1,3.0,0.947368,19
animate.css,2,5.0,0.785714,14
animate.css,3,2.0,0.8,15
animate.css,4,1.0,0.923077,13
animate.css,5,1.0,1.0,6
animate.css,6,2.0,0.6,5
animate.css,7,,,0
animate.css,8,1.0,1.0,1
animate.css,9,,,0
animate.css,10,,,0
jquery,1,1.0,0.666667,6
jquery,2,2.0,0.833333,6
jquery,3,1.0,1.0,5
jquery,4,1.0,0.583333,12
jquery,5,1.0,0.5,2
jquery,6,1.0,1.0,5
jquery,7,1.0,0.666667,3
jquery,8,1.0,0.5,10
jquery,9,1.0,0.666667,6
jquery,10,1.0,0.583333,12
express,1,1.0,0.342105,76
express,2,1.0,0.222222,63
express,3,1.0,0.358974,39
express,4,2.0,0.4,5
express,5,3.0,1.0,5
express,6,1.0,0.393443,61
express,7,1.0,0.555556,9
express,8,2.0,0.666667,33
express,9,3.0,0.424658,73
express,10,4.0,0.826087,23
nvm,1,,,0
nvm,2,,,0
nvm,3,,,0
nvm,4,,,0
nvm,5,,,0
nvm,6,,,0
nvm,7,,,0
nvm,8,,,0
nvm,9,,,0
nvm,10,,,0
three.js,1,5.0,1.0,19
three.js,2,2.0,0.823529,17
three.js,3,1.0,0.555556,27
three.js,4,1.0,0.606061,33
three.js,5,2.0,0.866667,30
three.js,6,2.0,0.823529,17
three.js,7,1.0,0.833333,6
three.js,8,2.0,1.0,6
three.js,9,2.0,1.0,8
three.js,10,1.0,1.0,4
angular,1,5.0,0.900709,141
angular,2,5.0,0.934783,138
angular,3,4.0,0.587719,114
angular,4,3.0,0.669173,133
angular,5,5.0,0.761006,159
angular,6,4.0,0.652482,141
angular,7,3.0,0.78626,131
angular,8,4.0,0.769841,126
angular,9,4.0,0.727273,143
angular,10,5.0,0.757764,161
grafana,1,2.0,0.97026,269
grafana,2,2.0,0.975524,286
grafana,3,1.0,0.969267,423
grafana,4,5.0,0.858407,113
grafana,5,4.0,0.882353,102
grafana,6,1.0,0.879121,91
grafana,7,1.0,0.968085,94
grafana,8,3.0,0.938596,114
grafana,9,3.0,0.981308,107
grafana,10,2.0,0.90625,32
netty,1,2.0,0.666667,3
netty,2,2.0,0.0,4
netty,3,1.0,0.0,1
netty,4,2.0,0.0,3
netty,5,1.0,0.789474,19
netty,6,4.0,0.818182,11
netty,7,1.0,1.0,3
netty,8,1.0,0.0,1
netty,9,1.0,0.0,2
netty,10,2.0,0.333333,3
scrapy,1,2.0,1.0,8
scrapy,2,1.0,0.0,3
scrapy,3,1.0,0.666667,3
scrapy,4,2.0,0.5,6
scrapy,5,1.0,0.5,6
scrapy,6,1.0,1.0,3
scrapy,7,3.0,0.8,5
scrapy,8,1.0,0.5,4
scrapy,9,1.0,0.444444,9
scrapy,10,2.0,0.6,10
numpy,1,1.0,1.0,2
numpy,2,2.0,0.857143,7
numpy,3,3.0,0.777778,18
numpy,4,2.0,0.875,8
numpy,5,4.0,0.964286,28
numpy,6,3.0,1.0,14
numpy,7,2.0,0.8,5
numpy,8,2.0,1.0,3
numpy,9,2.0,1.0,4
numpy,10,1.0,1.0,9
Ghost,1,2.0,0.529412,17
Ghost,2,3.0,0.954545,22
Ghost,3,2.0,0.851852,27
Ghost,4,2.0,0.75,12
Ghost,5,1.0,0.928571,14
Ghost,6,2.0,0.9,10
Ghost,7,1.0,1.0,13
Ghost,8,1.0,1.0,6
Ghost,9,2.0,1.0,8
Ghost,10,2.0,0.888889,9
ansible,1,6.0,0.991071,224
ansible,2,6.0,0.937759,241
ansible,3,3.0,0.923077,13
ansible,4,2.0,0.75,4
ansible,5,2.0,1.0,8
ansible,6,1.0,1.0,2
ansible,7,1.0,1.0,1
ansible,8,3.0,0.714286,7
ansible,9,1.0,1.0,1
ansible,10,1.0,1.0,3
bitcoin,1,5.0,0.666667,21
bitcoin,2,6.0,0.785714,14
bitcoin,3,5.0,0.857143,14
bitcoin,4,2.0,0.875,24
bitcoin,5,2.0,0.538462,13
bitcoin,6,2.0,0.65,20
bitcoin,7,2.0,0.5,8
bitcoin,8,2.0,0.363636,11
bitcoin,9,2.0,0.4,15
bitcoin,10,1.0,0.533333,15
airflow,1,25.0,0.935897,78
airflow,2,36.0,0.962264,106
airflow,3,40.0,0.882022,178
airflow,4,13.0,0.712821,195
airflow,5,4.0,0.606335,221
airflow,6,3.0,0.526316,133
airflow,7,4.0,0.411765,85
airflow,8,4.0,0.292929,99
airflow,9,4.0,0.23913,46
airflow,10,3.0,0.12069,58
FreeRDP,1,,,0
FreeRDP,2,1.0,0.714286,7
FreeRDP,3,1.0,0.25,4
FreeRDP,4,1.0,0.666667,3
FreeRDP,5,2.0,1.0,3
FreeRDP,6,1.0,1.0,3
FreeRDP,7,1.0,1.0,1
FreeRDP,8,1.0,0.944444,18
FreeRDP,9,1.0,0.928571,28
FreeRDP,10,1.0,1.0,21
todomvc,1,,,0
todomvc,2,2.0,1.0,3
todomvc,3,1.0,0.8,5
todomvc,4,,,0
todomvc,5,,,0
todomvc,6,,,0
todomvc,7,,,0
todomvc,8,1.0,0.0,2
todomvc,9,,,0
todomvc,10,1.0,0.5,2
nixpkgs,1,6.0,1.0,15
nixpkgs,2,4.0,0.966667,30
nixpkgs,3,6.0,0.897436,39
nixpkgs,4,12.0,0.959184,49
nixpkgs,5,3.0,1.0,13
nixpkgs,6,7.0,1.0,33
nixpkgs,7,4.0,1.0,14
nixpkgs,8,3.0,0.855072,69
nixpkgs,9,6.0,0.909091,33
nixpkgs,10,3.0,0.871795,39
markdown-here,1,1.0,1.0,7
markdown-here,2,1.0,1.0,1
markdown-here,3,1.0,1.0,1
markdown-here,4,,,0
markdown-here,5,,,0
markdown-here,6,1.0,1.0,1
markdown-here,7,,,0
markdown-here,8,,,0
markdown-here,9,1.0,0.8,5
markdown-here,10,1.0,0.5,2
flutter,1,3.0,1.0,33
flutter,2,9.0,0.857143,42
flutter,3,16.0,0.923077,52
flutter,4,7.0,0.848485,33
flutter,5,12.0,0.965517,29
flutter,6,6.0,0.923077,39
flutter,7,10.0,1.0,31
flutter,8,8.0,1.0,22
flutter,9,10.0,0.976744,43
flutter,10,6.0,0.942308,52
go-ethereum,1,5.0,0.842105,19
go-ethereum,2,7.0,0.904762,21
go-ethereum,3,4.0,1.0,11
go-ethereum,4,5.0,0.9375,16
go-ethereum,5,2.0,1.0,9
go-ethereum,6,6.0,0.866667,15
go-ethereum,7,5.0,0.769231,13
go-ethereum,8,2.0,0.8,5
go-ethereum,9,5.0,0.636364,11
go-ethereum,10,1.0,1.0,2
opencv,1,1.0,0.5,4
opencv,2,1.0,1.0,2
opencv,3,1.0,1.0,4
opencv,4,2.0,1.0,8
opencv,5,3.0,0.857143,7
opencv,6,1.0,0.666667,3
opencv,7,1.0,1.0,2
opencv,8,1.0,1.0,4
opencv,9,1.0,1.0,1
opencv,10,1.0,1.0,1
socket.io,1,1.0,0.380165,121
socket.io,2,1.0,0.5,24
socket.io,3,2.0,0.916667,12
socket.io,4,1.0,0.6,20
socket.io,5,1.0,0.387097,155
socket.io,6,1.0,0.205479,73
socket.io,7,1.0,0.428571,56
socket.io,8,1.0,0.153846,39
socket.io,9,1.0,0.619048,21
socket.io,10,1.0,1.0,6
shadowsocks-android,1,1.0,0.815789,38
shadowsocks-android,2,2.0,0.6,20
shadowsocks-android,3,1.0,0.653846,26
