repo,entropy_norm,active_window_rate,archetype,total_commits_all,unique_contributors_for_metrics,gini,code_top3_share,reactive_rate,doc_touch_total,health_docs_touch_bus50,health_docs_touch_bus80,health_docs_touch_top3_share,health_docs_touch_contributors,log_contributors,log_total_commits,log_bus50,excess_top3
metasploit-framework,0.668810014030381,0.4098360655737705,Occasional,14692,318,0.8603765353460668,0.2874740164754792,0.0886,79,4,8,0.411765,17,5.765191102784844,9.595126468875947,1.6094379124341003,0.12429098352452078
juice-shop,0.8902799552794232,0.819672131147541,Consistent,6394,58,0.9373424417034304,0.8751631853785901,0.1071,140,1,2,0.924812,9,4.07753744390572,8.763271714012943,0.6931471805599453,0.04964881462140991
flask,0.6243438750292691,0.2459016393442623,Sparse,877,138,0.788165988947972,0.7611510791366907,0.1875,32,1,3,0.827586,8,4.9344739331306915,6.777646593635117,0.6931471805599453,0.06643492086330938
terraform,0.9190458265163766,0.918032786885246,Consistent,6466,377,0.8757702754557699,0.5664411957233253,0.1085,562,4,13,0.418312,55,5.934894195619588,8.774467601446593,1.6094379124341003,-0.14812919572332528
FFmpeg,0.9445804520678962,0.9672131147540984,Consistent,21718,601,0.9273746261066256,0.397412284740768,0.0171,410,4,23,0.465854,86,6.400257445308821,9.98594273247232,1.6094379124341003,0.06844171525923198
aspnetcore,0.71489890178309,0.360655737704918,Occasional,10420,454,0.8550060851231596,0.286964980544747,0.9459,37,5,15,0.375,21,6.12029741895095,9.251578279992428,1.791759469228055,0.088035019455253
Marlin,0.7624395199919911,0.4262295081967213,Occasional,6303,311,0.7704940899415789,0.483943661971831,0.6098,41,2,10,0.6,18,5.7430031878094825,8.748939631537715,1.0986122886681098,0.116056338028169
jekyll,0.889046367043461,0.8852459016393442,Consistent,844,126,0.7664012135001896,0.7167235494880546,0.933,388,1,1,0.948454,13,4.844187086458591,6.739336627357174,0.6931471805599453,0.2317304505119454
PHPMailer,0.8035379139988229,0.5737704918032787,Occasional,729,65,0.8112466843501327,0.7816091954022989,0.087,115,1,1,0.93913,10,4.189654742026425,6.593044534142437,0.6931471805599453,0.15752080459770113
go,0.7105393331015678,0.3770491803278688,Occasional,18851,1079,0.8905048428313904,0.1687952320136228,0.5,46,14,27,0.209302,35,6.984716320118266,9.844374288043621,2.70805020110221,0.0405067679863772
core,0.7444371181707646,0.3770491803278688,Occasional,67821,1826,0.919917174880601,0.3560341396541812,1.0,30,8,16,0.333333,21,7.510430556378006,11.124641905070824,2.1972245773362196,-0.02270113965418119
bootstrap,0.8630245209581516,0.6885245901639344,Consistent,3179,257,0.848822789245957,0.4638357442837144,0.7978,89,1,10,0.681818,27,5.552959584921617,8.064636475774222,0.6931471805599453,0.21798225571628566
dotfiles,0.2566170120615672,0.0491803278688524,Sparse,105,13,0.416083916083916,0.4772727272727273,0.0,5,1,1,1.0,1,2.6390573296152584,4.663439094112067,0.6931471805599453,0.5227272727272727
Chart.js,0.656522194133825,0.2786885245901639,Occasional,1345,119,0.8570648315036322,0.7186629526462396,1.0,25,3,6,0.56,11,4.787491742782046,7.204892510204673,1.3862943611198906,-0.15866295264623953
WordPress,0.7618609389563106,0.4098360655737705,Occasional,9364,61,0.775526782025336,0.5410081161896625,0.8387,31,2,3,0.8,7,4.127134385045092,9.144734614878189,1.0986122886681098,0.25899188381033755
react-native,0.9024702583231397,0.8852459016393442,Consistent,17069,1233,0.8626262573295671,0.1274545019157088,0.9095,221,7,18,0.325581,54,7.1180162044653335,9.745077815788486,2.0794415416798357,0.1981264980842912
pdf.js,0.7260913124448205,0.360655737704918,Occasional,4691,98,0.9535712076082056,0.9387180597661324,0.069,29,2,5,0.724138,10,4.59511985013459,8.453614209773367,1.0986122886681098,-0.21458005976613248
DefinitelyTyped,0.8444906552249595,0.7704918032786885,Consistent,19754,5230,0.4952271741046608,0.125709219858156,0.9837,123,4,25,0.483607,49,8.562357743370612,9.891161902845491,1.6094379124341003,0.35789778014184404
Python,0.4609540432160616,0.2295081967213114,Sparse,1767,171,0.5907981875217847,0.2450331125827814,0.0476,42,3,19,0.533333,37,5.147494476813453,7.477604243197589,1.3862943611198906,0.28829988741721857
grpc,0.8398444888862241,0.6885245901639344,Consistent,10265,387,0.9043284311010638,0.3916432128166269,0.6813,160,4,11,0.442029,35,5.961005339623274,9.236592743120248,1.6094379124341003,0.05038578718337311
framework,0.903460751929737,0.819672131147541,Consistent,9924,1317,0.7538706376589519,0.2611455981941309,0.0498,402,2,3,0.801508,22,7.183870715062453,9.202812105555392,1.0986122886681098,0.540362401805869
guava,0.7621185979271853,0.4426229508196721,Occasional,1647,114,0.8758134991353477,0.7501881113619263,0.25,48,1,2,0.891304,8,4.74493212836325,7.4073177104694174,0.6931471805599453,0.14111588863807367
flink,0.7653196402426686,0.4098360655737705,Occasional,14042,882,0.8413196007374912,0.1370467289719626,0.375,32,8,18,0.28125,24,6.78332520060396,9.54987932996818,2.1972245773362196,0.1442032710280374
minimal-mistakes,0.7105378481524905,0.4754098360655737,Occasional,389,55,0.7965840220385676,0.8121212121212121,0.1961,204,2,2,0.960784,10,4.02535169073515,5.966146739123692,1.0986122886681098,0.14866278787878784
redis,0.6867997988061347,0.4590163934426229,Occasional,3175,335,0.8081211272159061,0.3126353790613718,0.5441,68,4,17,0.485294,30,5.817111159963204,8.063377822367027,1.6094379124341003,0.17265862093862822
ardupilot,0.7051409591642314,0.3278688524590163,Occasional,25456,492,0.940335217393844,0.5509699050051888,0.0714,28,8,16,0.296296,21,6.20050917404269,10.144746033275508,2.1972245773362196,-0.2546739050051888
material-ui,0.9779650964968668,1.0,Consistent,12753,790,0.8636399613299337,0.4674705969927051,0.8669,586,3,10,0.547332,66,6.673297967767654,9.453600226875217,1.3862943611198906,0.07986140300729494
mybatis-3,0.5479925707408786,0.180327868852459,Sparse,1340,88,0.8374190306008487,0.7493857493857494,0.0,16,1,2,0.875,5,4.48863636973214,7.201170883281678,0.6931471805599453,0.12561425061425058
ionic-framework,0.9131888088310316,0.8852459016393442,Consistent,3200,97,0.8649243924559034,0.7163375224416517,0.1324,340,2,3,0.851852,14,4.584967478670572,8.071218539969863,1.0986122886681098,0.13551447755834833
imgui,0.5363301063864917,0.1639344262295081,Sparse,3319,230,0.9169807447551012,0.8892036512433114,0.3077,13,1,2,1.0,3,5.442417710521793,8.107720061910534,0.6931471805599453,0.11079634875668865
TypeScript,0.7761355199764771,0.4426229508196721,Occasional,5549,260,0.85884170288527,0.4118447923757658,0.9,40,7,19,0.384615,26,5.564520407322694,8.62155320674048,2.0794415416798357,-0.027229792375765838
odoo,0.6137894365825559,0.2131147540983606,Sparse,47931,1496,0.8007096262045936,0.0588186147547831,1.0,15,4,8,0.466667,11,7.311218384419629,10.777538618802406,1.6094379124341003,0.4078483852452169
rust,0.9753631056026502,1.0,Consistent,100158,3638,0.876807366707052,0.1285752502396504,0.0976,1772,19,125,0.148538,426,8.19946419761216,11.514514202258527,2.995732273553991,0.01996274976034959
animate.css,0.4942402237821651,0.1475409836065573,Sparse,173,17,0.462915601023018,0.5,0.5385,13,2,5,0.666667,7,2.8903717578961645,5.159055299214529,1.0986122886681098,0.166667
jquery,0.6838982637738295,0.3114754098360656,Occasional,265,20,0.8277777777777777,0.8947368421052632,0.0769,26,2,2,0.96,4,3.044522437723423,5.583496308781699,1.0986122886681098,0.0652631578947368
Vue-core,0.8910823611578284,0.8688524590163934,Consistent,4448,308,0.8778275806748237,0.6803253992166315,0.1625,320,1,2,0.858934,42,5.733341276897746,8.400434630806041,0.6931471805599453,0.1786086007833685
lantern,0.3437169798450883,0.081967213114754,Sparse,538,4,0.6225099601593624,0.99800796812749,0.0312,32,1,2,0.96875,4,1.6094379124341003,6.289715570908998,0.6931471805599453,-0.02925796812749004
three.js,0.7815263323291296,0.4754098360655737,Occasional,10614,599,0.8983391837969079,0.534273532305674,0.3438,64,3,11,0.5625,23,6.396929655216146,9.270023374137356,1.3862943611198906,0.02822646769432602
angular,0.9888412870279784,1.0,Consistent,14945,1023,0.8892727520784136,0.2166568309235762,0.4146,697,5,13,0.363372,88,6.931471805599453,9.612198984490236,1.791759469228055,0.14671516907642376
grafana,0.9089114652785945,0.9016393442622952,Consistent,34604,980,0.8765078755282367,0.1404149058778332,0.98,501,1,20,0.60559,75,6.8885724595653635,10.451753459275963,0.6931471805599453,0.46517509412216673
netty,0.6418406051147727,0.2950819672131147,Occasional,3682,220,0.8978782101279716,0.7613600254210359,0.5526,38,2,6,0.648649,13,5.3981627015177525,8.211482916445066,1.0986122886681098,-0.11271102542103584
scrapy,0.7107246215028619,0.4098360655737705,Occasional,1911,165,0.8372856580648789,0.6431663574520717,0.5882,51,2,7,0.633333,13,5.111987788356544,7.555905093611346,1.0986122886681098,-0.0098333574520717
numpy,0.6783294223103542,0.3770491803278688,Occasional,11158,773,0.8545285949741726,0.2194918783840066,0.1636,55,8,24,0.290909,35,6.651571873589727,9.320001626185702,2.1972245773362196,0.07141712161599337
Ghost,0.7971271222100823,0.5081967213114754,Occasional,24317,235,0.9178586556319444,0.3130379679991551,0.1887,53,2,7,0.660377,17,5.4638318050256105,10.098972095856363,1.0986122886681098,0.34733903200084487
ansible,0.6275124848977414,0.2295081967213114,Sparse,4797,498,0.8297025277311922,0.3979504696840307,1.0,19,6,12,0.315789,15,6.212606095751519,8.47595444339964,1.9459101490553132,-0.08216146968403071
bitcoin,0.8734936734862313,0.6721311475409836,Consistent,13948,377,0.882982716315571,0.2634296660281502,0.4242,66,3,10,0.560606,23,5.934894195619588,9.543163100092235,1.3862943611198906,0.29717633397184984
airflow,0.9517714861438265,1.0,Consistent,22156,1389,0.8695703052044319,0.3361813778256189,0.9965,568,6,34,0.375,135,7.237059026124737,10.005908752635277,1.9459101490553132,0.03881862217438109
FreeRDP,0.7307802444542505,0.4098360655737705,Occasional,6239,179,0.9381467367426436,0.8343205001645279,0.0189,53,1,2,0.90566,7,5.19295685089021,8.738735461363474,0.6931471805599453,0.07133949983547216
todomvc,0.1548367060935873,0.0327868852459016,Sparse,45,8,0.7023809523809523,0.8809523809523809,1.0,3,1,1,1.0,1,2.1972245773362196,3.828641396489095,0.6931471805599453,0.11904761904761907
nixpkgs,0.8296127940201382,0.7049180327868853,Consistent,367953,8008,0.8949578400996512,0.1984850880677545,0.1091,165,14,45,0.290909,78,8.988321188323683,12.815713209337916,2.70805020110221,0.09242391193224547
markdown-here,0.3106478820952459,0.0655737704918032,Sparse,29,2,0.4642857142857142,1.0,0.0,7,1,1,1.0,2,1.0986122886681098,3.4011973816621555,0.6931471805599453,0.0
flutter,0.9204395012412848,0.8688524590163934,Consistent,52524,978,0.94730893941756,0.6199551569506726,1.0,166,27,76,0.181818,109,6.88653164253051,10.869044525713202,3.332204510175204,-0.43813715695067257
go-ethereum,0.8289409144156485,0.5409836065573771,Occasional,4074,416,0.832429183991684,0.4032555282555282,0.9811,53,10,26,0.226415,36,6.0330862217988015,8.312626025674962,2.3978952727983707,-0.17684052825552818
opencv,0.5701787646017642,0.1967213114754098,Sparse,3911,578,0.761038830993993,0.2695118386436714,0.1176,17,3,7,0.529412,10,6.361302477572996,8.271804031154709,1.3862943611198906,0.2599001613563286
socket.io,0.832709763456306,0.7213114754098361,Consistent,1243,104,0.8959729295095149,0.8902439024390244,0.1404,349,1,1,0.929619,27,4.653960350157523,7.126087273299125,0.6931471805599453,0.03937509756097557
shadowsocks-android,0.459551722133398,0.1147540983606557,Sparse,251,8,0.7020042194092826,0.9156118143459916,0.2222,9,1,2,1.0,2,2.1972245773362196,5.529429087511423,0.6931471805599453,0.08438818565400841
spring-framework,0.7034303892605933,0.3278688524590163,Occasional,9878,556,0.9086634458123876,0.350883310088331,0.0857,35,5,11,0.393939,17,6.322565239927284,9.198166571044474,1.791759469228055,0.04305568991166897
erpnext,0.589591190282785,0.2786885245901639,Sparse,15017,280,0.8738957082951861,0.3069071920246854,0.4524,42,2,10,0.571429,18,5.638354669333745,9.61700476065983,1.0986122886681098,0.26452180797531455
ohmyzsh,0.7702421959925077,0.4590163934426229,Occasional,1823,597,0.5838972031599561,0.4502046384720327,0.5273,55,5,15,0.4,26,6.393590753950631,7.508787170634276,1.791759469228055,-0.05020463847203266
kafka,0.7821890710999863,0.4918032786885246,Occasional,8255,561,0.8007015640480792,0.1209483793517407,1.0,69,5,21,0.405797,34,6.331501849893691,9.018695487721343,1.791759469228055,0.28484862064825933
d3,0.5461211772250886,0.1639344262295081,Sparse,288,10,0.8157509157509157,0.9743589743589745,0.2308,13,1,2,1.0,3,2.3978952727983707,5.666426688112432,0.6931471805599453,0.02564102564102555
Rocket.Chat,0.8706569291712621,0.7213114754098361,Consistent,8732,169,0.8732129569488263,0.3717175012232914,0.1231,390,1,5,0.723077,42,5.135798437050262,9.074864232413733,0.6931471805599453,0.3513594987767086
azure-quickstart-templates,0.3372261973790022,0.0655737704918032,Sparse,10036,351,0.7944309963540732,0.3668414918414918,0.6,5,1,3,1.0,3,5.863631175598097,9.2140335438138,0.6931471805599453,0.6331585081585083
moby,0.8275082829345493,0.5573770491803278,Occasional,7489,303,0.935488939208093,0.7256139388119084,0.0,66,2,6,0.651515,19,5.717027701406222,8.921324076511265,1.0986122886681098,-0.07409893881190843
etcd,0.8652303382562401,0.6885245901639344,Consistent,4230,444,0.8113038667958576,0.353674040172896,0.1429,105,5,25,0.409524,46,6.09807428216624,8.350193650720067,1.791759469228055,0.055849959827104
homebrew-cask,0.7117241539072521,0.360655737704918,Occasional,145553,3456,0.9221493598782198,0.3090773679137825,0.7,40,5,14,0.384615,21,8.148156439921625,11.888302430761108,1.791759469228055,0.0755376320862175
html5-boilerplate,0.7409283209082461,0.3934426229508196,Occasional,486,18,0.7473118279569892,0.8306451612903226,0.5,42,2,7,0.710526,14,2.9444389791664403,6.18826412308259,1.0986122886681098,-0.12011916129032263
youtube-dl,0.5631586708702783,0.2786885245901639,Sparse,1215,100,0.8815130434782608,0.8678260869565217,0.1154,104,1,1,0.941748,9,4.61512051684126,7.103322062526113,0.6931471805599453,0.07392191304347828
java-design-patterns,0.6872714835628879,0.3442622950819672,Occasional,1799,122,0.8319135228004868,0.7489082969432315,0.8939,462,5,17,0.45,25,4.812184355372417,7.495541943884256,1.791759469228055,-0.29890829694323146
symfony,0.9228714908654256,0.9836065573770492,Consistent,11504,1599,0.8215465337048864,0.3665649676956209,0.0809,173,1,3,0.816901,23,7.3777589082278725,9.350537002469466,0.6931471805599453,0.4503360323043791
dubbo,0.7755033372766229,0.4754098360655737,Occasional,3859,208,0.8480161064648457,0.5522943365026871,0.6471,51,3,14,0.54902,24,5.342334251964811,8.258422462458876,1.3862943611198906,-0.0032743365026871585
