repo,since,until,months,include_merges,total_commits_in_range,health_file_commits,active_months,active_month_rate,entropy_norm,top1_month_share,top3_month_share,top6_month_share,gini_month_concentration,cluster_id,archetype
metasploit-framework,2016-05-30,2026-05-29,121,no,33141,111,51,0.421488,0.772333,0.081081,0.198198,0.315315,0.727571,1,Occasional
juice-shop,2016-05-30,2026-05-29,121,no,19859,510,106,0.876033,0.877661,0.084314,0.162745,0.270588,0.561335,0,Consistent
flask,2016-05-30,2026-05-29,121,no,1866,87,41,0.338843,0.713156,0.137931,0.252874,0.390805,0.791869,1,Occasional
terraform,2016-05-30,2026-05-29,121,no,20174,2985,114,0.942149,0.83166,0.073702,0.190285,0.341709,0.641699,0,Consistent
FFmpeg,2016-05-30,2026-05-29,121,no,42686,974,120,0.991736,0.964351,0.024641,0.070842,0.125257,0.324503,0,Consistent
aspnetcore,2016-05-30,2026-05-29,121,no,38766,584,64,0.528926,0.709928,0.145548,0.294521,0.458904,0.808785,1,Occasional
Marlin,2016-05-30,2026-05-29,121,no,15484,85,55,0.454545,0.808555,0.070588,0.141176,0.247059,0.659212,1,Occasional
jekyll,2016-05-30,2026-05-29,121,no,4049,1747,113,0.933884,0.89822,0.037207,0.093875,0.170006,0.534990,0,Consistent
PHPMailer,2016-05-30,2026-05-29,121,no,1427,277,82,0.677686,0.862113,0.054152,0.137184,0.227437,0.595459,0,Consistent
go,2016-05-30,2026-05-29,121,no,37856,116,55,0.454545,0.792315,0.068966,0.155172,0.267241,0.702337,1,Occasional
core,2016-05-30,2026-05-29,121,no,103939,91,51,0.421488,0.782621,0.054945,0.164835,0.296703,0.708746,1,Occasional
bootstrap,2016-05-30,2026-05-29,121,no,8223,229,87,0.719008,0.876891,0.043668,0.122271,0.213974,0.561839,0,Consistent
dotfiles,2016-05-30,2026-05-29,121,no,87,7,7,0.057851,0.405754,0.142857,0.428571,0.857143,0.942149,2,Sparse
Chart.js,2016-05-30,2026-05-29,121,no,2657,58,38,0.31405,0.727368,0.086207,0.206897,0.344828,0.769450,1,Occasional
WordPress,2016-05-30,2026-05-29,121,no,18261,55,42,0.347107,0.759334,0.054545,0.163636,0.290909,0.720361,1,Occasional
react-native,2016-05-30,2026-05-29,121,no,34240,409,108,0.892562,0.923771,0.036675,0.097800,0.171149,0.457435,0,Consistent
pdf.js,2016-05-30,2026-05-29,121,no,7896,68,44,0.363636,0.7576,0.058824,0.176471,0.323529,0.734565,1,Occasional
DefinitelyTyped,2016-05-30,2026-05-29,121,no,59983,291,91,0.752066,0.865933,0.058419,0.140893,0.247423,0.589929,0,Consistent
