repo,since,until,dominant_threshold,bots_included_in_attr,merges_included,total_commits_in_range,health_docs_touch_commits,health_docs_touch_contributors,health_docs_touch_top1_share,health_docs_touch_top3_share,health_docs_touch_top5_share,health_docs_touch_top10_share,health_docs_touch_bus50,health_docs_touch_bus80,health_docs_only_commits,health_docs_only_contributors,health_docs_only_top1_share,health_docs_only_top3_share,health_docs_only_top5_share,health_docs_only_top10_share,health_docs_only_bus50,health_docs_only_bus80,health_docs_dominant_commits,health_docs_dominant_contributors,health_docs_dominant_top1_share,health_docs_dominant_top3_share,health_docs_dominant_top5_share,health_docs_dominant_top10_share,health_docs_dominant_bus50,health_docs_dominant_bus80,health_docs_non_dominant_commits,health_docs_non_dominant_contributors,health_docs_non_dominant_top1_share,health_docs_non_dominant_top3_share,health_docs_non_dominant_top5_share,health_docs_non_dominant_top10_share,health_docs_non_dominant_bus50,health_docs_non_dominant_bus80,health_docs_partition_check,health_docs_partition_touch,health_docs_partition_sum_parts,unique_contributors_for_metrics,top3_share,top5_share,top10_share,participation_rate
metasploit-framework,2016-05-30,2026-05-29,0.5,no,no,33141,111,41,0.09009,0.27027,0.405405,0.621622,7,19,105,39,0.095238,0.285714,0.419048,0.628571,7,18,2,2,0.5,1.0,1.0,1.0,1.0,2.0,4,4,0.25,0.75,1.0,1.0,2.0,4.0,True,111,111,1127,0.1929921793213868,0.2689512901040704,0.3814890079438389,0.03637976929902396
juice-shop,2016-05-30,2026-05-29,0.5,no,no,19859,510,23,0.509804,0.927451,0.954902,0.97451,1,2,363,20,0.4573,0.917355,0.950413,0.972452,2,2,78,5,0.576923,0.974359,1.0,1.0,1.0,2.0,69,4,0.710145,0.971014,1.0,1.0,1.0,2.0,True,510,510,191,0.8749238578680203,0.8981725888324873,0.9308629441624364,0.12041884816753927
flask,2016-05-30,2026-05-29,0.5,no,no,1866,87,36,0.45977,0.574713,0.632184,0.701149,2,19,64,31,0.375,0.5,0.578125,0.671875,3,19,12,5,0.666667,0.833333,1.0,1.0,1.0,3.0,11,4,0.727273,0.909091,1.0,1.0,1.0,2.0,True,87,87,509,0.5326340326340326,0.5658508158508159,0.5984848484848485,0.07072691552062868
terraform,2016-05-30,2026-05-29,0.5,no,no,20174,2985,142,0.269884,0.46431,0.560503,0.706662,4,15,2856,139,0.282261,0.481692,0.58123,0.732314,4,13,115,16,0.252174,0.547826,0.721739,0.930435,3.0,7.0,14,7,0.285714,0.642857,0.857143,1.0,2.0,5.0,True,2985,2985,1803,0.3533253564662479,0.4267623890716921,0.5494565759298036,0.07875762617859124
FFmpeg,2016-05-30,2026-05-29,0.5,no,no,42686,974,193,0.279261,0.413758,0.477413,0.564682,6,51,387,116,0.183463,0.338501,0.410853,0.509044,10,43,399,90,0.593985,0.66416,0.699248,0.746867,1.0,20.0,188,85,0.138298,0.25,0.324468,0.446809,14.0,48.0,True,974,974,1287,0.3364341448555428,0.476743913583429,0.6187407737188649,0.14996114996114995
aspnetcore,2016-05-30,2026-05-29,0.5,no,no,38766,584,128,0.19244,0.38488,0.512027,0.62543,5,31,436,121,0.257471,0.406897,0.471264,0.583908,7,37,25,17,0.16,0.36,0.52,0.72,5.0,12.0,123,17,0.483607,0.836066,0.893443,0.942623,2.0,2.0,True,584,584,1418,0.2982430106250371,0.3705704279693714,0.5019291268475099,0.09026798307475317
Marlin,2016-05-30,2026-05-29,0.5,no,no,15484,85,37,0.22619,0.52381,0.571429,0.678571,3,21,66,29,0.215385,0.538462,0.6,0.707692,3,16,10,5,0.4,0.8,1.0,1.0,2.0,3.0,9,9,0.111111,0.333333,0.555556,1.0,5.0,8.0,True,85,85,1018,0.5860370419020097,0.6331932221200578,0.7009063444108762,0.036345776031434185
jekyll,2016-05-30,2026-05-29,0.5,no,no,4049,1747,37,0.88838,0.936463,0.961649,0.98111,1,1,1732,34,0.896074,0.943418,0.968822,0.984411,1,1,11,7,0.272727,0.636364,0.818182,1.0,3.0,5.0,4,2,0.75,1.0,1.0,1.0,1.0,2.0,True,1747,1747,605,0.5814243027888446,0.6982071713147411,0.7527390438247012,0.06115702479338843
PHPMailer,2016-05-30,2026-05-29,0.5,no,no,1427,277,26,0.880866,0.913357,0.924188,0.942238,1,1,213,24,0.859155,0.896714,0.910798,0.934272,1,1,58,2,0.982759,1.0,1.0,1.0,1.0,1.0,6,3,0.666667,1.0,1.0,1.0,1.0,2.0,True,277,277,212,0.7270742358078602,0.7627365356622998,0.7983988355167394,0.12264150943396226
go,2016-05-30,2026-05-29,0.5,no,no,37856,116,72,0.12069,0.25,0.336207,0.448276,14,49,115,72,0.121739,0.252174,0.330435,0.443478,15,49,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,,,,,,,True,116,116,2262,0.1500198124422137,0.2299299960375115,0.3752212389380531,0.03183023872679045
