repo,n_files_touched,median_staleness_days,mean_staleness_days
AdminLTE,7,1027.0,1057.4285714285713
AspNetCore.Docs,7,2733.0,2196.0
Chart.js,5,1728.0,1918.8
DefinitelyTyped,11,1814.0,2055.090909090909
FFmpeg,10,293.5,913.4
FreeRDP,6,79.0,559.5
Ghost,9,954.0,1299.2222222222222
HanLP,6,2340.0,1901.0
Marlin,6,803.5,912.0
PHPMailer,10,2777.5,2136.1
Python,9,1312.0,1495.111111111111
Rocket.Chat,10,1258.0,1541.9
TypeScript,10,1336.0,1450.5
WordPress,2,144.0,144.0
airflow,14,332.5,1008.3571428571429
angular,8,153.0,394.25
animate.css,6,1739.5,1597.6666666666667
ansible,14,2798.0,2205.4285714285716
ant-design,13,403.0,1241.076923076923
ardupilot,6,112.5,456.8333333333333
aspnetcore,12,2738.5,2010.3333333333333
axios,9,16.0,222.0
azure-quickstart-templates,5,2188.0,1805.6
bitcoin,10,709.0,1073.9
bootstrap,11,1404.0,1656.0
core,7,735.0,1349.4285714285713
d3,3,1077.0,768.3333333333334
darknet,8,3266.0,3074.875
django,6,488.0,821.6666666666666
dotfiles,1,1886.0,1886.0
dubbo,10,947.0,1525.5
echarts,7,1209.0,1141.4285714285713
elasticsearch,10,670.5,936.0
electron,8,482.0,1148.0
erpnext,6,721.0,1192.8333333333333
etcd,13,1499.0,1350.2307692307693
express,5,144.0,211.0
flask,15,1935.0,1698.2
flink,5,143.0,1105.6
flutter,9,51.0,878.8888888888889
framework,16,2390.0,1994.0625
gitignore,4,42.0,905.0
go,13,1407.0,1629.2307692307693
go-ethereum,6,775.5,1049.8333333333333
godot,11,1240.0,1451.3636363636363
grafana,16,1387.5,1353.375
grpc,11,854.0,1292.3636363636363
guava,5,232.0,492.4
homebrew-cask,7,1994.0,1533.2857142857142
html5-boilerplate,8,981.0,1173.5
imgui,7,1467.0,1577.2857142857142
ionic-framework,8,957.0,1304.0
java-design-patterns,4,641.5,540.0
jekyll,12,1887.0,1797.4166666666667
jenkins,8,1194.0,998.0
jquery,9,500.0,974.3333333333334
juice-shop,6,95.0,94.33333333333333
kafka,6,458.0,929.0
kubernetes,8,1725.0,1766.125
laravel,3,117.0,836.3333333333334
markdown-here,2,437.0,437.0
material-ui,16,1617.5,1505.125
metasploit-framework,9,298.0,905.8888888888889
minimal-mistakes,7,1421.0,1442.4285714285713
moby,11,302.0,836.2727272727273
mybatis-3,6,715.5,770.6666666666666
netty,9,2010.0,1955.6666666666667
nixpkgs,10,971.5,1338.0
node,13,326.0,797.4615384615385
numpy,8,925.5,1138.25
nvm,4,161.5,406.0
ohmyzsh,6,132.5,627.5
opencv,6,976.5,1136.3333333333333
openssl,14,2229.0,1822.642857142857
pandas,9,1148.0,926.0
pdf.js,6,653.0,798.8333333333334
protobuf,6,764.0,758.5
qmk_firmware,7,3118.0,2226.8571428571427
rails,8,1442.0,1455.375
react,10,1258.5,1164.4
react-native,10,1557.0,1425.3
react-router,12,566.5,818.8333333333334
redis,11,800.0,797.0
reveal.js,3,121.0,632.6666666666666
rust,13,174.0,869.3076923076923
scikit-learn,9,245.0,880.3333333333334
scrapy,7,1309.0,1299.0
shadowsocks-android,7,2858.0,2465.5714285714284
shadowsocks-windows,5,2336.0,2251.6
socket.io,9,689.0,631.7777777777778
spark,6,397.5,962.3333333333334
spring-boot,7,714.0,1154.142857142857
spring-framework,7,591.0,1112.4285714285713
symfony,11,1586.0,1537.7272727272727
terraform,10,669.0,1228.1
three.js,9,1512.0,1187.111111111111
todomvc,3,26.0,949.6666666666666
vscode,8,1814.5,1595.375
youtube-dl,6,1783.5,1774.8333333333333
zxing,4,833.0,1135.0
