repo,longest_dormancy_gap_months,h1_doc_commits,h2_doc_commits,h1_entropy,h1_awr,went_dormant_h2,h2_decline_ratio,entropy_norm,active_window_rate,unique_contributors_for_metrics,health_docs_touch_contributors,health_docs_touch_bus50,health_file_commits,log_contributors,log_doc_commits,participation_rate,log_bus50
AdminLTE,16,17,13,0.5648999744398837,0.26666666666666666,0,-0.2222222222222222,0.6144959087119523,0.2622950819672131,21,8,2,30,3.091042453358316,3.4339872044851463,0.38095238095238093,1.0986122886681098
AspNetCore.Docs,6,12,13,0.6626659192886649,0.3333333333333333,0,0.07692307692307693,0.696989337819305,0.3114754098360656,521,14,4,25,6.257667587882639,3.258096538021482,0.026871401151631478,1.6094379124341003
Chart.js,13,15,10,0.7418596070186921,0.43333333333333335,0,-0.3125,0.656522194133825,0.2786885245901639,119,11,3,25,4.787491742782046,3.258096538021482,0.09243697478991597,1.3862943611198906
DefinitelyTyped,2,79,44,0.8351927676766184,0.8333333333333334,0,-0.4375,0.8444906552249595,0.7704918032786885,5230,49,4,123,8.562357743370612,4.820281565605037,0.009369024856596558,1.6094379124341003
FFmpeg,1,204,206,0.9373457820062998,0.9333333333333333,0,0.00975609756097561,0.9445804520678962,0.9672131147540984,601,86,4,410,6.400257445308821,6.018593214496234,0.14309484193011648,1.6094379124341003
FreeRDP,8,6,47,0.5268025545616606,0.2,0,5.857142857142857,0.7307802444542505,0.4098360655737705,179,7,1,53,5.19295685089021,3.9889840465642745,0.03910614525139665,0.6931471805599453
Ghost,4,31,22,0.7975316892460825,0.6,0,-0.28125,0.7971271222100823,0.5081967213114754,235,17,2,53,5.4638318050256105,3.9889840465642745,0.07234042553191489,1.0986122886681098
HanLP,8,37,7,0.7905622621064031,0.6666666666666666,0,-0.7894736842105263,0.7242534624510166,0.4262295081967213,9,2,1,44,2.302585092994046,3.8066624897703196,0.2222222222222222,0.6931471805599453
Marlin,17,18,23,0.6148243244849506,0.3,0,0.2631578947368421,0.7624395199919911,0.4262295081967213,311,18,2,41,5.7430031878094825,3.7376696182833684,0.05787781350482315,1.0986122886681098
PHPMailer,3,79,36,0.8046745645879991,0.6666666666666666,0,-0.5375,0.8035379139988229,0.5737704918032787,65,10,1,115,4.189654742026425,4.7535901911063645,0.15384615384615385,0.6931471805599453
Python,15,27,15,0.31658730788061035,0.26666666666666666,0,-0.42857142857142855,0.4609540432160616,0.2295081967213114,171,37,3,42,5.147494476813453,3.7612001156935624,0.21637426900584794,1.3862943611198906
Rocket.Chat,5,332,58,0.9683364271285971,0.9666666666666667,0,-0.8228228228228228,0.8706569291712621,0.7213114754098361,169,42,1,390,5.135798437050262,5.968707559985366,0.2485207100591716,0.6931471805599453
TypeScript,8,28,12,0.8195904428646799,0.6,0,-0.5517241379310345,0.7761355199764771,0.4426229508196721,260,26,7,40,5.564520407322694,3.713572066704308,0.1,2.0794415416798357
Vue-core,3,160,158,0.8897378476775217,0.9,0,-0.012422360248447204,0.8910823611578284,0.8688524590163934,308,42,1,320,5.733341276897746,5.771441123130016,0.13636363636363635,0.6931471805599453
WordPress,6,15,16,0.6398292769756313,0.3333333333333333,0,0.0625,0.7618609389563106,0.4098360655737705,61,7,2,31,4.127134385045092,3.4657359027997265,0.11475409836065574,1.0986122886681098
airflow,0,376,192,0.9637112947891157,1.0,0,-0.4880636604774536,0.9517714861438265,1.0,1389,135,6,568,7.237059026124737,6.343880434126331,0.09719222462203024,1.9459101490553132
angular,0,354,335,0.9815041874873142,1.0,0,-0.05352112676056338,0.9888412870279784,1.0,1023,88,5,697,6.931471805599453,6.548219102762372,0.08602150537634409,1.791759469228055
animate.css,28,12,1,0.5607683957434118,0.26666666666666666,0,-0.8461538461538461,0.4942402237821651,0.1475409836065573,17,7,2,13,2.8903717578961645,2.6390573296152584,0.4117647058823529,1.0986122886681098
ansible,18,10,9,0.5547154642745418,0.23333333333333334,0,-0.09090909090909091,0.6275124848977414,0.2295081967213114,498,15,6,19,6.212606095751519,2.995732273553991,0.030120481927710843,1.9459101490553132
