repo,commit_sha,full_message
AdminLTE,f17065cc1138f326467806aea986f46c4e8ec7fd,Minor changes
AdminLTE,3885daabe1b520b4de33271db78b9f9b6b9be5a6,"Release v4.0.0-rc3: Production deployment fixes and cross-platform compatibility

- Fix production build path resolution for CSS/JS/images
- Resolve sidebar navigation layout issues (badges, arrows, spacing)
- Fix RTL CSS processing interference with LTR builds
- Update dependencies (Bootstrap 5.3.7, Bootstrap Icons 1.13.1, OverlayScrollbars 2.11.0)
- Remove CDN integrity attributes to prevent digest mismatches
- Add dist/ to .gitignore to exclude build files from repository
- Implement smart relative path calculation for all deployment scenarios
- Add runtime image path correction for sub-folder deployments
- Ensure development and production environment parity
- Fix all ESLint compliance issues (prefer-global-this, prefer-string-slice)

Major improvements:
✅ Production builds now work identically to development
✅ Images, CSS, and JavaScript load correctly in any deployment structure
✅ Sidebar displays properly with badges and arrow indicators
✅ Zero console errors from CDN resources
✅ Full compatibility with FTP/static hosting platforms"
AdminLTE,63aabd66107c8718d7378e1f2ddc21d180264d2c,Major accessibility and es2022 updates
AdminLTE,53081955d7ab32a676fbd2517a5f68212eb180c4,"Clean up documentation: correct date and remove excessive emojis

- Update release date to today's actual date: 2025-06-20
- Remove excessive emojis from CHANGELOG.md and README.md
- Keep documentation professional and readable
- Maintain all technical content and information"
AdminLTE,c74fe4ef060f7bebaf02de685af97811547ff3bc,"📅 Fix release date in CHANGELOG.md

- Update release date from 2024-12-20 to 2025-12-20
- Correct date for v4.0.0-rc1 release"
AdminLTE,7d4c893296a572adea81e993681430401d4f6031,"🚀 Release v4.0.0-rc1: Complete Modernization

🎉 Major modernization release bringing AdminLTE to current standards

## Key Improvements:
- 🔒 Zero security vulnerabilities (all dependencies updated)
- ⚡ ESLint v9 with modern flat configuration
- 📦 Astro 5.x, Bootstrap 5.3.7, 50+ package updates
- 🛠️ New npm scripts: 'npm start', 'npm run build'
- 🧹 700+ linting issues resolved, technical debt cleaned
- 🎯 ES modules, modern tooling, optimal bundles

## Infrastructure:
- Upgraded to ES modules with proper configurations
- Migrated ESLint to v9 flat config format
- Enhanced build scripts and developer experience
- Added comprehensive CHANGELOG.md
- Updated README.md with v4.0.0-rc1 highlights

## Quality & Security:
- All npm vulnerabilities resolved
- Zero linting errors across JS/TS/CSS/Astro
- Updated browserslist and build dependencies
- Removed deprecated patterns and dead code

## Compatibility:
- No breaking changes for end users
- Full Bootstrap 5.3.7 compatibility maintained
- All HTML templates remain compatible
- Enhanced developer experience with modern tooling

See CHANGELOG.md for complete details."
AdminLTE,93f708805bf269fda0a449f36686603266fad110,Fix typo in README.md
AdminLTE,679386a81f287da71abf3bda139253fda6e8abad,Sponsorship Enable (#5349)
AdminLTE,4553a244cca1e99fdfc7d20ddfa1a0aab250bf8d,minor changes for v4
AdminLTE,e1a28018c70be25d46722c127056dde2c4ad4fc3,Update README.md
AdminLTE,6b33ce336759f7a0477442fb1fa7f5fc8037950c,"[NETLIFY TEST] Update logo-switch.astro  (#5164)

* Update logo-switch.astro

* Update README.md

* convertPathToHtml bug fix

* Create index.html

* css-lint fixed"
AdminLTE,59b5f66d3772ede91695b50c06d58e5c8649ef18,Update README.md
AdminLTE,0e7de4a44639c762a417286ef41be98ca37894c6,bump Year to 2023
AdminLTE,0001af48c714c6b4bcc78f1cb6e3b588ef5d5a91,Fix gulp readme typo (#4133)
AdminLTE,24d5f5dfddf6b8e70592e4cce0a1434ab668a84e,add discord invite badge on README.md
AdminLTE,fe8744c2bd7f6cd09d6349e7f5ae69b319c3af02,image credit as v3
AdminLTE,32713d97dd803e5d1a8f3c9aea75ae5531fa1567,Update README.md
AdminLTE,1e10243513f66f52d211f4cb7488a592b0e0b8be,Update README.md
AdminLTE,c45bfe894fa95b40060c74cd624531a7df063940,bump version number
AdminLTE,4a43243ea7337f09a2a675722925f8278e3056fd,update docs (#3511)
AdminLTE,25e2bfc909bd4214e02b98293075c52accbf0e76,docs update
AdminLTE,af042dc5b4e5e672235355cb30df451190ab604c,improve docs
AdminLTE,582f958c5b7b6e152279039ec855b194728dfc93,Update README.md (#3395)
AdminLTE,3b6897ce71b0aafffd44390add73e58c9feb750e,update bootstrap version README.md
AdminLTE,4a24c6368eec26acd2b23791198f6eb453e39553,updated version numbers in README.md
AdminLTE,12162997868e73a2d05b6e992cd81282ddd3d08b,docs and readme update
AdminLTE,c10895b37e89f209bd9cab48bbceb38760f2a3c3,Fix link to latest release (#3216)
AdminLTE,784eae413dde663838e0d5b1c17a1c3768b205f2,update docs link
AdminLTE,5d10674dc5be0683bd0e509f5b2634056162d79c,"Update README.md (#3118)

Co-authored-by: REJack <info@rejack.de>"
AdminLTE,dfdb0f06659c21bfd404ccff61a85b9af17fb0a4,make contributions easier via automating the dev setup. (#3110)
AspNetCore.Docs,a5b9fd4305171cb5ec09fb0c90a1a3334cb07258,update links that result in 404 results (#35293)
AspNetCore.Docs,f058479c9c5819dd6c4026006e98dae1c5d9607f,Update README.md (#34483)
AspNetCore.Docs,84815f60a8054c95facfdbf1c5d8bac1956d4cbb,Update README.md - remove link to unmonitored feedback repo (#34447)
AspNetCore.Docs,8b1d48777401beccc52f1d9703e7b579ce464727,Add 'How to open an issue' to the README (#33947)
AspNetCore.Docs,cfb764f6bc450d4fa549ffb48b9f8a4c7dbd3ecc,Update README.md (#33736)
AspNetCore.Docs,eeeb885b98c6f0037d80a7eabe2d356cc1233703,Update README.md (#33622)
AspNetCore.Docs,ba866628f5761b04785b3be5b26839864a87423a,Correct README.md (#33075)
AspNetCore.Docs,5022f09bf7e5a2190844cec2e6c256e4c7c99ef9,fix: #31812 broken URL (#31813)
AspNetCore.Docs,1b923e32b8e7859538f64e6225bd79f60461a969,Updates
AspNetCore.Docs,d650d3158cbd3dfdb07bfef86e7e3213758389a1,Update CONTRIBUTING.md
