repo,n_established_doc_contributors,doc_contributor_loss_rate_all,n_top_established,doc_contributor_loss_rate_top,entropy_norm,active_window_rate,unique_contributors_for_metrics,health_docs_touch_contributors,health_docs_touch_bus50,health_file_commits,log_contributors,log_doc_commits,participation_rate,log_bus50,h1_bus50,h1_n_doc_contributors,h1_doc_commits,log_h1_bus50,log_h1_commits
AdminLTE,6,0.8333333333333334,2,,0.6144959087119523,0.2622950819672131,21,8,2,30,3.091042453358316,3.4339872044851463,0.3809523809523809,1.0986122886681098,2,6,17,1.0986122886681098,2.8903717578961645
AspNetCore.Docs,8,0.75,2,,0.696989337819305,0.3114754098360656,521,14,4,25,6.257667587882639,3.258096538021482,0.0268714011516314,1.6094379124341005,3,8,12,1.3862943611198906,2.5649493574615367
Chart.js,10,0.8,3,0.3333333333333333,0.656522194133825,0.2786885245901639,119,11,3,25,4.787491742782046,3.258096538021482,0.0924369747899159,1.3862943611198906,3,10,15,1.3862943611198906,2.772588722239781
DefinitelyTyped,29,0.896551724137931,8,0.625,0.8444906552249595,0.7704918032786885,5230,49,4,123,8.562357743370612,4.820281565605037,0.0093690248565965,1.6094379124341005,2,29,79,1.0986122886681098,4.382026634673881
FFmpeg,48,0.625,13,0.0769230769230769,0.9445804520678962,0.9672131147540984,601,86,4,410,6.400257445308821,6.018593214496234,0.1430948419301164,1.6094379124341005,2,48,204,1.0986122886681098,5.3230099791384085
FreeRDP,5,0.6,2,,0.7307802444542505,0.4098360655737705,179,7,1,53,5.19295685089021,3.9889840465642745,0.0391061452513966,0.6931471805599453,2,5,6,1.0986122886681098,1.9459101490553132
Ghost,13,0.6923076923076923,4,0.0,0.7971271222100823,0.5081967213114754,235,17,2,53,5.4638318050256105,3.9889840465642745,0.0723404255319148,1.0986122886681098,3,13,31,1.3862943611198906,3.4657359027997265
Marlin,12,0.8333333333333334,3,0.3333333333333333,0.7624395199919911,0.4262295081967213,311,18,2,41,5.7430031878094825,3.737669618283368,0.0578778135048231,1.0986122886681098,3,12,18,1.3862943611198906,2.9444389791664403
PHPMailer,6,0.8333333333333334,2,,0.8035379139988229,0.5737704918032787,65,10,1,115,4.189654742026425,4.7535901911063645,0.1538461538461538,0.6931471805599453,1,6,79,0.6931471805599453,4.382026634673881
Rocket.Chat,26,0.8846153846153846,7,0.5714285714285714,0.8706569291712621,0.7213114754098361,169,42,1,390,5.135798437050262,5.968707559985366,0.2485207100591716,0.6931471805599453,1,26,332,0.6931471805599453,5.808142489980444
