repo,commit_sha,full_message,is_reactive,matched_patterns,manual_judgment
material-ui,b8811a0fa59e7663b240183219db32f9a617e607,"[release] v5.14.13 (#39374)

Signed-off-by: Albert Yu <albert@albertyu.co>
Co-authored-by: Diego Andai <diego@mui.com>
Co-authored-by: Siriwat K <siriwatkunaporn@gmail.com>
Co-authored-by: Matt <github@nospam.33m.co>
Co-authored-by: Alexandre Fauquette <45398769+alexfauquette@users.noreply.github.com>
Co-authored-by: Brijesh Bittu <brijeshb42@gmail.com>
Co-authored-by: Danilo Leal <67129314+danilo-leal@users.noreply.github.com>",True,['issue_number'],FP
jenkins,43e4efbaf5d7dd321efb5a85304e9c7bb7330cef,Move `MAINTAINERS` to the root folder (#7528),True,['issue_number'],AMB
node,248679ba31f708156c7bef69d2fc40d318c432d1,"meta: update AUTHORS

PR-URL: https://github.com/nodejs/node/pull/45968
Reviewed-By: Yagiz Nizipli <yagiz@nizipli.com>
Reviewed-By: Moshe Atlow <moshe@atlow.co.il>
Reviewed-By: Rich Trott <rtrott@gmail.com>",True,['github_pr_url'],FP
grafana,9a00df1e8d382a5a2c3450bf3735e59d96be3cda,ReleaseNotes: Updated changelog and release notes for 8.4.4 (#46702),True,['issue_number'],FP
go-ethereum,198fa956f4daed3602edd7695759483b1fac9b7a,"README.md: improve grammar (#25646)


Co-authored-by: Felix Lange <fjl@twurst.com>",True,['issue_number'],AMB
zxing,dfb06fa33b17a9e68321be151c22846c7b78048f,add rust port (#1588),True,['issue_number'],AMB
java-design-patterns,14de6001ae5b104d96612f3d325260c3b9e6b2ad,"docs: add drakulavich as a contributor for code (#2198)

* docs: update README.md [skip ci]

* docs: update .all-contributorsrc [skip ci]

Co-authored-by: allcontributors[bot] <46447321+allcontributors[bot]@users.noreply.github.com>",True,['issue_number'],FP
rust,290a01e448e9e17710e03fc28c73de19f5889e5a,"Initial impl of `unnecessary_first_then_check`

Fixes #11212",True,"['fixes_issue', 'issue_number']",TP
node,6edd9a58513f9c392d760d39c526147c0b2e4544,"meta: update AUTHORS

PR-URL: https://github.com/nodejs/node/pull/41763
Reviewed-By: Rich Trott <rtrott@gmail.com>
Reviewed-By: Mestery <mestery@protonmail.com>",True,['github_pr_url'],FP
etcd,62907bc842fac83fc65eab23ec1896e3db90597d,"Update issues links in CONTRIBUTING.md

etcd-io/etcd#16424 Find issues links in CONTRIBUTING.md should search for all repositories under etcd-io organization

Signed-off-by: Xuan <nguyenxndaidev@gmail.com>",True,['issue_number'],TP
react-router,3738d58eeb33d6fcb286d7da9ad38d3c7bccad0c,"Respect trailing slash when basename is used (#8861)

* #8312 and also #6226

* cla sign

* fix: properly handle trailing slashes in Navigate and Link

* fix: handle useSearchParams use case with undefined to.pathname

Co-authored-by: Leszek Kobus <l.kobus@infinity-group.pl>
Co-authored-by: Matt Brophy <matt@brophy.org>",True,['issue_number'],TP
grpc,0b2609a61d50f2dbba4604978ef9243543a2675a,"Update minimum MSVC version to 2019 (#32614)

To be aligned with By https://github.com/google/oss-policies-info/pull/8",True,"['issue_number', 'github_pr_url']",AMB
angular,42ce3ac0080bc2b93243f161db4d1a99adb5610c,release: cut the v13.2.0-next.2 release (#44701),True,['issue_number'],FP
angular,c81d5bfb9a6752c520405ec74fd8e29da8cb0475,docs: release notes for the v11.0.6 release (#40329),True,['issue_number'],FP
jekyll,9f8ac4eb7afc8e5cc47deced4cbe2c56df9d4266,Update history to reflect merge of #8430 [ci skip],True,['issue_number'],AMB
ohmyzsh,057f3ec67e65661d3c01b757ec5cad0a3718453e,"chore: replace all instances of twitter with X

Closes #12536",True,"['closes_issue', 'issue_number']",TP
node,f5c508c80550a9c9791582fd27e1fbb38ce279eb,"2020-11-10, Version 15.2.0 (Current)

Notable changes:

* events:
  * getEventListeners static (Benjamin Gruenbaum) (https://github.com/nodejs/node/pull/35991)
* fs:
  * support abortsignal in writeFile (Benjamin Gruenbaum) (https://github.com/nodejs/node/pull/35993)
  * add support for AbortSignal in readFile (Benjamin Gruenbaum) (https://github.com/nodejs/node/pull/35911)
* stream:
  * fix thrown object reference (Gil Pedersen) (https://github.com/nodejs/node/pull/36065)

PR URL: https://github.com/nodejs/node/pull/36055",True,['github_pr_url'],FP
jekyll,310459370ad8bb9c0b574735dcca4868a5f05803,Update history to reflect merge of #8993 [ci skip],True,['issue_number'],AMB
grpc,1a264246038e1f979c496e726614c7b1feb000a7,Passing repo manager to markdroth (#25589),True,['issue_number'],AMB
airflow,768865e10c811bc544590ec268f9f5c334da89b5,Apache Airflow `2.4.0` has been released (#26477),True,['issue_number'],FP
