repo,n_issues_sampled,median_issue_close_hours,n_prs_sampled,median_pr_merge_hours,issues_total_closed,prs_total_merged,entropy_norm,active_window_rate,unique_contributors_for_metrics,log_contributors,log_issue_close,log_pr_merge
metasploit-framework,100,964.6177777777776,100,398.4331944444445,6065,11978,0.668810014030381,0.4098360655737705,318,5.765191102784844,6.872768080734156,5.9900465283054825
juice-shop,100,71.53472222222223,100,42.07527777777778,997,1168,0.8902799552794232,0.819672131147541,58,4.07753744390572,4.2840653744146655,3.7629492310937875
flask,100,0.9104166666666668,100,1.1765277777777778,2752,1630,0.6243438750292691,0.2459016393442623,138,4.9344739331306915,0.6473213683545282,0.7777308445190694
terraform,100,72.89458333333334,100,21.515138888888888,19975,13538,0.9190458265163766,0.918032786885246,377,5.934894195619588,4.302639528019248,3.11418792246153
aspnetcore,100,649.0718055555556,100,35.02847222222222,35655,19503,0.71489890178309,0.360655737704918,454,6.12029741895095,6.477082826873782,3.5843095209251468
Marlin,100,2560.646527777778,100,118.98180555555555,14549,9612,0.7624395199919911,0.4262295081967213,311,5.7430031878094825,7.848405505638464,4.787340110916145
jekyll,100,60.10819444444445,100,35.37166666666667,4807,3204,0.889046367043461,0.8852459016393442,126,4.844187086458591,4.112645972478587,3.5937900832628533
PHPMailer,100,12.699861111111112,100,7.533194444444445,2105,564,0.8035379139988229,0.5737704918032787,65,4.189654742026425,2.6173856949075893,2.143963786643284
go,100,47.87861111111111,1,312.4711111111111,62705,1,0.7105393331015678,0.3770491803278688,1079,6.984716320118266,3.8893399002025095,5.74770720626111
core,100,2329.6641666666665,100,10.604444444444445,69569,88603,0.7444371181707646,0.3770491803278688,1826,7.510430556378006,7.753908556012224,2.451388166494709
bootstrap,100,22642.083055555555,100,4.238888888888889,22751,9391,0.8630245209581516,0.6885245901639344,257,5.552959584921617,10.027609700411352,1.6561094317432472
dotfiles,100,79.04833333333335,44,11.935277777777776,255,44,0.2566170120615672,0.0491803278688524,13,2.6390573296152584,4.382630618905345,2.559958290303257
Chart.js,100,238.2225,100,19.2625,6818,3018,0.656522194133825,0.2786885245901639,119,4.787491742782046,5.47739408119793,3.0087718870617945
react-native,100,5333.236527777777,100,32.199444444444445,27014,982,0.9024702583231397,0.8852459016393442,1233,7.1180162044653335,8.581901047174226,3.5025331421813637
pdf.js,100,304.6327777777778,100,8.943194444444444,10170,9031,0.7260913124448205,0.360655737704918,98,4.59511985013459,5.7223843086669675,2.2968883417198716
DefinitelyTyped,100,1410.9529166666666,100,48.28888888888889,7552,53352,0.8444906552249595,0.7704918032786885,5230,8.562357743370612,7.252729072360304,3.8976986781399927
Python,100,1226.4329166666666,100,2.4184722222222224,70041,61275,0.4609540432160616,0.2295081967213114,171,5.147494476813453,7.112680207801902,1.22919373261754
grpc,100,3217.104027777778,100,48.183055555555555,11309,20811,0.8398444888862241,0.6885245901639344,387,5.961005339623274,8.076547653871897,3.895549164901885
framework,100,52.82625,100,8.595694444444444,19226,18211,0.903460751929737,0.819672131147541,1317,7.183870715062453,3.985761266389964,2.2613145024992902
