repo,n_newcomers,n_retained,retention_rate,unique_contributors_for_metrics,archetype,entropy_norm,active_window_rate,health_docs_touch_bus50,reactive_rate,log_contributors,log_bus50
AdminLTE,24,4,0.16666666666666666,21,Sparse,0.6144959087119523,0.2622950819672131,2,0.3,3.091042453358316,1.0986122886681098
AspNetCore.Docs,732,116,0.15846994535519127,521,Occasional,0.696989337819305,0.3114754098360656,4,0.76,6.257667587882639,1.6094379124341003
Chart.js,174,18,0.10344827586206896,119,Occasional,0.656522194133825,0.2786885245901639,3,1.0,4.787491742782046,1.3862943611198906
DefinitelyTyped,6734,1231,0.1828036828036828,5230,Consistent,0.8444906552249595,0.7704918032786885,4,0.9837,8.562357743370612,1.6094379124341003
FFmpeg,455,139,0.3054945054945055,601,Consistent,0.9445804520678962,0.9672131147540984,4,0.0171,6.400257445308821,1.6094379124341003
FreeRDP,170,50,0.29411764705882354,179,Occasional,0.7307802444542505,0.4098360655737705,1,0.0189,5.19295685089021,0.6931471805599453
Ghost,358,108,0.3016759776536313,235,Occasional,0.7971271222100823,0.5081967213114754,2,0.1887,5.4638318050256105,1.0986122886681098
HanLP,10,2,0.2,9,Occasional,0.7242534624510166,0.4262295081967213,1,0.0227,2.302585092994046,0.6931471805599453
Marlin,467,141,0.3019271948608137,311,Occasional,0.7624395199919911,0.4262295081967213,2,0.6098,5.7430031878094825,1.0986122886681098
PHPMailer,90,10,0.1111111111111111,65,Occasional,0.8035379139988229,0.5737704918032787,1,0.087,4.189654742026425,0.6931471805599453
Python,1930,552,0.2860103626943005,171,Sparse,0.4609540432160616,0.2295081967213114,3,0.0476,5.147494476813453,1.3862943611198906
Rocket.Chat,283,115,0.40636042402826855,169,Consistent,0.8706569291712621,0.7213114754098361,1,0.1231,5.135798437050262,0.6931471805599453
TypeScript,330,80,0.24242424242424243,260,Occasional,0.7761355199764771,0.4426229508196721,7,0.9,5.564520407322694,2.0794415416798357
Vue-core,418,102,0.24401913875598086,308,Consistent,0.8910823611578284,0.8688524590163934,1,0.1625,5.733341276897746,0.6931471805599453
WordPress,26,25,0.9615384615384616,61,Occasional,0.7618609389563106,0.4098360655737705,2,0.8387,4.127134385045092,1.0986122886681098
airflow,2285,686,0.300218818380744,1389,Consistent,0.9517714861438265,1.0,6,0.9965,7.237059026124737,1.9459101490553132
angular,1082,212,0.19593345656192238,1023,Consistent,0.9888412870279784,1.0,5,0.4146,6.931471805599453,1.791759469228055
animate.css,19,2,0.10526315789473684,17,Sparse,0.4942402237821651,0.1475409836065573,2,0.5385,2.8903717578961645,1.0986122886681098
ansible,653,83,0.12710566615620214,498,Sparse,0.6275124848977414,0.2295081967213114,6,1.0,6.212606095751519,1.9459101490553132
ant-design,1196,254,0.21237458193979933,824,Consistent,0.9726613965447332,1.0,4,0.8292,6.715383386334681,1.6094379124341003
ardupilot,502,171,0.34063745019920316,492,Occasional,0.7051409591642314,0.3278688524590163,8,0.0714,6.20050917404269,2.1972245773362196
aspnetcore,600,148,0.24666666666666667,454,Occasional,0.71489890178309,0.360655737704918,5,0.9459,6.12029741895095,1.791759469228055
axios,252,20,0.07936507936507936,172,Consistent,0.8074911673397316,0.7049180327868853,5,0.7788,5.153291594497779,1.791759469228055
azure-quickstart-templates,483,173,0.3581780538302277,351,Sparse,0.3372261973790022,0.0655737704918032,1,0.6,5.863631175598097,0.6931471805599453
bitcoin,334,123,0.36826347305389223,377,Consistent,0.8734936734862313,0.6721311475409836,3,0.4242,5.934894195619588,1.3862943611198906
bootstrap,308,50,0.16233766233766234,257,Consistent,0.8630245209581516,0.6885245901639344,1,0.7978,5.552959584921617,0.6931471805599453
core,2498,804,0.32185748598879105,1826,Occasional,0.7444371181707646,0.3770491803278688,8,1.0,7.510430556378006,2.1972245773362196
d3,20,4,0.2,10,Sparse,0.5461211772250886,0.1639344262295081,1,0.2308,2.3978952727983707,0.6931471805599453
darknet,1,0,0.0,1,Sparse,0.4748013448513826,0.1475409836065573,1,0.0,0.6931471805599453,0.6931471805599453
django,903,190,0.21040974529346623,870,Consistent,0.9231480685272992,0.8524590163934426,77,0.8721,6.769641976852503,4.356708826689592
dubbo,324,113,0.3487654320987654,208,Occasional,0.7755033372766229,0.4754098360655737,3,0.6471,5.342334251964811,1.3862943611198906
echarts,176,30,0.17045454545454544,154,Sparse,0.6202330303063626,0.2622950819672131,2,0.2667,5.043425116919247,1.0986122886681098
