repo,commit_sha,commit_date,health_file
animate.css,eab05177f7aacb490a3516e3e7ead11e0503db8e,2024-03-02,README.md
animate.css,847fdd268a6d36b7662ee43febe2a1bab30547b0,2021-10-08,README.md
animate.css,847fdd268a6d36b7662ee43febe2a1bab30547b0,2021-10-08,SECURITY.md
animate.css,4675de758ab8b42f13403b7e9ee00d4d0a1f2263,2021-09-15,README.md
animate.css,4918028b7a1070ae68e3912f4047424546104c65,2021-09-13,LICENSE
animate.css,ed0f4015a76031b685e1093bda93a10a9ba4bcee,2021-08-03,CODE_OF_CONDUCT.md
animate.css,ed0f4015a76031b685e1093bda93a10a9ba4bcee,2021-08-03,README.md
animate.css,ed0f4015a76031b685e1093bda93a10a9ba4bcee,2021-08-03,security.md
animate.css,0b97ceb6bcf5631a46794786ab986a21e6903b32,2021-07-06,security.md
animate.css,6f77b6fe288f4c69f8c228a917ff4186b91db365,2021-05-20,CONTRIBUTING.md
animate.css,b0472e750e84a84c3c3c83d75a052f5805991897,2020-09-21,README.md
animate.css,de43da2b6f0975eae3b4f79ee2c6f7883d3d01bf,2020-08-13,CONTRIBUTING.md
animate.css,f8a2597dde1cc1d2ebd7ae68d3ed6aba4de92817,2020-08-12,CONTRIBUTING.md
animate.css,1966a6232b5caa7368cb899061d7911c02f026bb,2020-08-12,CONTRIBUTING.md
animate.css,a8386506c8c76658057b83404d28b2027ccd95f5,2020-08-07,CONTRIBUTING.md
animate.css,2d79e8f9b71042b245095d795f0dbfbc9c3d701e,2020-07-09,CODE_OF_CONDUCT.md
animate.css,2d79e8f9b71042b245095d795f0dbfbc9c3d701e,2020-07-09,CONTRIBUTING.md
animate.css,2d79e8f9b71042b245095d795f0dbfbc9c3d701e,2020-07-09,LICENSE
animate.css,2d79e8f9b71042b245095d795f0dbfbc9c3d701e,2020-07-09,README.md
