repo,month,health_file_commit_count
ant-design,2020-06,2
ant-design,2020-07,7
ant-design,2020-08,10
ant-design,2020-09,8
ant-design,2020-10,12
ant-design,2020-11,40
ant-design,2020-12,5
ant-design,2021-01,15
ant-design,2021-02,11
ant-design,2021-03,6
ant-design,2021-04,4
ant-design,2021-05,9
ant-design,2021-06,6
ant-design,2021-07,5
ant-design,2021-08,6
ant-design,2021-09,8
ant-design,2021-10,9
ant-design,2021-11,4
ant-design,2021-12,10
ant-design,2022-01,5
ant-design,2022-02,6
ant-design,2022-03,9
ant-design,2022-04,13
ant-design,2022-05,7
ant-design,2022-06,7
ant-design,2022-07,8
ant-design,2022-08,8
ant-design,2022-09,11
ant-design,2022-10,5
ant-design,2022-11,19
ant-design,2022-12,13
ant-design,2023-01,11
ant-design,2023-02,11
ant-design,2023-03,6
ant-design,2023-04,11
ant-design,2023-05,7
ant-design,2023-06,6
ant-design,2023-07,12
ant-design,2023-08,11
ant-design,2023-09,14
ant-design,2023-10,5
ant-design,2023-11,14
ant-design,2023-12,14
ant-design,2024-01,9
ant-design,2024-02,5
ant-design,2024-03,11
ant-design,2024-04,10
ant-design,2024-05,9
ant-design,2024-06,7
ant-design,2024-07,13
ant-design,2024-08,11
ant-design,2024-09,8
ant-design,2024-10,8
ant-design,2024-11,10
ant-design,2024-12,6
ant-design,2025-01,10
ant-design,2025-02,7
ant-design,2025-03,6
ant-design,2025-04,11
ant-design,2025-05,10
ant-design,2025-06,7
