project_name,repo,active_window_rate,entropy_norm,cluster_id,archetype,unique_contributors_for_metrics
metasploit-framework,metasploit-framework,0.409836,0.66881,2,Occasional,318
juice-shop,juice-shop,0.819672,0.89028,0,Consistent,58
flask,flask,0.245902,0.624344,2,Occasional,138
terraform,terraform,0.918033,0.918735,0,Consistent,377
FFmpeg,FFmpeg,0.967213,0.94458,0,Consistent,601
aspnetcore,aspnetcore,0.360656,0.714899,2,Occasional,454
Marlin,Marlin,0.42623,0.76244,2,Occasional,311
jekyll,jekyll,0.885246,0.889046,0,Consistent,126
PHPMailer,PHPMailer,0.57377,0.803538,2,Occasional,65
go,go,0.377049,0.710539,2,Occasional,1079
core,core,0.377049,0.744437,2,Occasional,1826
bootstrap,bootstrap,0.688525,0.863095,0,Consistent,257
dotfiles,dotfiles,0.04918,0.256617,1,Sparse,13
Chart.js,Chart.js,0.278689,0.656522,2,Occasional,119
WordPress,WordPress,0.409836,0.761861,2,Occasional,61
react-native,react-native,0.885246,0.905185,0,Consistent,1233
pdf.js,pdf.js,0.360656,0.726091,2,Occasional,98
DefinitelyTyped,DefinitelyTyped,0.770492,0.844491,0,Consistent,5230
Python,Python,0.229508,0.460954,1,Sparse,171
grpc,grpc,0.688525,0.839844,0,Consistent,387
framework,framework,0.819672,0.903461,0,Consistent,1317
guava,guava,0.442623,0.763849,2,Occasional,114
flink,flink,0.409836,0.76532,2,Occasional,882
minimal-mistakes,minimal-mistakes,0.47541,0.710538,2,Occasional,55
redis,redis,0.459016,0.6868,2,Occasional,335
ardupilot,ardupilot,0.327869,0.705141,2,Occasional,492
material-ui,material-ui,1.0,0.978237,0,Consistent,790
mybatis-3,mybatis-3,0.180328,0.547993,1,Sparse,88
ionic-framework,ionic-framework,0.967213,0.945797,0,Consistent,97
imgui,imgui,0.163934,0.53633,1,Sparse,230
TypeScript,TypeScript,0.442623,0.776136,2,Occasional,260
odoo,odoo,0.213115,0.613789,2,Occasional,1496
rust,rust,1.0,0.975515,0,Consistent,3638
animate.css,animate.css,0.147541,0.49424,1,Sparse,17
jquery,jquery,0.311475,0.683898,2,Occasional,20
Vue-core,Vue-core,0.885246,0.89306,0,Consistent,308
lantern,lantern,0.081967,0.343717,1,Sparse,4
three.js,three.js,0.47541,0.781526,2,Occasional,599
angular,angular,1.0,0.989491,0,Consistent,1023
grafana,grafana,1.0,0.969365,0,Consistent,980
netty,netty,0.295082,0.641841,2,Occasional,220
scrapy,scrapy,0.409836,0.710725,2,Occasional,165
numpy,numpy,0.377049,0.678329,2,Occasional,773
Ghost,Ghost,0.508197,0.797127,2,Occasional,235
ansible,ansible,0.229508,0.627512,2,Occasional,498
bitcoin,bitcoin,0.672131,0.873494,0,Consistent,377
airflow,airflow,1.0,0.951771,0,Consistent,1389
FreeRDP,FreeRDP,0.409836,0.73078,2,Occasional,179
todomvc,todomvc,0.032787,0.154837,1,Sparse,8
nixpkgs,nixpkgs,0.704918,0.829613,0,Consistent,8008
markdown-here,markdown-here,0.065574,0.310648,1,Sparse,2
flutter,flutter,0.868852,0.92044,0,Consistent,978
go-ethereum,go-ethereum,0.540984,0.828941,2,Occasional,416
opencv,opencv,0.196721,0.570179,1,Sparse,578
socket.io,socket.io,0.721311,0.832094,0,Consistent,104
shadowsocks-android,shadowsocks-android,0.114754,0.459552,1,Sparse,8
spring-framework,spring-framework,0.327869,0.70343,2,Occasional,556
erpnext,erpnext,0.278689,0.589591,2,Occasional,280
ohmyzsh,ohmyzsh,0.459016,0.770242,2,Occasional,597
kafka,kafka,0.491803,0.782189,2,Occasional,561
d3,d3,0.163934,0.546121,1,Sparse,10
Rocket.Chat,Rocket.Chat,0.721311,0.870657,0,Consistent,169
azure-quickstart-templates,azure-quickstart-templates,0.081967,0.391507,1,Sparse,351
moby,moby,0.557377,0.827508,2,Occasional,303
etcd,etcd,0.688525,0.865654,0,Consistent,444
homebrew-cask,homebrew-cask,0.360656,0.707154,2,Occasional,3456
html5-boilerplate,html5-boilerplate,0.393443,0.737572,2,Occasional,18
youtube-dl,youtube-dl,0.278689,0.563159,2,Occasional,100
java-design-patterns,java-design-patterns,0.803279,0.768605,0,Consistent,122
symfony,symfony,0.983607,0.922871,0,Consistent,1599
dubbo,dubbo,0.47541,0.775503,2,Occasional,208
jenkins,jenkins,0.52459,0.808232,2,Occasional,173
node,node,1.0,0.969046,0,Consistent,991
kubernetes,kubernetes,0.278689,0.670308,2,Occasional,2019
qmk_firmware,qmk_firmware,0.393443,0.760012,2,Occasional,1109
darknet,darknet,0.147541,0.474801,1,Sparse,1
HanLP,HanLP,0.42623,0.724253,2,Occasional,9
electron,electron,0.540984,0.83044,2,Occasional,307
openssl,openssl,0.459016,0.783651,2,Occasional,689
data,data,0.032787,0.136792,1,Sparse,16
echarts,echarts,0.278689,0.638465,2,Occasional,154
reveal.js,reveal.js,0.229508,0.593865,2,Occasional,50
AspNetCore.Docs,AspNetCore.Docs,0.311475,0.696989,2,Occasional,521
