repo,month,health_file_commit_count
axios,2020-06,0
axios,2020-07,2
axios,2020-08,1
axios,2020-09,0
axios,2020-10,2
axios,2020-11,0
axios,2020-12,1
axios,2021-01,2
axios,2021-02,3
axios,2021-03,2
axios,2021-04,1
axios,2021-05,2
axios,2021-06,0
axios,2021-07,0
axios,2021-08,4
axios,2021-09,6
axios,2021-10,5
axios,2021-11,0
axios,2021-12,1
axios,2022-01,1
axios,2022-02,2
axios,2022-03,7
axios,2022-04,8
axios,2022-05,23
axios,2022-06,2
axios,2022-07,0
axios,2022-08,0
axios,2022-09,6
axios,2022-10,17
axios,2022-11,9
axios,2022-12,4
axios,2023-01,6
axios,2023-02,5
axios,2023-03,0
axios,2023-04,4
axios,2023-05,0
axios,2023-06,0
axios,2023-07,0
axios,2023-08,4
axios,2023-09,4
axios,2023-10,1
axios,2023-11,5
axios,2023-12,4
axios,2024-01,6
axios,2024-02,2
axios,2024-03,2
axios,2024-04,1
axios,2024-05,6
axios,2024-06,0
axios,2024-07,0
axios,2024-08,10
axios,2024-09,3
axios,2024-10,6
axios,2024-11,7
axios,2024-12,6
axios,2025-01,11
axios,2025-02,4
axios,2025-03,7
axios,2025-04,4
axios,2025-05,2
axios,2025-06,5
