project_name,repo,since,until,months,include_merges,total_commits_in_range,health_file_commits,active_months,active_month_rate,entropy_norm,top1_month_share,top3_month_share,top6_month_share,gini_month_concentration
metasploit-framework,metasploit-framework,2020-06-30,2025-06-29,61,no,14692,79,25,0.409836,0.668810,0.265823,0.443038,0.594937,0.785225
juice-shop,juice-shop,2020-06-30,2025-06-29,61,no,6394,140,50,0.819672,0.890280,0.071429,0.178571,0.307143,0.499532
flask,flask,2020-06-30,2025-06-29,61,no,877,32,15,0.245902,0.624344,0.125000,0.375000,0.625000,0.825820
terraform,terraform,2020-06-30,2025-06-29,61,no,6466,562,56,0.918033,0.918735,0.065836,0.170819,0.286477,0.438014
FFmpeg,FFmpeg,2020-06-30,2025-06-29,61,no,21718,410,59,0.967213,0.944580,0.058537,0.136585,0.239024,0.369292
aspnetcore,aspnetcore,2020-06-30,2025-06-29,61,no,10420,37,22,0.360656,0.714899,0.135135,0.297297,0.486486,0.741693
Marlin,Marlin,2020-06-30,2025-06-29,61,no,6303,41,26,0.426230,0.762440,0.097561,0.243902,0.414634,0.682927
jekyll,jekyll,2020-06-30,2025-06-29,61,no,844,388,54,0.885246,0.889046,0.072165,0.185567,0.317010,0.513182
PHPMailer,PHPMailer,2020-06-30,2025-06-29,61,no,729,115,35,0.573770,0.803538,0.104348,0.234783,0.400000,0.650891
go,go,2020-06-30,2025-06-29,61,no,18851,46,23,0.377049,0.710539,0.108696,0.304348,0.521739,0.752673
core,core,2020-06-30,2025-06-29,61,no,67821,30,23,0.377049,0.744437,0.100000,0.233333,0.433333,0.690710
bootstrap,bootstrap,2020-06-30,2025-06-29,61,no,3179,89,42,0.688525,0.863095,0.067416,0.191011,0.337079,0.540799
dotfiles,dotfiles,2020-06-30,2025-06-29,61,no,105,5,3,0.049180,0.256617,0.400000,1.000000,1.000000,0.957377
Chart.js,Chart.js,2020-06-30,2025-06-29,61,no,1345,25,17,0.278689,0.656522,0.160000,0.360000,0.560000,0.790820
WordPress,WordPress,2020-06-30,2025-06-29,61,no,9364,31,25,0.409836,0.761861,0.096774,0.258065,0.387097,0.658911
react-native,react-native,2020-06-30,2025-06-29,61,no,17069,221,54,0.885246,0.905185,0.067873,0.176471,0.303167,0.471330
pdf.js,pdf.js,2020-06-30,2025-06-29,61,no,4691,29,22,0.360656,0.726091,0.137931,0.275862,0.448276,0.711136
DefinitelyTyped,DefinitelyTyped,2020-06-30,2025-06-29,61,no,19754,123,47,0.770492,0.844491,0.089431,0.252033,0.414634,0.579768
Python,Python,2020-06-30,2025-06-29,61,no,1767,42,14,0.229508,0.460954,0.476190,0.714286,0.809524,0.900859
grpc,grpc,2020-06-30,2025-06-29,61,no,10265,160,42,0.688525,0.839844,0.125000,0.225000,0.337500,0.582787
framework,framework,2020-06-30,2025-06-29,61,no,9924,402,50,0.819672,0.903461,0.059701,0.166667,0.268657,0.454694
guava,guava,2020-06-30,2025-06-29,61,no,1647,48,27,0.442623,0.763849,0.104167,0.250000,0.437500,0.687842
flink,flink,2020-06-30,2025-06-29,61,no,14042,32,25,0.409836,0.765320,0.093750,0.218750,0.406250,0.660861
minimal-mistakes,minimal-mistakes,2020-06-30,2025-06-29,61,no,389,204,29,0.475410,0.710538,0.166667,0.352941,0.549020,0.767920
redis,redis,2020-06-30,2025-06-29,61,no,3175,68,28,0.459016,0.686800,0.294118,0.411765,0.544118,0.750723
ardupilot,ardupilot,2020-06-30,2025-06-29,61,no,25456,28,20,0.327869,0.705141,0.107143,0.285714,0.500000,0.742389
material-ui,material-ui,2020-06-30,2025-06-29,61,no,12753,586,61,1.000000,0.978237,0.037543,0.104096,0.187713,0.227494
mybatis-3,mybatis-3,2020-06-30,2025-06-29,61,no,1340,16,11,0.180328,0.547993,0.250000,0.500000,0.687500,0.864754
ionic-framework,ionic-framework,2020-06-30,2025-06-29,61,no,3200,340,59,0.967213,0.945797,0.076471,0.158824,0.255882,0.345709
imgui,imgui,2020-06-30,2025-06-29,61,no,3319,13,10,0.163934,0.536330,0.230769,0.461538,0.692308,0.867591
TypeScript,TypeScript,2020-06-30,2025-06-29,61,no,5549,40,27,0.442623,0.776136,0.100000,0.225000,0.375000,0.658197
odoo,odoo,2020-06-30,2025-06-29,61,no,47931,15,13,0.213115,0.613789,0.133333,0.333333,0.533333,0.810929
rust,rust,2020-06-30,2025-06-29,61,no,100158,1772,61,1.000000,0.975515,0.051919,0.123589,0.205418,0.241590
animate.css,animate.css,2020-06-30,2025-06-29,61,no,173,13,9,0.147541,0.494240,0.307692,0.538462,0.769231,0.890290
jquery,jquery,2020-06-30,2025-06-29,61,no,265,26,19,0.311475,0.683898,0.153846,0.346154,0.500000,0.759142
Vue-core,Vue-core,2020-06-30,2025-06-29,61,no,4448,320,54,0.885246,0.893060,0.068750,0.178125,0.303125,0.503484
lantern,lantern,2020-06-30,2025-06-29,61,no,538,32,5,0.081967,0.343717,0.375000,0.812500,1.000000,0.944672
three.js,three.js,2020-06-30,2025-06-29,61,no,10614,64,29,0.475410,0.781526,0.078125,0.234375,0.390625,0.669570
angular,angular,2020-06-30,2025-06-29,61,no,14945,697,61,1.000000,0.989491,0.028694,0.080344,0.149211,0.155467
grafana,grafana,2020-06-30,2025-06-29,61,no,34604,501,61,1.000000,0.969365,0.063872,0.135729,0.219561,0.261641
netty,netty,2020-06-30,2025-06-29,61,no,3682,38,18,0.295082,0.641841,0.184211,0.421053,0.631579,0.815358
scrapy,scrapy,2020-06-30,2025-06-29,61,no,1911,51,25,0.409836,0.710725,0.137255,0.392157,0.549020,0.748955
numpy,numpy,2020-06-30,2025-06-29,61,no,11158,55,23,0.377049,0.678329,0.163636,0.400000,0.618182,0.785693
Ghost,Ghost,2020-06-30,2025-06-29,61,no,24317,53,31,0.508197,0.797127,0.113208,0.245283,0.377358,0.635323
ansible,ansible,2020-06-30,2025-06-29,61,no,4797,19,14,0.229508,0.627512,0.105263,0.315789,0.578947,0.809318
