project_name,repo,active_window_rate,entropy_norm,cluster_id,archetype,unique_contributors_for_metrics
metasploit-framework,metasploit-framework,0.4098360655737705,0.66881,1,Occasional,318
juice-shop,juice-shop,0.819672131147541,0.89028,2,Consistent,58
flask,flask,0.2459016393442623,0.624344,1,Occasional,138
terraform,terraform,0.918032786885246,0.918735,2,Consistent,377
FFmpeg,FFmpeg,0.9672131147540984,0.94458,2,Consistent,601
aspnetcore,aspnetcore,0.360655737704918,0.714899,1,Occasional,454
Marlin,Marlin,0.4262295081967213,0.76244,1,Occasional,311
jekyll,jekyll,0.8852459016393442,0.889046,2,Consistent,126
PHPMailer,PHPMailer,0.5737704918032787,0.803538,1,Occasional,65
go,go,0.3770491803278688,0.710539,1,Occasional,1079
core,core,0.3770491803278688,0.744437,1,Occasional,1826
bootstrap,bootstrap,0.6885245901639344,0.863095,2,Consistent,257
dotfiles,dotfiles,0.0491803278688524,0.256617,0,Sparse,13
Chart.js,Chart.js,0.2786885245901639,0.656522,1,Occasional,119
WordPress,WordPress,0.4098360655737705,0.761861,1,Occasional,61
react-native,react-native,0.8852459016393442,0.905185,2,Consistent,1233
pdf.js,pdf.js,0.360655737704918,0.726091,1,Occasional,98
DefinitelyTyped,DefinitelyTyped,0.7704918032786885,0.844491,2,Consistent,5230
Python,Python,0.2295081967213114,0.460954,0,Sparse,171
grpc,grpc,0.6885245901639344,0.839844,2,Consistent,387
framework,framework,0.819672131147541,0.903461,2,Consistent,1317
guava,guava,0.4426229508196721,0.763849,1,Occasional,114
flink,flink,0.4098360655737705,0.76532,1,Occasional,882
minimal-mistakes,minimal-mistakes,0.4754098360655737,0.710538,1,Occasional,55
redis,redis,0.4590163934426229,0.6868,1,Occasional,335
ardupilot,ardupilot,0.3278688524590163,0.705141,1,Occasional,492
material-ui,material-ui,1.0,0.978237,2,Consistent,790
mybatis-3,mybatis-3,0.180327868852459,0.547993,0,Sparse,88
ionic-framework,ionic-framework,0.9672131147540984,0.945797,2,Consistent,97
imgui,imgui,0.1639344262295081,0.53633,0,Sparse,230
TypeScript,TypeScript,0.4426229508196721,0.776136,1,Occasional,260
odoo,odoo,0.2131147540983606,0.613789,0,Sparse,1496
rust,rust,1.0,0.975515,2,Consistent,3638
animate.css,animate.css,0.1475409836065573,0.49424,0,Sparse,17
jquery,jquery,0.3114754098360656,0.683898,1,Occasional,20
Vue-core,Vue-core,0.8852459016393442,0.89306,2,Consistent,308
lantern,lantern,0.081967213114754,0.343717,0,Sparse,4
three.js,three.js,0.4754098360655737,0.781526,1,Occasional,599
angular,angular,1.0,0.989491,2,Consistent,1023
grafana,grafana,1.0,0.969365,2,Consistent,980
netty,netty,0.2950819672131147,0.641841,1,Occasional,220
scrapy,scrapy,0.4098360655737705,0.710725,1,Occasional,165
numpy,numpy,0.3770491803278688,0.678329,1,Occasional,773
Ghost,Ghost,0.5081967213114754,0.797127,1,Occasional,235
ansible,ansible,0.2295081967213114,0.627512,1,Occasional,498
bitcoin,bitcoin,0.6721311475409836,0.873494,2,Consistent,377
airflow,airflow,1.0,0.951771,2,Consistent,1389
FreeRDP,FreeRDP,0.4098360655737705,0.73078,1,Occasional,179
todomvc,todomvc,0.0327868852459016,0.154837,0,Sparse,8
nixpkgs,nixpkgs,0.7049180327868853,0.829613,2,Consistent,8008
markdown-here,markdown-here,0.0655737704918032,0.310648,0,Sparse,2
flutter,flutter,0.8688524590163934,0.92044,2,Consistent,978
go-ethereum,go-ethereum,0.5409836065573771,0.828941,1,Occasional,416
opencv,opencv,0.1967213114754098,0.570179,0,Sparse,578
socket.io,socket.io,0.7213114754098361,0.832094,2,Consistent,104
shadowsocks-android,shadowsocks-android,0.1147540983606557,0.459552,0,Sparse,8
spring-framework,spring-framework,0.3278688524590163,0.70343,1,Occasional,556
erpnext,erpnext,0.2786885245901639,0.589591,0,Sparse,280
ohmyzsh,ohmyzsh,0.4590163934426229,0.770242,1,Occasional,597
kafka,kafka,0.4918032786885246,0.782189,1,Occasional,561
d3,d3,0.1639344262295081,0.546121,0,Sparse,10
Rocket.Chat,Rocket.Chat,0.7213114754098361,0.870657,2,Consistent,169
azure-quickstart-templates,azure-quickstart-templates,0.081967213114754,0.391507,0,Sparse,351
moby,moby,0.5573770491803278,0.827508,1,Occasional,303
etcd,etcd,0.6885245901639344,0.865654,2,Consistent,444
homebrew-cask,homebrew-cask,0.360655737704918,0.707154,1,Occasional,3456
html5-boilerplate,html5-boilerplate,0.3934426229508196,0.737572,1,Occasional,18
youtube-dl,youtube-dl,0.2786885245901639,0.563159,0,Sparse,100
java-design-patterns,java-design-patterns,0.8032786885245902,0.768605,2,Consistent,122
symfony,symfony,0.9836065573770492,0.922871,2,Consistent,1599
dubbo,dubbo,0.4754098360655737,0.775503,1,Occasional,208
jenkins,jenkins,0.5245901639344263,0.808232,1,Occasional,173
node,node,1.0,0.969046,2,Consistent,991
kubernetes,kubernetes,0.2786885245901639,0.670308,1,Occasional,2019
qmk_firmware,qmk_firmware,0.3934426229508196,0.760012,1,Occasional,1109
darknet,darknet,0.1475409836065573,0.474801,0,Sparse,1
HanLP,HanLP,0.4262295081967213,0.724253,1,Occasional,9
electron,electron,0.5409836065573771,0.83044,1,Occasional,307
openssl,openssl,0.4590163934426229,0.783651,1,Occasional,689
vscode,vscode,0.3442622950819672,0.711468,1,Occasional,1325
echarts,echarts,0.2786885245901639,0.638465,1,Occasional,154
reveal.js,reveal.js,0.2295081967213114,0.593865,0,Sparse,50
AspNetCore.Docs,AspNetCore.Docs,0.3114754098360656,0.696989,1,Occasional,521
django,django,0.8524590163934426,0.923148,2,Consistent,870
shadowsocks-windows,shadowsocks-windows,0.0491803278688524,0.25292,0,Sparse,10
react,react,0.4754098360655737,0.767743,1,Occasional,323
axios,axios,0.7704918032786885,0.867356,2,Consistent,172
elasticsearch,elasticsearch,0.7213114754098361,0.89155,2,Consistent,595
protobuf,protobuf,0.360655737704918,0.721779,1,Occasional,551
zxing,zxing,0.2131147540983606,0.595287,0,Sparse,25
godot,godot,0.7213114754098361,0.874294,2,Consistent,1796
spark,spark,0.3770491803278688,0.714899,1,Occasional,1033
laravel,laravel,0.9672131147540984,0.950281,2,Consistent,142
gitignore,gitignore,0.1311475409836065,0.497021,0,Sparse,213
pandas,pandas,0.4918032786885246,0.805104,1,Occasional,834
AdminLTE,AdminLTE,0.2622950819672131,0.614496,1,Occasional,21
react-router,react-router,0.8360655737704918,0.895802,2,Consistent,380
ant-design,ant-design,1.0,0.972748,2,Consistent,824
rails,rails,0.3770491803278688,0.717454,1,Occasional,1480
spring-boot,spring-boot,0.4098360655737705,0.730729,1,Occasional,575
