project_name,repo,since,until,dominant_threshold,bots_included_in_attr,merges_included,total_commits_in_range,health_docs_touch_commits,health_docs_touch_contributors,health_docs_touch_top1_share,health_docs_touch_top3_share,health_docs_touch_top5_share,health_docs_touch_top10_share,health_docs_touch_bus50,health_docs_touch_bus80,health_docs_only_commits,health_docs_only_contributors,health_docs_only_top1_share,health_docs_only_top3_share,health_docs_only_top5_share,health_docs_only_top10_share,health_docs_only_bus50,health_docs_only_bus80,health_docs_dominant_commits,health_docs_dominant_contributors,health_docs_dominant_top1_share,health_docs_dominant_top3_share,health_docs_dominant_top5_share,health_docs_dominant_top10_share,health_docs_dominant_bus50,health_docs_dominant_bus80,health_docs_non_dominant_commits,health_docs_non_dominant_contributors,health_docs_non_dominant_top1_share,health_docs_non_dominant_top3_share,health_docs_non_dominant_top5_share,health_docs_non_dominant_top10_share,health_docs_non_dominant_bus50,health_docs_non_dominant_bus80,health_docs_partition_check,health_docs_partition_touch,health_docs_partition_sum_parts
metasploit-framework,metasploit-framework,2020-06-30,2025-06-29,0.500,no,no,14699,51,17,0.176471,0.411765,0.607843,0.862745,4,8,51,17,0.176471,0.411765,0.607843,0.862745,4,8,0,0,,,,,,,0,0,,,,,,,True,51,51
juice-shop,juice-shop,2020-06-30,2025-06-29,0.500,no,no,6435,133,9,0.654135,0.924812,0.962406,1.000000,1,2,72,8,0.583333,0.888889,0.944444,1.000000,1,3,31,3,0.806452,1.000000,1.000000,1.000000,1,1,30,3,0.666667,1.000000,1.000000,1.000000,1,2,True,133,133
flask,flask,2020-06-30,2025-06-29,0.500,no,no,878,29,8,0.620690,0.827586,0.896552,1.000000,1,3,22,7,0.590909,0.818182,0.909091,1.000000,1,3,3,1,1.000000,1.000000,1.000000,1.000000,1,1,4,3,0.500000,1.000000,1.000000,1.000000,1,3,True,29,29
terraform,terraform,2020-06-30,2025-06-29,0.500,no,no,6473,560,55,0.217235,0.418312,0.552962,0.750449,4,13,471,52,0.243590,0.470085,0.594017,0.771368,4,12,83,16,0.204819,0.506024,0.662651,0.903614,3,8,6,5,0.333333,0.666667,1.000000,1.000000,2,4,True,560,560
FFmpeg,FFmpeg,2020-06-30,2025-06-29,0.500,no,no,21718,410,86,0.297561,0.465854,0.553659,0.653659,4,23,172,54,0.232558,0.430233,0.488372,0.616279,6,21,178,37,0.606742,0.702247,0.758427,0.831461,1,8,60,34,0.166667,0.316667,0.400000,0.566667,8,22,True,410,410
aspnetcore,aspnetcore,2020-06-30,2025-06-29,0.500,no,no,10441,32,21,0.156250,0.375000,0.500000,0.656250,5,15,28,19,0.178571,0.392857,0.500000,0.678571,5,14,3,2,0.666667,1.000000,1.000000,1.000000,1,2,1,1,1.000000,1.000000,1.000000,1.000000,1,1,True,32,32
Marlin,Marlin,2020-06-30,2025-06-29,0.500,no,no,6303,40,18,0.275000,0.600000,0.675000,0.800000,2,10,27,10,0.370370,0.740741,0.814815,1.000000,2,5,7,5,0.285714,0.714286,1.000000,1.000000,2,4,6,6,0.166667,0.500000,0.833333,1.000000,3,5,True,40,40
jekyll,jekyll,2020-06-30,2025-06-29,0.500,no,no,844,388,13,0.884021,0.948454,0.971649,0.992268,1,1,382,12,0.897906,0.952880,0.976440,0.994764,1,1,3,2,0.666667,1.000000,1.000000,1.000000,1,2,3,2,0.666667,1.000000,1.000000,1.000000,1,2,True,388,388
PHPMailer,PHPMailer,2020-06-30,2025-06-29,0.500,no,no,729,115,10,0.904348,0.939130,0.956522,1.000000,1,1,84,9,0.892857,0.928571,0.952381,1.000000,1,1,27,1,1.000000,1.000000,1.000000,1.000000,1,1,4,3,0.500000,1.000000,1.000000,1.000000,1,3,True,115,115
go,go,2020-06-30,2025-06-29,0.500,no,no,18854,43,35,0.093023,0.209302,0.302326,0.418605,14,27,43,35,0.093023,0.209302,0.302326,0.418605,14,27,0,0,,,,,,,0,0,,,,,,,True,43,43
