project_name,repo,active_window_rate,entropy_norm
metasploit-framework,metasploit-framework,0.409836,0.66881
juice-shop,juice-shop,0.819672,0.89028
flask,flask,0.245902,0.624344
terraform,terraform,0.918033,0.918735
FFmpeg,FFmpeg,0.967213,0.94458
aspnetcore,aspnetcore,0.360656,0.714899
Marlin,Marlin,0.42623,0.76244
jekyll,jekyll,0.885246,0.889046
PHPMailer,PHPMailer,0.57377,0.803538
go,go,0.377049,0.710539
core,core,0.377049,0.744437
bootstrap,bootstrap,0.688525,0.863095
dotfiles,dotfiles,0.04918,0.256617
Chart.js,Chart.js,0.278689,0.656522
WordPress,WordPress,0.409836,0.761861
react-native,react-native,0.885246,0.905185
pdf.js,pdf.js,0.360656,0.726091
DefinitelyTyped,DefinitelyTyped,0.770492,0.844491
Python,Python,0.229508,0.460954
grpc,grpc,0.688525,0.839844
framework,framework,0.819672,0.903461
guava,guava,0.442623,0.763849
flink,flink,0.409836,0.76532
minimal-mistakes,minimal-mistakes,0.47541,0.710538
redis,redis,0.459016,0.6868
ardupilot,ardupilot,0.327869,0.705141
material-ui,material-ui,1,0.978237
mybatis-3,mybatis-3,0.180328,0.547993
ionic-framework,ionic-framework,0.967213,0.945797
imgui,imgui,0.163934,0.53633
TypeScript,TypeScript,0.442623,0.776136
odoo,odoo,0.213115,0.613789
rust,rust,1,0.975515
animate.css,animate.css,0.147541,0.49424
jquery,jquery,0.311475,0.683898
Vue-core,Vue-core,0.885246,0.89306
lantern,lantern,0.081967,0.343717
three.js,three.js,0.47541,0.781526
angular,angular,1,0.989491
grafana,grafana,1,0.969365
netty,netty,0.295082,0.641841
scrapy,scrapy,0.409836,0.710725
numpy,numpy,0.377049,0.678329
Ghost,Ghost,0.508197,0.797127
ansible,ansible,0.229508,0.627512
bitcoin,bitcoin,0.672131,0.873494
airflow,airflow,1,0.951771
FreeRDP,FreeRDP,0.409836,0.73078
todomvc,todomvc,0.032787,0.154837
nixpkgs,nixpkgs,0.704918,0.829613
markdown-here,markdown-here,0.065574,0.310648
flutter,flutter,0.868852,0.92044
go-ethereum,go-ethereum,0.540984,0.828941
opencv,opencv,0.196721,0.570179
socket.io,socket.io,0.721311,0.832094
shadowsocks-android,shadowsocks-android,0.114754,0.459552
spring-framework,spring-framework,0.327869,0.70343
erpnext,erpnext,0.278689,0.589591
ohmyzsh,ohmyzsh,0.459016,0.770242
kafka,kafka,0.491803,0.782189
d3,d3,0.163934,0.546121
Rocket.Chat,Rocket.Chat,0.721311,0.870657
azure-quickstart-templates,azure-quickstart-templates,0.081967,0.391507
moby,moby,0.557377,0.827508
etcd,etcd,0.688525,0.865654
homebrew-cask,homebrew-cask,0.360656,0.707154
html5-boilerplate,html5-boilerplate,0.393443,0.737572
youtube-dl,youtube-dl,0.278689,0.563159
java-design-patterns,java-design-patterns,0.803279,0.768605
symfony,symfony,0.983607,0.922871
dubbo,dubbo,0.47541,0.775503
jenkins,jenkins,0.52459,0.808232
node,node,1,0.969046
kubernetes,kubernetes,0.278689,0.670308
qmk_firmware,qmk_firmware,0.393443,0.760012
darknet,darknet,0.147541,0.474801
HanLP,HanLP,0.42623,0.724253
electron,electron,0.540984,0.83044
openssl,openssl,0.459016,0.783651
data,data,0.032787,0.136792
echarts,echarts,0.278689,0.638465
reveal.js,reveal.js,0.229508,0.593865
AspNetCore.Docs,AspNetCore.Docs,0.311475,0.696989
django,django,0.852459,0.923148
shadowsocks-windows,shadowsocks-windows,0.04918,0.25292
react,react,0.47541,0.767743
axios,axios,0.770492,0.867356
elasticsearch,elasticsearch,0.721311,0.89155
protobuf,protobuf,0.360656,0.721779
zxing,zxing,0.213115,0.595287
godot,godot,0.721311,0.874294
spark,spark,0.377049,0.714899
laravel,laravel,0.967213,0.950281
gitignore,gitignore,0.131148,0.497021
pandas,pandas,0.491803,0.805104
AdminLTE,AdminLTE,0.114754,0.406998
react-router,react-router,0.836066,0.895802
ant-design,ant-design,1,0.972748
rails,rails,0.377049,0.717454
spring-boot,spring-boot,0.409836,0.730729
