project_name,repo,granularity,window_count,health_file_commits,mu,sigma,cv,phi_c,active_window_rate,label
metasploit-framework,metasploit-framework,month,61,79,1.2950819672131149,3.046004280447211,2.351977988699745,0.0,0.4098360655737705,unstable
juice-shop,juice-shop,month,61,140,2.2950819672131146,2.2236925918771684,0.9688946293179092,0.0,0.819672131147541,unstable
flask,flask,month,61,32,0.5245901639344263,1.0894426308446163,2.07675001504755,0.0,0.2459016393442623,unstable
terraform,terraform,month,61,562,9.21311475409836,7.810494551346414,0.8477583053952514,0.0,0.9180327868852459,unstable
FFmpeg,FFmpeg,month,61,410,6.721311475409836,4.662371169054731,0.6936698568593624,0.0,0.9672131147540983,unstable
aspnetcore,aspnetcore,month,61,37,0.6065573770491803,1.0210891003334,1.6834171654145242,0.0,0.36065573770491804,unstable
Marlin,Marlin,month,61,41,0.6721311475409836,0.9612719260682664,1.4301850607357134,0.0,0.4262295081967213,unstable
2048,2048,month,61,1,0.01639344262295082,0.12803687993289598,7.810249675906654,0.0,0.01639344262295082,sparse
jekyll,jekyll,month,61,388,6.360655737704918,6.266399250194767,0.9851813254172185,0.0,0.8852459016393442,unstable
PHPMailer,PHPMailer,month,61,115,1.8852459016393444,2.510633125035315,1.3317271358882974,0.0,0.5737704918032787,unstable
go,go,month,61,46,0.7540983606557377,1.2994324107716932,1.723160370805941,0.0,0.3770491803278688,unstable
core,core,month,61,30,0.4918032786885246,0.7216405111427742,1.4673357059903076,0.0,0.3770491803278688,unstable
bootstrap,bootstrap,month,61,89,1.459016393442623,1.5337728046857015,1.0512375402902,0.0,0.6885245901639344,unstable
dotfiles,dotfiles,month,61,5,0.08196721311475409,0.3783773234578201,4.616203346185405,0.0,0.04918032786885246,unstable
Chart.js,Chart.js,month,61,25,0.4098360655737705,0.803680060312723,1.9609793471630441,0.0,0.2786885245901639,unstable
WordPress,WordPress,month,61,31,0.5081967213114754,0.7216405111427742,1.4200022961196523,0.0,0.4098360655737705,unstable
react-native,react-native,month,61,221,3.622950819672131,3.3023422719146356,0.9115062379492886,0.0,0.8852459016393442,unstable
pdf.js,pdf.js,month,61,29,0.47540983606557374,0.7660843595203073,1.6114188251978878,0.0,0.36065573770491804,unstable
DefinitelyTyped,DefinitelyTyped,month,61,123,2.0163934426229506,2.5722351064051185,1.27566131293262,0.0,0.7704918032786885,unstable
Python,Python,month,61,42,0.6885245901639344,2.6928360737740014,3.911023821433669,0.0,0.22950819672131148,unstable
grpc,grpc,month,61,160,2.622950819672131,3.2617170040038195,1.2435296077764562,0.0,0.6885245901639344,unstable
framework,framework,month,61,402,6.590163934426229,5.583836940015136,0.8472986401515504,0.0,0.819672131147541,unstable
guava,guava,month,61,48,0.7868852459016393,1.1418516263560787,1.4511031084941834,0.0,0.4426229508196721,unstable
flink,flink,month,61,32,0.5245901639344263,0.7212617966002168,1.3749052997691633,0.0,0.4098360655737705,unstable
minimal-mistakes,minimal-mistakes,month,61,204,3.3442622950819674,6.2446917348567315,1.8672852736581402,0.0,0.47540983606557374,unstable
redis,redis,month,61,68,1.1147540983606556,2.7024578976414393,2.424263702295997,0.0,0.45901639344262296,unstable
ardupilot,ardupilot,month,61,28,0.45901639344262296,0.7653707269858026,1.6674147980762126,0.0,0.32786885245901637,unstable
material-ui,material-ui,month,61,586,9.60655737704918,4.079537100066584,0.4246617117816751,0.30135315287329956,1.0,stable
mybatis-3,mybatis-3,month,61,16,0.26229508196721313,0.6807260668889333,2.595268130014058,0.0,0.18032786885245902,unstable
ionic-framework,ionic-framework,month,61,340,5.573770491803279,4.03509197083719,0.723942971238437,0.0,0.9672131147540983,unstable
imgui,imgui,month,61,13,0.21311475409836064,0.5512033532300232,2.586415734387032,0.0,0.16393442622950818,unstable
TypeScript,TypeScript,month,61,40,0.6557377049180327,0.892286312451322,1.360736626488266,0.0,0.4426229508196721,unstable
odoo,odoo,month,61,15,0.2459016393442623,0.5051645839037027,2.0543359745417242,0.0,0.21311475409836064,unstable
rust,rust,month,61,1772,29.049180327868854,14.137923267472486,0.48668923211953813,0.053243071521847485,1.0,stable
animate.css,animate.css,month,61,13,0.21311475409836064,0.6354723728157046,2.9818319032121523,0.0,0.14754098360655737,unstable
jquery,jquery,month,61,26,0.4262295081967213,0.7844109550790882,1.8403487792240147,0.0,0.3114754098360656,unstable
Vue-core,Vue-core,month,61,320,5.245901639344262,5.035393853198636,0.9598719532659901,0.0,0.8852459016393442,unstable
lantern,lantern,month,61,32,0.5245901639344263,2.0785135504092755,3.962166455467681,0.0,0.08196721311475409,unstable
android-open-projects-app,android-open-projects-app,month,61,0,0.0,0.0,,0.0,0.0,inactive
three.js,three.js,month,61,64,1.0491803278688525,1.4192278359281232,1.3527015311189923,0.0,0.47540983606557374,unstable
angular,angular,month,61,697,11.426229508196721,3.2683278925338493,0.2860373047985148,0.8558507808059408,1.0,stable
grafana,grafana,month,61,501,8.21311475409836,4.61560669214915,0.5619800563295373,0.0,1.0,unstable
netty,netty,month,61,38,0.6229508196721312,1.3312141629133094,2.136949050992418,0.0,0.29508196721311475,unstable
scrapy,scrapy,month,61,51,0.8360655737704918,1.5511321442616515,1.8552757019600143,0.0,0.4098360655737705,unstable
numpy,numpy,month,61,55,0.9016393442622951,1.8230461507486755,2.021923912648531,0.0,0.3770491803278688,unstable
Ghost,Ghost,month,61,53,0.8688524590163934,1.1615422195808693,1.3368693470647741,0.0,0.5081967213114754,unstable
ansible,ansible,month,61,19,0.3114754098360656,0.6202414477861928,1.9913014902609347,0.0,0.22950819672131148,unstable
bitcoin,bitcoin,month,61,66,1.0819672131147542,1.0375464964233831,0.9589444891185813,0.0,0.6721311475409836,unstable
airflow,airflow,month,61,568,9.311475409836065,6.004278984209393,0.6448257359802342,0.0,1.0,unstable
FreeRDP,FreeRDP,month,61,53,0.8688524590163934,1.4198052664135035,1.634115495306108,0.0,0.4098360655737705,unstable
todomvc,todomvc,month,61,3,0.04918032786885246,0.2843841010673605,5.782476721702997,0.0,0.03278688524590164,sparse
nixpkgs,nixpkgs,month,61,165,2.7049180327868854,4.055219937706141,1.4992025224246945,0.0,0.7049180327868853,unstable
markdown-here,markdown-here,month,61,7,0.11475409836065574,0.48642781772625165,4.23887098304305,0.0,0.06557377049180328,unstable
flutter,flutter,month,61,166,2.721311475409836,2.1065860813251347,0.7741069334989953,0.0,0.8688524590163934,unstable
MPAndroidChart,MPAndroidChart,month,61,5,0.08196721311475409,0.3783773234578201,4.616203346185405,0.0,0.04918032786885246,unstable
go-ethereum,go-ethereum,month,61,53,0.8688524590163934,0.9569989522123413,1.1014516242443928,0.0,0.5409836065573771,unstable
opencv,opencv,month,61,17,0.2786885245901639,0.6863222649500161,2.462685774232411,0.0,0.19672131147540983,unstable
socket.io,socket.io,month,61,349,5.721311475409836,7.071376922827651,1.2359713246203057,0.0,0.7213114754098361,unstable
shadowsocks-android,shadowsocks-android,month,61,9,0.14754098360655737,0.44106180873623946,2.9894189258789563,0.0,0.11475409836065574,unstable
spring-framework,spring-framework,month,61,35,0.5737704918032787,0.9567134087322532,1.6674147980762128,0.0,0.32786885245901637,unstable
