repo,doc_touch_total,reactive_count,proactive_count,reactive_rate,proactive_rate,top_patterns,reactive_examples
AdminLTE,30,9,21,0.3,0.7,"issue_number(8), fix_with_error_term(2)",Fix typo in README.md | Sponsorship Enable (#5349) | [NETLIFY TEST] Update logo-switch.astro  (#5164)  * Update logo-switch.astro  * Update README.md  * convertPathToHtml bu
AspNetCore.Docs,25,19,6,0.76,0.24,"issue_number(19), fix_with_error_term(2)",update links that result in 404 results (#35293) | Update README.md (#34483) | Update README.md - remove link to unmonitored feedback repo (#34447)
Chart.js,25,25,0,1.0,0.0,"issue_number(25), revert(1), fix_with_error_term(1)",Update LICENSE.md year (#11762) | Switch to discord (#11318) | Update slack link (#11301)  * Update slack link  * Fix build
DefinitelyTyped,123,121,2,0.9837,0.0163,"issue_number(121), fix_with_error_term(6), closes_issue(1)","fix: update build status links in multiple language README files (#72601) | 🤖 Merge PR #72342 [README] Remove `base64-js` mention from README by @MysteryBlokHed | 🤖 Merge PR #71826 Rewrite cloning instructions to suggest blobless clone only, not sparse by @jakebailey"
FFmpeg,410,7,403,0.0171,0.9829,"issue_number(4), fix_with_error_term(2), fixes_issue(1)",Document stream specifier syntax change from 46cbe4ab5c  Fixes #11248. | MAINTAINERS: Fix typo in web repository  Found-by: Martin Schitter  Signed-off-by: Michael Niedermayer <michael@niederma | avcodec: LEAD MCMP decoder  Partially fixes ticket #798  Reviewed-by: James Almer <jamrial@gmail.com> Reviewed-by: Micha
FreeRDP,53,1,52,0.0189,0.9811,issue_number(1),Update the security policy (#8408)  Update the security with more details on the procedure and also add GitHub's securit
Ghost,53,10,43,0.1887,0.8113,"issue_number(8), github_issue_url(2)",Update CONTRIBUTING.md with Documentation guidance (#22826)  - When looking for how to propose updates to the [Install F | Updated pull request template and contrib guide (#22672)  - Our development practices have evolved since these were firs | Added translation gitmoji (#21226)  no ref
HanLP,44,1,43,0.0227,0.9773,fix_with_error_term(1),Fix JSON float vs double error: https://bbs.hanlp.com/t/java/5043
MPAndroidChart,5,1,4,0.2,0.8,issue_number(1),Merge pull request #5011 from danielgindi/fix/value_formatter  Revert: e5b66192 - bring back polymorphism to value forma
Marlin,41,25,16,0.6098,0.3902,"issue_number(25), fix_with_error_term(1)",🩹 Fix Bluesky badge (#27879) | 🌐 README in Portuguese (Brazil) (#27854) | 🚀 HAL for GD32 MFL (Creality v4.2.2) (#27744)
PHPMailer,115,10,105,0.087,0.913,"issue_number(10), fixes_issue(4), references_issue(2)","Readme: Update `PHPMailerLangTest` references to `TranslationCompletenessTest`  In #2377, the `PHPMailerLangTest` test w | Rejig setting XMailer to avoid PHP 8.1 issue, fixes #2635 | Restrict shell-based mailers if we can't use them safely, fixes #966"
Python,42,2,40,0.0476,0.9524,fix_with_error_term(2),Update README.md  Fixed typo | Update README.md  Fixed a typo.
Rocket.Chat,390,48,342,0.1231,0.8769,"issue_number(48), fix_with_error_term(2)",docs: update `SECURITY.md` (#36024)  Co-authored-by: jonasflorencio <jonas.florencio@gmail.com> | docs: Remove F-Droid (#35982) | docs: Review README.md (#35316)
TypeScript,40,36,4,0.9,0.1,"issue_number(36), fix_with_error_term(2), github_issue_url(1)","fix link to ""Help Wanted"" issues (#61843) | Fix GHA badge in readme (#60937) | Modify `CONTRIBUTING.md` and the issue templates `bug_report.yml` and `feature_request.yml` to reduce duplicate issues a"
Vue-core,320,52,268,0.1625,0.8375,"issue_number(52), fix_with_error_term(8), closes_issue(3)",chore: fix typo (#13290) [ci skip] | chore: update CHANGELOG.md (#13230) | chore: add bsky link (#13175)
WordPress,31,26,5,0.8387,0.1613,"issue_number(26), fixes_issue(16), references_issue(12)","Site Health: Bump the recommended version of MariaDB to `10.6`.  Version `10.5` of MariaDB will reach end of life on 24  | General: Add `noindex,nofollow` meta tag to the `readme.html` file.  Site owners likely don't intend for the content of  | Security: Remove Cafelog URL.  This changeset removes Cafelog links from `licence.txt` and `readme.html` files as the do"
airflow,568,566,2,0.9965,0.0035,"issue_number(566), fix_with_error_term(24), github_pr_url(10)",Clean some leftovers of Python 3.9 removal - Files in root (#52463) | Drop support for Python 3.9 (#52072)  * Drop support for Python 3.9  * fixes  * fix casandra  * fix casandra  * fix Prev | remove directed acyclic graphs (#51982)  * remove directed acyclic graphs  * update dags  Co-authored-by: Wei Lee <weile
