project_name,repo,since,until,total_commits_all,bot_commits_classified,unique_bot_contributor_ids,commits_counted_for_metrics,unique_contributors_for_metrics,gini,top3_share,top5_share,top10_share
metasploit-framework,metasploit-framework,2020-06-30,2025-06-29,14692,1703,158,12989,318,0.8603765353460668,0.28747401647547927,0.39448764339056125,0.5466163676957425
juice-shop,juice-shop,2020-06-30,2025-06-29,6394,266,34,6128,58,0.9373424417034304,0.8751631853785901,0.9198759791122716,0.9626305483028721
flask,flask,2020-06-30,2025-06-29,877,182,44,695,138,0.788165988947972,0.7611510791366907,0.7769784172661871,0.8028776978417266
terraform,terraform,2020-06-30,2025-06-29,6466,1883,197,4583,377,0.8757702754557699,0.5664411957233253,0.6552476543748637,0.7481998690813877
FFmpeg,FFmpeg,2020-06-30,2025-06-29,21718,0,0,21718,601,0.9273746261066256,0.397412284740768,0.5650612395248181,0.7264481075605489
aspnetcore,aspnetcore,2020-06-30,2025-06-29,10420,5280,252,5140,454,0.8550060851231596,0.28696498054474706,0.4404669260700389,0.6142023346303502
Marlin,Marlin,2020-06-30,2025-06-29,6303,4528,251,1775,311,0.7704940899415789,0.483943661971831,0.5774647887323944,0.652394366197183
2048,2048,2020-06-30,2025-06-29,1,1,1,0,0,0.0,0.0,0.0,0.0
jekyll,jekyll,2020-06-30,2025-06-29,844,258,57,586,126,0.7664012135001896,0.7167235494880546,0.7474402730375427,0.7764505119453925
PHPMailer,PHPMailer,2020-06-30,2025-06-29,729,294,30,435,65,0.8112466843501327,0.7816091954022989,0.8,0.8390804597701149
go,go,2020-06-30,2025-06-29,18851,59,51,18792,1079,0.8905048428313904,0.16879523201362281,0.25915283099191144,0.4258194976585781
core,core,2020-06-30,2025-06-29,67821,22595,1133,45226,1826,0.919917174880601,0.35603413965418124,0.462809003670455,0.5637465174899394
bootstrap,bootstrap,2020-06-30,2025-06-29,3179,1036,104,2143,257,0.848822789245957,0.46383574428371444,0.6327578161455903,0.8161455902939804
dotfiles,dotfiles,2020-06-30,2025-06-29,105,61,2,44,13,0.41608391608391604,0.4772727272727273,0.75,0.9318181818181818
Chart.js,Chart.js,2020-06-30,2025-06-29,1345,268,70,1077,119,0.8570648315036322,0.7186629526462396,0.8012999071494893,0.8737233054781801
WordPress,WordPress,2020-06-30,2025-06-29,9364,0,0,9364,61,0.775526782025336,0.5410081161896625,0.6272960273387441,0.7595044852627082
react-native,react-native,2020-06-30,2025-06-29,17069,365,132,16704,1233,0.8626262573295671,0.1274545019157088,0.20073036398467434,0.33123802681992337
pdf.js,pdf.js,2020-06-30,2025-06-29,4691,73,18,4618,98,0.9535712076082057,0.9387180597661325,0.9551754006063231,0.9724989172802079
DefinitelyTyped,DefinitelyTyped,2020-06-30,2025-06-29,19754,8474,2561,11280,5230,0.4952271741046608,0.12570921985815603,0.15567375886524823,0.19157801418439716
Python,Python,2020-06-30,2025-06-29,1767,1163,309,604,171,0.5907981875217847,0.24503311258278146,0.3360927152317881,0.4552980132450331
grpc,grpc,2020-06-30,2025-06-29,10265,1027,129,9238,387,0.9043284311010638,0.39164321281662695,0.5276033773544058,0.6740636501407231
framework,framework,2020-06-30,2025-06-29,9924,2836,644,7088,1317,0.7538706376589519,0.2611455981941309,0.3520033860045147,0.45047968397291194
guava,guava,2020-06-30,2025-06-29,1647,318,7,1329,114,0.8758134991353477,0.7501881113619263,0.8081264108352144,0.8690744920993227
flink,flink,2020-06-30,2025-06-29,14042,667,171,13375,882,0.8413196007374912,0.13704672897196263,0.1914018691588785,0.29749532710280374
minimal-mistakes,minimal-mistakes,2020-06-30,2025-06-29,389,59,30,330,55,0.7965840220385676,0.8121212121212121,0.8333333333333334,0.8636363636363636
redis,redis,2020-06-30,2025-06-29,3175,405,135,2770,335,0.8081211272159061,0.31263537906137184,0.41010830324909747,0.5505415162454874
ardupilot,ardupilot,2020-06-30,2025-06-29,25456,402,94,25054,492,0.940335217393844,0.5509699050051888,0.6737447114233256,0.782749261594955
material-ui,material-ui,2020-06-30,2025-06-29,12753,6036,575,6717,790,0.8636399613299337,0.4674705969927051,0.6011612326931666,0.7195176418043769
mybatis-3,mybatis-3,2020-06-30,2025-06-29,1340,526,17,814,88,0.8374190306008487,0.7493857493857494,0.7936117936117936,0.8452088452088452
ionic-framework,ionic-framework,2020-06-30,2025-06-29,3200,2086,47,1114,97,0.8649243924559034,0.7163375224416517,0.7944344703770198,0.8850987432675045
imgui,imgui,2020-06-30,2025-06-29,3319,142,84,3177,230,0.9169807447551013,0.8892036512433114,0.902738432483475,0.9131255901794145
TypeScript,TypeScript,2020-06-30,2025-06-29,5549,2611,116,2938,260,0.85884170288527,0.4118447923757658,0.588495575221239,0.7437031994554119
odoo,odoo,2020-06-30,2025-06-29,47931,55,26,47876,1496,0.8007096262045936,0.05881861475478319,0.08812348567131757,0.1432032751274125
rust,rust,2020-06-30,2025-06-29,100158,10444,684,89714,3638,0.876807366707052,0.12857525023965044,0.1812314688900283,0.26682569052767685
animate.css,animate.css,2020-06-30,2025-06-29,173,127,6,46,17,0.462915601023018,0.5,0.6956521739130435,0.8478260869565217
jquery,jquery,2020-06-30,2025-06-29,265,94,7,171,20,0.8277777777777777,0.8947368421052632,0.9122807017543859,0.9415204678362573
