repo,commit_sha,commit_date,health_file
echarts,f0734333f9ffcd8cf172a75c55e99f574879187a,2025-01-31,CONTRIBUTING.md
echarts,1720dc907c64b513c30df69ed56a457a5221c5e1,2025-01-02,NOTICE
echarts,57be34334b4097a4498657f5284ec4f49abbeaa1,2024-01-01,NOTICE
echarts,8120aaba4b523e8dee1aca0f8089d36c5096f0e5,2023-02-05,CONTRIBUTING.md
echarts,8120aaba4b523e8dee1aca0f8089d36c5096f0e5,2023-02-05,README.md
echarts,c91620ee36732a82b72bbc8b7c610ddf480d7683,2022-12-31,NOTICE
echarts,0f149dc89cfc57200daac015861b7cc7029a85de,2022-11-08,README.md
echarts,905b32405f10c7e2b5fb522759120b4bcaba5ab8,2022-06-13,.github/pull_request_template.md
echarts,d7eeae11a2761755015d834fb7127909fdd83220,2022-05-24,CONTRIBUTING.md
echarts,817d3bf13342a604708a0cf56987d83b786f91bc,2022-05-24,CONTRIBUTING.md
echarts,d706bda50dba081bb5c004b17bd7f6b1b09488dc,2022-04-01,README.md
echarts,d3c5bec2642b7aa5e54979c92b0eb5de973ea213,2022-03-27,CONTRIBUTING.md
echarts,54a3b6c8d22eef99bf35519744a9dfdb684f20ec,2021-12-31,NOTICE
echarts,a0266e9a47f230225ef1b2ed9f9f6e9a642d80de,2021-12-09,README.md
echarts,2920fc40ac4c555159add98e73f4305bcc97880f,2021-12-09,README.md
echarts,694698f1dd0d6f1af88d6031283c0fb26b35a152,2021-12-09,README.md
echarts,8d9a156ef46d631e6642cb16c7725ea1de9c1ea3,2021-11-30,README.md
echarts,ae71ff4dcabbb2a871299832cdc0912e666c5e2d,2021-11-30,README.md
echarts,7b21590ea0106bbcb9a22611c623089e66337a75,2021-11-29,.github/pull_request_template.md
echarts,0bb53b2e279e1e863f7448b6ed01f8036e983dbb,2021-11-29,.github/ISSUE_TEMPLATE.md
echarts,0d5496fe2a3ea4efb4561160a20237c0c17c349e,2021-08-13,CONTRIBUTING.md
echarts,0d5496fe2a3ea4efb4561160a20237c0c17c349e,2021-08-13,README.md
echarts,cdc92c8cd42d6ecfee517bb5b8b8ba91f2128792,2021-04-20,.github/pull_request_template.md
echarts,64c0bbe47051f962ebb3129002509b05ca1621e5,2021-03-12,LICENSE
echarts,6c7757a617fdc1cc41a92d3e81e3607d552e74f0,2021-01-18,CONTRIBUTING.md
echarts,6c7757a617fdc1cc41a92d3e81e3607d552e74f0,2021-01-18,README.md
echarts,6ae90649bf79fb8db3a90e1d6c65c54212060046,2021-01-11,NOTICE
echarts,b9c6b6478423066ea7e581182e5ea5110a7d57f3,2021-01-11,README.md
echarts,7435f71c8192dbfd0a7b4e68cb51a772fda36b86,2021-01-11,README.md
echarts,40b4c841b5d63d8a1106c0922b9d5e71638b6447,2021-01-05,README.md
echarts,eb396f27137af1d74b42b1b28752f204a34dbecf,2020-08-19,README.md
echarts,ad561dfe5c4191fc80e854c873571ce528e7fb6e,2020-07-27,README.md
echarts,08f2033bb0d7a6f91557d2eb368e32cc5ba75fab,2020-07-16,README.md
