repo,commit_sha,commit_date,health_file
erpnext,9244ecdaff9d03b9ab43becbd3f005a125051c73,2025-04-21,README.md
erpnext,911c7b969c029302de202892983d097ba94620be,2025-04-21,README.md
erpnext,8b602c46088454fa7f8f50abbb26a052af364954,2025-04-21,README.md
erpnext,ef4f662c319d8d7d1943c3bc62abc9652a15a7e4,2025-04-02,README.md
erpnext,f9cac1c1863f656cdfd9ced740d3078dd660c5ae,2025-03-10,README.md
erpnext,c4eb577a761562019825f2d59de1d59303c1d78e,2025-03-05,README.md
erpnext,41fe30ea6e339e98633a73444f443c4b463bbe57,2025-03-05,README.md
erpnext,ce9f10b387eca32af4664df623ba82e097d5771a,2024-12-19,README.md
erpnext,82050001955fe9ca3c4bc92617cb9900374294cd,2024-12-17,README.md
erpnext,c33b9922a5a1e20d1f857ef74f41e2f6872f9f88,2024-12-17,README.md
erpnext,c25ef357a51ce3c04195430586013ba8ca9af5e5,2024-12-17,README.md
erpnext,ac4ee1b0050c7e6d9d6d417d5bcf23a348731e43,2024-12-16,README.md
erpnext,dc02cb8119db70e17bd8e8e1a3359a419c3590fb,2024-12-16,README.md
erpnext,b584212edbb96789b18e1375c98325563a125a1a,2024-12-12,README.md
erpnext,4c68fa46e7bcea5bbf579db9550e620f8ce71dae,2024-12-11,README.md
erpnext,a79301762830880258356afb6368b3500cebc449,2024-12-11,README.md
erpnext,d9408eae4483d4e57fb3e0a29283992a46dc8f79,2024-12-11,README.md
erpnext,644c48ba46ff19101d588f42a24966651153ba53,2024-12-11,README.md
erpnext,687894584f57b84512fdb792724965998b586dfd,2024-12-11,README.md
erpnext,f03a0d80153bb3bb8080d64db09cebc063374e4b,2024-12-11,README.md
erpnext,56e5611337faf174771122b45a772a52105ce515,2024-02-06,README.md
erpnext,b11ae4b54c42cd7f09db65c576ac75f7faf2f0c8,2023-11-22,README.md
erpnext,3547252217ac141c4e57de92fc4aebd7d430ec6e,2023-02-21,README.md
erpnext,a30f38481de3df4350ca67e6a1529a5203b26bec,2022-09-12,README.md
erpnext,a30f38481de3df4350ca67e6a1529a5203b26bec,2022-09-12,license.txt
erpnext,c6fbb7b27d570b75073668f0fa249e4501da5d4d,2022-07-26,README.md
erpnext,38e71b06390652acb6412a8059290ec6feee113c,2022-07-26,README.md
erpnext,3c7176d69010485a368e32cf2d84588e180ad788,2022-04-28,README.md
erpnext,0a07cd8f68f50c358dd9726feab830b34a35d2c9,2022-04-27,README.md
erpnext,85e8dd9a4960980e1ce681d942016f68081493e0,2022-04-27,README.md
erpnext,0f2eaa2cf3d0a394d99788b13bc0b32b5b9dd02a,2022-04-04,README.md
erpnext,f786a596f80f94465711584e29f20f8f7032a3aa,2021-11-16,README.md
erpnext,03370c63c59226afbea3e8f2e41f69c7747fe219,2021-11-14,.github/CONTRIBUTING.md
erpnext,07a3be6f6124ddc9db97a0f22d9c1c886f1782ab,2021-10-25,README.md
erpnext,904381295ed0e6dc731c4b4806062d37b1f64a15,2021-10-13,README.md
erpnext,f37e4d52d5b30f794fde4f14513ab63c4c538829,2021-10-05,README.md
erpnext,629f5e1fdf6191a47622afe081e20c94f1eb4f58,2021-09-10,README.md
erpnext,49c20f4f8d1913e0eced8e2eb8f9eab9d5bf35c8,2021-05-28,README.md
erpnext,62d2df58156b53ed3520444ca305eee838dbc659,2021-04-23,README.md
erpnext,68b514b1f5c1d8221415b39a55b299082dd10d9c,2021-04-23,README.md
erpnext,c647b6088ae066aeff915b90d3cc189c8e795e09,2021-03-17,README.md
erpnext,e09037ed2c1e5cf634fbd993e1d135cae84b0673,2020-11-24,README.md
erpnext,a91225f1522a877ab68fd95ac4a33831555cba06,2020-09-11,README.md
