repo,commit_sha,commit_date,health_file
flask,85cc71046475f9cb3efd17d496356795961249f9,2025-06-12,README.md
flask,a758915893352f5986c6ee101cdf7e3b7a64fa28,2025-06-09,README.md
flask,959052fb8d49c4473f6d8a928d745ae7c38c7e95,2025-01-05,CODE_OF_CONDUCT.md
flask,959052fb8d49c4473f6d8a928d745ae7c38c7e95,2025-01-05,CONTRIBUTING.rst
flask,959052fb8d49c4473f6d8a928d745ae7c38c7e95,2025-01-05,README.md
flask,5b525e97970b1b9706b4415de79abfe33e5955fc,2025-01-05,README.md
flask,60a11a730e8aa2450115385798ab8710804c6409,2025-01-05,CODE_OF_CONDUCT.md
flask,60a11a730e8aa2450115385798ab8710804c6409,2025-01-05,CONTRIBUTING.rst
flask,60a11a730e8aa2450115385798ab8710804c6409,2025-01-05,README.md
flask,6b361ce06b08454329286214072139228e8c2f33,2025-01-05,README.md
flask,346d1abaff0270104ffa3a0e8bee7de279a1cee7,2024-04-08,README.md
flask,87d5f5b9a9697434e6d972b021201105eabb54e6,2024-04-07,.github/SECURITY.md
flask,87d5f5b9a9697434e6d972b021201105eabb54e6,2024-04-07,.github/pull_request_template.md
flask,87d5f5b9a9697434e6d972b021201105eabb54e6,2024-04-07,LICENSE.txt
flask,87d5f5b9a9697434e6d972b021201105eabb54e6,2024-04-07,README.md
flask,87d5f5b9a9697434e6d972b021201105eabb54e6,2024-04-07,README.rst
flask,6b9acd565cded9c805760037b69754c11749c830,2023-06-27,CONTRIBUTING.rst
flask,f139024b1ca637cc6df694f49817bdb8ec294561,2023-04-20,README.rst
flask,9a4d370ea221b13d7fff5e2120007986c08f85fb,2023-04-15,CONTRIBUTING.rst
flask,182ce3dd15dfa3537391c3efaf9c3ff407d134d4,2023-04-13,CONTRIBUTING.rst
flask,8f13f5b6d672f1ba434f9c8ebe2c1b1dd385962e,2023-01-18,CONTRIBUTING.rst
flask,677a0468481a0f620bdb217e8f1a24ebe94681e5,2022-12-24,CONTRIBUTING.rst
flask,6fcf6d00bd36f7c3c51115199615dc93c4a3007a,2022-12-24,CONTRIBUTING.rst
flask,2381044d04cdb058a526c0e27163b4d891d851ed,2022-05-10,CONTRIBUTING.rst
flask,9158d3b0b8c282e6d8580b76fb5098002d4ec0d4,2022-05-02,CONTRIBUTING.rst
flask,9830fd8a806d677a279ed60bf3fa33ebb5691a5f,2021-08-10,README.rst
flask,34027d8d876c140f84e18d6b56c0aecc5481874c,2021-06-14,CONTRIBUTING.rst
flask,0d594b8c0f13c70507aa61a7666c844c5e2aeda0,2021-05-21,CONTRIBUTING.rst
flask,14921608871f15f8c34d48026473293e225ad608,2021-05-13,CONTRIBUTING.rst
flask,52adf2ec219a0cb9abcfd116ec104c9a362c602a,2021-05-11,CONTRIBUTING.rst
flask,52adf2ec219a0cb9abcfd116ec104c9a362c602a,2021-05-11,README.rst
flask,3cd615a1d6db7e319c27bca2499ab7390065f090,2021-02-24,README.rst
flask,b496d8b7cb72f29dc91d2859829caedae25d62ea,2021-02-09,CONTRIBUTING.rst
flask,dbe76bb75d597401d33ef428d79540797e9297b3,2021-02-09,.github/SECURITY.md
flask,571e638e2accf8cff6682227a564ffd5deac7e67,2021-02-09,.github/ISSUE_TEMPLATE.md
flask,571e638e2accf8cff6682227a564ffd5deac7e67,2021-02-09,.github/PULL_REQUEST_TEMPLATE.md
flask,571e638e2accf8cff6682227a564ffd5deac7e67,2021-02-09,.github/pull_request_template.md
flask,54ae1cb0e902aac1bce44e2a315650d395c710b5,2021-01-06,README.rst
flask,1035efc7d6e49a459ec2dcbfab9526a7347d6f2e,2020-10-15,CONTRIBUTING.rst
flask,daf9ec790a14e556049df36904ebc86c45f85b7b,2020-07-28,.github/ISSUE_TEMPLATE.md
flask,daf9ec790a14e556049df36904ebc86c45f85b7b,2020-07-28,.github/PULL_REQUEST_TEMPLATE.md
flask,daf9ec790a14e556049df36904ebc86c45f85b7b,2020-07-28,CODE_OF_CONDUCT.md
flask,daf9ec790a14e556049df36904ebc86c45f85b7b,2020-07-28,CONTRIBUTING.rst
flask,daf9ec790a14e556049df36904ebc86c45f85b7b,2020-07-28,LICENSE.rst
flask,daf9ec790a14e556049df36904ebc86c45f85b7b,2020-07-28,README.rst
flask,1580aa30cb77c1db119c5c71b88795141d0a5045,2020-07-21,CONTRIBUTING.rst
flask,1580aa30cb77c1db119c5c71b88795141d0a5045,2020-07-21,README.rst
flask,b82c2e611a16efce910f2ae5eafc94066d48ec38,2020-07-06,.github/ISSUE_TEMPLATE.md
flask,b82c2e611a16efce910f2ae5eafc94066d48ec38,2020-07-06,.github/PULL_REQUEST_TEMPLATE.md
flask,b82c2e611a16efce910f2ae5eafc94066d48ec38,2020-07-06,CODE_OF_CONDUCT.md
flask,b82c2e611a16efce910f2ae5eafc94066d48ec38,2020-07-06,CONTRIBUTING.rst
flask,b82c2e611a16efce910f2ae5eafc94066d48ec38,2020-07-06,LICENSE.rst
flask,b82c2e611a16efce910f2ae5eafc94066d48ec38,2020-07-06,README.rst
flask,634e901966749bcb5dcc43a7a64b3865e2ae1aa3,2020-07-01,.github/ISSUE_TEMPLATE.md
flask,634e901966749bcb5dcc43a7a64b3865e2ae1aa3,2020-07-01,.github/PULL_REQUEST_TEMPLATE.md
flask,634e901966749bcb5dcc43a7a64b3865e2ae1aa3,2020-07-01,CODE_OF_CONDUCT.md
flask,634e901966749bcb5dcc43a7a64b3865e2ae1aa3,2020-07-01,CONTRIBUTING.rst
flask,634e901966749bcb5dcc43a7a64b3865e2ae1aa3,2020-07-01,LICENSE.rst
flask,634e901966749bcb5dcc43a7a64b3865e2ae1aa3,2020-07-01,README.rst
