repo,month,health_file_commit_count
java-design-patterns,2020-06,0
java-design-patterns,2020-07,124
java-design-patterns,2020-08,21
java-design-patterns,2020-09,5
java-design-patterns,2020-10,2
java-design-patterns,2020-11,7
java-design-patterns,2020-12,9
java-design-patterns,2021-01,8
java-design-patterns,2021-02,4
java-design-patterns,2021-03,5
java-design-patterns,2021-04,4
java-design-patterns,2021-05,5
java-design-patterns,2021-06,5
java-design-patterns,2021-07,3
java-design-patterns,2021-08,1
java-design-patterns,2021-09,3
java-design-patterns,2021-10,20
java-design-patterns,2021-11,0
java-design-patterns,2021-12,7
java-design-patterns,2022-01,3
java-design-patterns,2022-02,0
java-design-patterns,2022-03,0
java-design-patterns,2022-04,2
java-design-patterns,2022-05,0
java-design-patterns,2022-06,0
java-design-patterns,2022-07,1
java-design-patterns,2022-08,0
java-design-patterns,2022-09,6
java-design-patterns,2022-10,33
java-design-patterns,2022-11,16
java-design-patterns,2022-12,10
java-design-patterns,2023-01,7
java-design-patterns,2023-02,5
java-design-patterns,2023-03,3
java-design-patterns,2023-04,1
java-design-patterns,2023-05,1
java-design-patterns,2023-06,2
java-design-patterns,2023-07,5
java-design-patterns,2023-08,10
java-design-patterns,2023-09,0
java-design-patterns,2023-10,26
java-design-patterns,2023-11,0
java-design-patterns,2023-12,5
java-design-patterns,2024-01,3
java-design-patterns,2024-02,6
java-design-patterns,2024-03,20
java-design-patterns,2024-04,10
java-design-patterns,2024-05,5
java-design-patterns,2024-06,4
java-design-patterns,2024-07,1
java-design-patterns,2024-08,0
java-design-patterns,2024-09,0
java-design-patterns,2024-10,6
java-design-patterns,2024-11,6
java-design-patterns,2024-12,4
java-design-patterns,2025-01,10
java-design-patterns,2025-02,3
java-design-patterns,2025-03,8
java-design-patterns,2025-04,5
java-design-patterns,2025-05,2
java-design-patterns,2025-06,0
