repo,commit_sha,commit_date,health_file
jquery,733e62d20328dd3e5b226fd9793b159637d922b8,2025-01-14,CONTRIBUTING.md
jquery,d92810614b53270a8f014db14022887ee3383fd5,2024-10-14,CONTRIBUTING.md
jquery,4ef25b0de4a847f14ba2f88e309eaf759e035d78,2024-10-14,CONTRIBUTING.md
jquery,cbc2bc1fd37bb6af5d2c60cf666265c4d438200f,2024-10-13,README.md
jquery,51fffe9f7395f86fb24c59115c9b98855c39fc07,2024-07-17,changelog.md
jquery,862e7a1882f3f737db7dde1b5ecda9766d61694a,2024-07-11,AUTHORS.txt
jquery,7cdd8374234b77a3c70dd511a1b06066afb146bb,2024-04-24,README.md
jquery,dfc693ea25fe85e5f29da23752b0c7c8d285fbf0,2024-02-26,CONTRIBUTING.md
jquery,af79c99939628255f46f30bced000eba9aa6711f,2024-01-23,AUTHORS.txt
jquery,77d6ad7172db3ae11573df7b322d410b161eb43e,2023-09-20,CONTRIBUTING.md
jquery,93ca49e6d1ac23fee33b3bc3b7f4d93dd1a25cb7,2023-09-19,README.md
jquery,46f6e3da796ee9d28c7c1428793b72d66bcbb0b7,2023-09-19,README.md
jquery,2bdecf8b7bd10864e5337a4e24e39476c78cf23a,2023-09-18,README.md
jquery,8be4c0e4f89d6c8f780e5937a0534921d8c7815e,2023-07-10,README.md
jquery,67cb1af7740a956e150e8d93266c4e601f55e8a4,2023-06-23,README.md
jquery,988a56847de301ce18a653f84b07c5af432a269f,2023-05-31,.github/PULL_REQUEST_TEMPLATE.md
jquery,4c1171f2ed62584211250df0af8302d34c04621a,2022-11-21,README.md
jquery,bcd9c2bc3ddaa04f89f550681ca9c1ec5efc4328,2022-10-24,README.md
jquery,924b7ce825962bfe4c16e02eb411c7f66ee75a55,2022-06-27,CONTRIBUTING.md
jquery,683ceb8ff067ac53a7cb464ba1ec3f88e353e3f5,2022-01-31,CONTRIBUTING.md
jquery,5d5ea015114092c157311c4948f7cc3d8c8e7f8a,2022-01-04,README.md
jquery,9bdb16cd19097da67950a707baac3980bda873f3,2021-11-18,CONTRIBUTING.md
jquery,e124893132d7a979d7987f978e968a1f889348b6,2021-10-18,.github/PULL_REQUEST_TEMPLATE.md
jquery,175db73ec7938e774d9e93d3afdfb35a24466b47,2021-09-05,README.md
jquery,8ae477a432f0924cd4bd3bdeaef2c4c15e483a8f,2021-02-05,CONTRIBUTING.md
jquery,8ae477a432f0924cd4bd3bdeaef2c4c15e483a8f,2021-02-05,README.md
jquery,b502866960b30863e56968bd35e720905ac58025,2020-07-15,.github/ISSUE_TEMPLATE.md
jquery,b502866960b30863e56968bd35e720905ac58025,2020-07-15,.github/PULL_REQUEST_TEMPLATE.md
jquery,b502866960b30863e56968bd35e720905ac58025,2020-07-15,AUTHORS.txt
jquery,b502866960b30863e56968bd35e720905ac58025,2020-07-15,CODE_OF_CONDUCT.md
jquery,b502866960b30863e56968bd35e720905ac58025,2020-07-15,CONTRIBUTING.md
jquery,b502866960b30863e56968bd35e720905ac58025,2020-07-15,LICENSE.txt
jquery,b502866960b30863e56968bd35e720905ac58025,2020-07-15,README.md
jquery,b502866960b30863e56968bd35e720905ac58025,2020-07-15,SECURITY.md
