repo,month,health_file_commit_count
material-ui,2020-06,3
material-ui,2020-07,12
material-ui,2020-08,12
material-ui,2020-09,9
material-ui,2020-10,11
material-ui,2020-11,10
material-ui,2020-12,16
material-ui,2021-01,11
material-ui,2021-02,6
material-ui,2021-03,3
material-ui,2021-04,7
material-ui,2021-05,4
material-ui,2021-06,7
material-ui,2021-07,13
material-ui,2021-08,9
material-ui,2021-09,22
material-ui,2021-10,8
material-ui,2021-11,11
material-ui,2021-12,12
material-ui,2022-01,10
material-ui,2022-02,7
material-ui,2022-03,6
material-ui,2022-04,14
material-ui,2022-05,10
material-ui,2022-06,12
material-ui,2022-07,11
material-ui,2022-08,11
material-ui,2022-09,8
material-ui,2022-10,11
material-ui,2022-11,11
material-ui,2022-12,6
material-ui,2023-01,5
material-ui,2023-02,12
material-ui,2023-03,9
material-ui,2023-04,6
material-ui,2023-05,7
material-ui,2023-06,7
material-ui,2023-07,12
material-ui,2023-08,16
material-ui,2023-09,11
material-ui,2023-10,7
material-ui,2023-11,10
material-ui,2023-12,10
material-ui,2024-01,12
material-ui,2024-02,18
material-ui,2024-03,17
material-ui,2024-04,7
material-ui,2024-05,6
material-ui,2024-06,12
material-ui,2024-07,7
material-ui,2024-08,9
material-ui,2024-09,11
material-ui,2024-10,21
material-ui,2024-11,9
material-ui,2024-12,7
material-ui,2025-01,8
material-ui,2025-02,10
material-ui,2025-03,6
material-ui,2025-04,7
material-ui,2025-05,3
material-ui,2025-06,1
