repo,commit_sha,commit_date,health_file
minimal-mistakes,0ce3ef6bd87c6e8728b3a5d955960b56d47b405c,2025-06-15,CHANGELOG.md
minimal-mistakes,b7e170c5cfbaefc9754a3639ba851acf306ed5b1,2025-05-02,CHANGELOG.md
minimal-mistakes,b7e170c5cfbaefc9754a3639ba851acf306ed5b1,2025-05-02,README.md
minimal-mistakes,cf6c2610610879a8379d2d28f181ade97ccbfba7,2025-05-02,CHANGELOG.md
minimal-mistakes,6de27253e7cb6e6fab875fd408ca1baf4110d35b,2025-04-26,CHANGELOG.md
minimal-mistakes,2d4e1e1ed1f9af25fae00f97088fcc60c9a8f45a,2025-04-23,CHANGELOG.md
minimal-mistakes,918d04fa4365444b70298644d87fa6687b9a95b2,2025-04-23,README.md
minimal-mistakes,8193f6071e4cb9b5862efeec307a0c273646470b,2025-04-18,CHANGELOG.md
minimal-mistakes,90ab9d28b90f4abf63f12dd570ef2c428ca569a2,2025-04-02,CHANGELOG.md
minimal-mistakes,d90b7e5b3ede1884de1c38236fe433ca03e88a85,2025-02-14,CHANGELOG.md
minimal-mistakes,8f02ec7714de5cad0509dcbd965ed70cba85213f,2025-01-01,CHANGELOG.md
minimal-mistakes,85e1ba131e93a1eedaa92ed20abf4bec3ef0847b,2024-11-27,CHANGELOG.md
minimal-mistakes,6f5e6f43911c0283bd029040a4b22d3d31fe3c30,2024-11-11,CHANGELOG.md
minimal-mistakes,bc0c83c0c4f23afa990310ac2ee48a5c90e16556,2024-10-28,README.md
minimal-mistakes,cff0e2a387fa728268996720f863dfc3a0cafa7f,2024-10-02,CHANGELOG.md
minimal-mistakes,844812b4f4f6897e8b083aca5d4f9d9b1d9afa89,2024-09-26,CHANGELOG.md
minimal-mistakes,6be43f77a50598643e092117b50c0ea72ad9c94a,2024-09-19,CHANGELOG.md
minimal-mistakes,075fad74cbd09271da3130df3ef296190139e234,2024-09-17,CHANGELOG.md
minimal-mistakes,7d212bc310fb0954b925114e78f3d5bd782c5994,2024-08-20,CHANGELOG.md
minimal-mistakes,66949b5c4c25c3045f6ec3dc0769a35a045f661a,2024-06-27,CHANGELOG.md
