repo,commit_sha,commit_date,health_file
numpy,7c91551b85650c5465d21956acf66a47d9d0d02b,2025-06-20,CONTRIBUTING.rst
numpy,fe0d7058f4b4264af7ceb96f4a4f842f474be744,2025-03-10,README.md
numpy,32a85593f3fa943cebf1fc43cee26edd31abf9e6,2025-03-07,README.md
numpy,84baf22dc30ff0f8b27c313fe8f5da0c4b1d441d,2025-01-01,LICENSE.txt
numpy,fde254a4e12869a6392b2c91fb68a70e17918cdb,2024-10-14,CONTRIBUTING.rst
numpy,abef1d8791f09f9e915bda81f6a9b02d2a87adad,2024-02-24,README.md
numpy,68f8e0cad01288314dfb44ea8f5162555517957b,2024-01-07,LICENSE.txt
numpy,835dfc00c78df8da324a4cb5ee5e23305c81af19,2023-06-12,README.md
numpy,c217f93da2cd0d119abb575371e4a70927f2015c,2023-02-22,README.md
numpy,e77f9c4f7cc91add739c4b65edb1e15ca442bdf7,2023-02-17,README.md
numpy,c1ffdbc0c29d48ece717acb5bfbf811c935b41f6,2023-01-06,LICENSE.txt
numpy,2081f2997b3ff192604415587761ce1806dc20a8,2022-11-04,README.md
numpy,4b7d3b266418f80df731e67359c830855507fb53,2022-09-29,.github/CODE_OF_CONDUCT.md
numpy,c471b003136c55e07a38a3133ad685d34f887de8,2022-04-30,.github/PULL_REQUEST_TEMPLATE.md
numpy,3fd32010997471314c32c6fa43b26456e2a3f171,2022-04-17,README.md
numpy,7b22e13cb37de5a424abf1c9eed554e6cabcce4e,2022-04-06,README.md
numpy,5ab126b58b1c1980bbce8b1fdc2e530dbda7f313,2022-01-20,README.md
numpy,4fc42f99b7f96b1000c777a478f58e2744bb3656,2022-01-10,LICENSE.txt
numpy,148f39b5a975bb82da91e4d26241ea3e9814d612,2022-01-05,README.md
numpy,2dcdb444586e06481bd057412d2dada42b1189ca,2022-01-04,README.md
numpy,cbf4407aa8fab03bbe09076edf0ad0bbc9b610c7,2022-01-04,README.md
numpy,c7ee2e57659b6eb30c358326d0382d492641ac77,2022-01-03,README.md
numpy,b598c4a81e0be749ef87a9332c7796a88b3d928a,2022-01-03,README.md
numpy,dfe824590b29ea4fcd0f29e7176f3bf2fcfef6a2,2021-12-28,README.md
numpy,ca6d9434d721f2dddfb8334f1962af047278b706,2021-09-18,README.md
numpy,193bcffb90225f61a691d9de1364c0e5f05a8c07,2021-08-25,README.md
numpy,f14f1023ab52eab7e0c78fa80915936ccc2a1511,2021-06-07,README.md
numpy,d5fd9cc4927c19eaabf576e1c043b261799657a5,2021-04-26,.github/PULL_REQUEST_TEMPLATE.md
numpy,fe8da1b429f1436aeb4cba62aff8149875f0f722,2021-04-21,README.md
numpy,972127ddff5482ab32fa48eb175dd90ea7b7e993,2021-03-18,README.md
numpy,3cd03898cff204aa2589735e39da7630b347c647,2021-03-11,README.md
numpy,0b26d7cb49d6727bd4172d7837c2cff3da5c4435,2021-03-08,README.md
numpy,1164c12557cee2540edb76c68b0f0cfa5f4538cc,2021-03-08,README.md
numpy,2506e80b86c6fee443c377bc4c4250c58d89b0af,2021-03-08,README.md
numpy,d3388145860c1b2aff958cade49532cc76254e7c,2021-03-08,README.md
numpy,0edf15195fe54472d02985f1d7fea9f80a7f5ad6,2021-03-08,README.md
numpy,a7621b15bfa86bb7476684980b44c60aee2dd9c4,2021-03-08,README.md
numpy,954605ec08ad833899ffb956395f2d70f8eea2df,2021-03-04,.github/CONTRIBUTING.md
numpy,954605ec08ad833899ffb956395f2d70f8eea2df,2021-03-04,README.md
numpy,62b82961e12cc13379fb67f03c71062f94285cd1,2021-02-06,LICENSE.txt
numpy,d80593148f56f1880b83c33eac9fe361fccab5a0,2021-02-03,README.md
numpy,6e85f750d590eface81e753dad202d266d8656a9,2020-10-29,README.md
numpy,055afcfaaf0004c537cb03de2520d38bbbb19e67,2020-10-08,.github/PULL_REQUEST_TEMPLATE.md
numpy,9a9abf7a07271fed54dcba8ebadc3c725a63d916,2020-10-05,.github/CODE_OF_CONDUCT.md
numpy,49b10b0e32473441d84810fff236dbb0a5d11768,2020-10-03,.github/PULL_REQUEST_TEMPLATE.md
numpy,1edd9693c2879e41d1f787a0731b49e286985c22,2020-10-03,.github/PULL_REQUEST_TEMPLATE.md
numpy,93b5da05bcaa39d76b07c334690f85d5d54f54df,2020-10-03,.github/PULL_REQUEST_TEMPLATE.md
numpy,d120110a0e0dff81a54a982f82574f1e072c345f,2020-09-30,.github/PULL_REQUEST_TEMPLATE.md
numpy,66de9eb30017c2950cecf046c0626fa983e347b6,2020-09-08,.github/ISSUE_TEMPLATE.md
numpy,66de9eb30017c2950cecf046c0626fa983e347b6,2020-09-08,.github/PULL_REQUEST_TEMPLATE.md
numpy,0a921a8d282e41127c85d504e2569bfea05a7ec0,2020-09-02,.github/PULL_REQUEST_TEMPLATE.md
numpy,ad6ebb4eb95f129bad14a48f2d216aa1aaa0c129,2020-07-15,.github/CONTRIBUTING.md
numpy,0ec30326dd8f72afecdaca15ed6c94be88aa0b24,2020-07-14,.github/CONTRIBUTING.md
numpy,e7196cc3979cdee7b5ce0ca69624822b6c17afe6,2020-07-14,.github/CONTRIBUTING.md
numpy,8a0ff9c69c842a3e786d1e4c5369cdf7bc949e9f,2020-07-07,README.md
numpy,489470650d3e5b1fc5b0eb0f4e9f2184969cea0c,2020-07-06,README.md
numpy,9f97c9b69cfaefcc9933bf190c0fae18139d5625,2020-07-06,README.md
