repo,commit_sha,commit_date,health_file
opencv,b7c9221b805c948debde54d1339aca339310f61c,2024-06-28,.github/PULL_REQUEST_TEMPLATE.md
opencv,f48c06c0d9e27c2ff1d746cb0ce3783403bc3741,2024-03-03,README.md
opencv,72aa3f2bc5f8e47b3514a8cba4f7ba365d004dba,2024-01-10,README.md
opencv,463affcebf410ed697d16375c2e35fa9a8ba12e3,2023-12-05,README.md
opencv,2b8589482678545af11997f9512002fb8f92c60e,2023-11-30,README.md
opencv,7bd9dae53dae2de442f880f2e352ad52db8332f7,2023-04-19,SECURITY.md
opencv,7b7774476e92247c801309387df2ea64465976e3,2023-01-08,LICENSE
opencv,b5b3f4e1c6f929d2d2cab0a7ff29bda42e778092,2022-01-15,.github/ISSUE_TEMPLATE.md
opencv,b5b3f4e1c6f929d2d2cab0a7ff29bda42e778092,2022-01-15,.github/PULL_REQUEST_TEMPLATE.md
opencv,f6fe5c07f61eb0bc934672200b2bfd453f2fc41d,2022-01-04,LICENSE
opencv,c78a8dfd2db92b3acd37afeed3eca635fcd12fe6,2021-12-22,README.md
opencv,e4e10e54df1dd20dc7f1c59b96bf838e9da8ea8e,2021-01-19,.github/ISSUE_TEMPLATE.md
opencv,f65d75f5c852384c9563dcf458be07a0b3c17e28,2021-01-19,.github/ISSUE_TEMPLATE.md
opencv,9fb48d5f44c48103b26d3fe1860c97c612883c05,2021-01-11,README.md
opencv,4f9cb3871a5d6552ef25229c2f81d2e1531c7df9,2021-01-01,LICENSE
opencv,bfd056ceb1ad6529e1a2103f60e6f089c6b70109,2020-09-06,.github/ISSUE_TEMPLATE.md
opencv,5108e3ced6f109ccaf9d40789daf9a9d3276eb92,2020-08-17,.github/PULL_REQUEST_TEMPLATE.md
opencv,5108e3ced6f109ccaf9d40789daf9a9d3276eb92,2020-08-17,LICENSE
opencv,9f02b8742efb3dda389bb6c10aa10a61f35913b9,2020-08-06,README.md
