repo,commit_sha,commit_date,health_file
AdminLTE,8e139d7ea95d334d214759bf7720fb433caf4930,2026-05-19,CHANGELOG.md
AdminLTE,8e139d7ea95d334d214759bf7720fb433caf4930,2026-05-19,README.md
AdminLTE,523b2497beaed61e84d9d509c940c081cda4fa1b,2026-05-19,CHANGELOG.md
AdminLTE,73e0d48805f486554b1be69e9eecc4d6799c4140,2026-03-10,README.md
AdminLTE,76472497ccb57a3bcc7d4760275d9d4879206078,2026-03-10,CHANGELOG.md
AdminLTE,8a9add99d5e7b82c050e7f0b95cc86edf28fb335,2025-12-08,CHANGELOG.md
AdminLTE,fea73a2bce542dd9d2fd4deea945e0f6677845b7,2025-12-08,CHANGELOG.md
AdminLTE,fea73a2bce542dd9d2fd4deea945e0f6677845b7,2025-12-08,README.md
AdminLTE,07929f2a310f7c693d60a1fd71544bc76d81e76a,2025-10-20,README.md
AdminLTE,07929f2a310f7c693d60a1fd71544bc76d81e76a,2025-10-20,SECURITY.md
AdminLTE,9524a095661e3211e1b74b5af5b9040774a17ab4,2025-10-14,CHANGELOG.md
AdminLTE,9524a095661e3211e1b74b5af5b9040774a17ab4,2025-10-14,README.md
AdminLTE,bfc58c11c1603319893b03b88db5484f3aa4855f,2025-08-15,README.md
AdminLTE,ef1f2736c58403c390fda51c4054969de87d220b,2025-07-10,README.md
AdminLTE,01aefe5ac09fc5f01fbc922bd14b0bab2c62b16d,2025-07-10,CHANGELOG.md
AdminLTE,a9e3a5237924a4ef565c1c1705a888535630edcc,2025-07-10,CHANGELOG.md
AdminLTE,a9e3a5237924a4ef565c1c1705a888535630edcc,2025-07-10,README.md
AdminLTE,f17065cc1138f326467806aea986f46c4e8ec7fd,2025-06-24,CHANGELOG.md
AdminLTE,f17065cc1138f326467806aea986f46c4e8ec7fd,2025-06-24,README.md
AdminLTE,3885daabe1b520b4de33271db78b9f9b6b9be5a6,2025-06-23,CHANGELOG.md
AdminLTE,3885daabe1b520b4de33271db78b9f9b6b9be5a6,2025-06-23,README.md
AdminLTE,63aabd66107c8718d7378e1f2ddc21d180264d2c,2025-06-20,CHANGELOG.md
AdminLTE,53081955d7ab32a676fbd2517a5f68212eb180c4,2025-06-20,CHANGELOG.md
AdminLTE,53081955d7ab32a676fbd2517a5f68212eb180c4,2025-06-20,README.md
AdminLTE,c74fe4ef060f7bebaf02de685af97811547ff3bc,2025-06-20,CHANGELOG.md
AdminLTE,7d4c893296a572adea81e993681430401d4f6031,2025-06-20,CHANGELOG.md
AdminLTE,7d4c893296a572adea81e993681430401d4f6031,2025-06-20,README.md
