repo,commit_sha,commit_date,health_file
FFmpeg,2bae6f9d524aa56ced17017bdff0f89b7a4b7e12,2026-05-23,Changelog
FFmpeg,61a0b8fb41864ae3d82f6c207289c8f0cb5d2743,2026-05-22,Changelog
FFmpeg,20b009e30136cb55022ee32cfb4b2dcae1630bb4,2026-05-19,Changelog
FFmpeg,a3d8ba6613dace8ad725808286bf82934e21512b,2026-05-19,Changelog
FFmpeg,5ad8c67e6cce8809dde67af87e23989f940389c1,2026-05-19,Changelog
FFmpeg,239c679c546900c94fbc325361e6965f1a94a648,2026-05-17,Changelog
FFmpeg,e1797cdd5110310c57390e093dec729b50888646,2026-05-11,Changelog
FFmpeg,fc4960b155aa33b9a08cf26c5e0a0530f0545f24,2026-04-25,MAINTAINERS
FFmpeg,d1d873c0038456b16937a1427a18bd1cbad66623,2026-04-21,Changelog
FFmpeg,c92304f8c75489dd36e63b79ec01b161819ce290,2026-04-20,Changelog
FFmpeg,c67a4554d1e0ef72f514ef82d851a3a39efc202b,2026-04-20,CONTRIBUTING.md
FFmpeg,519c80b626289af18fb9c841923148b6319f8ba9,2026-04-20,README.md
FFmpeg,c1b19ee69f2142bb4b098936cc7421d80b3db7e4,2026-04-17,Changelog
FFmpeg,721545a3c2da75bfd8b2b4eb6b70976cee369620,2026-04-10,MAINTAINERS
FFmpeg,283faf55f825c6321db3c4c4efdd6ffdea66a3e6,2026-04-09,Changelog
FFmpeg,4c0d563f858f3996d9d1aaab20823f65c14e027d,2026-04-09,Changelog
FFmpeg,0878ae59f900f74f32b1bc86fd425c0d64dae539,2026-03-14,Changelog
FFmpeg,77ddfcfeb10206aac8d0b54badad25c249c8ab8f,2026-03-14,Changelog
FFmpeg,9a1e9f936850e11d780d35593ee7ab2f81da492a,2026-03-14,MAINTAINERS
FFmpeg,87bf42899b7c634ebdd4434b96acdab0d3b0baca,2026-03-12,MAINTAINERS
FFmpeg,910000fe59d9bb6701c0a837596a954e24b32dfb,2026-03-11,Changelog
FFmpeg,82c55b7ed7359f9890f160c7bc619d1171e2db98,2026-03-08,Changelog
FFmpeg,b9cb948ec158ec451ec79ec86de926914c89ec4c,2026-03-07,Changelog
FFmpeg,0cd4bb2f9630fda825a009d8881e258386af1a85,2026-03-07,Changelog
FFmpeg,8f2dea9ae8bc3a98aafac07730d89825539a50a0,2026-03-07,Changelog
FFmpeg,fe86fd07d343036820c3ea7a17d7592f306f77ff,2026-03-05,Changelog
FFmpeg,8429aec5e4a3348aac9dc4cbd6aba0be9dc77796,2026-03-02,Changelog
FFmpeg,e245f4d5cf642faa6f43002654dfc84ba457b78c,2026-02-28,Changelog
FFmpeg,47e87ed72233a165943c2b0393337b2e5acf1265,2026-02-26,Changelog
FFmpeg,6695528af6f09806663f2904d9546996ed9eb4a3,2026-02-26,Changelog
FFmpeg,64fafd63f0b4ebf8dbbdbdc2296f21a03548b5fc,2026-02-23,Changelog
FFmpeg,7b15039cdb828794eeed3b3aed20f6a0ba7f2fef,2026-02-23,Changelog
FFmpeg,c7b5f1537d9c52efa50fd10d106ca015ddde1818,2026-02-22,CONTRIBUTING.md
FFmpeg,451ff239e65e04197def85567b2d7b083456e01c,2026-01-26,Changelog
FFmpeg,24213d5db30dae743a6479ede167bfcc02502523,2026-01-11,MAINTAINERS
FFmpeg,8cd4d4cb0bab973f0f45d99b1ce01fa85e1a7333,2025-12-29,Changelog
FFmpeg,3b1214a89767ccd4ccdf0561952c79566cbc5b7d,2025-12-13,Changelog
FFmpeg,08db85015977af1dbcf3feb9597f36b377bfcfe5,2025-12-13,Changelog
FFmpeg,52c097065cb59927c532a09cfbcfbfb7948e3092,2025-12-13,Changelog
