repo,month,health_file_commit_count
angular,2016-05,0
angular,2016-06,10
angular,2016-07,3
angular,2016-08,8
angular,2016-09,19
angular,2016-10,19
angular,2016-11,9
angular,2016-12,11
angular,2017-01,15
angular,2017-02,15
angular,2017-03,19
angular,2017-04,7
angular,2017-05,7
angular,2017-06,15
angular,2017-07,16
angular,2017-08,14
angular,2017-09,11
angular,2017-10,13
angular,2017-11,13
angular,2017-12,10
angular,2018-01,12
angular,2018-02,10
angular,2018-03,9
angular,2018-04,7
angular,2018-05,7
angular,2018-06,10
angular,2018-07,6
angular,2018-08,14
angular,2018-09,8
angular,2018-10,12
angular,2018-11,8
angular,2018-12,9
angular,2019-01,11
angular,2019-02,9
angular,2019-03,10
angular,2019-04,9
angular,2019-05,10
angular,2019-06,9
angular,2019-07,10
angular,2019-08,13
angular,2019-09,10
angular,2019-10,14
angular,2019-11,7
angular,2019-12,3
angular,2020-01,9
angular,2020-02,16
angular,2020-03,16
angular,2020-04,10
angular,2020-05,14
angular,2020-06,16
angular,2020-07,14
angular,2020-08,14
angular,2020-09,12
angular,2020-10,15
angular,2020-11,20
angular,2020-12,5
angular,2021-01,10
angular,2021-02,12
angular,2021-03,12
angular,2021-04,11
angular,2021-05,18
angular,2021-06,11
angular,2021-07,7
angular,2021-08,10
angular,2021-09,11
angular,2021-10,18
angular,2021-11,12
angular,2021-12,8
angular,2022-01,14
angular,2022-02,13
angular,2022-03,15
angular,2022-04,11
angular,2022-05,13
angular,2022-06,17
angular,2022-07,8
angular,2022-08,12
angular,2022-09,9
angular,2022-10,9
angular,2022-11,16
angular,2022-12,5
angular,2023-01,8
angular,2023-02,10
angular,2023-03,12
angular,2023-04,12
angular,2023-05,11
angular,2023-06,14
angular,2023-07,8
angular,2023-08,10
angular,2023-09,9
angular,2023-10,12
angular,2023-11,15
angular,2023-12,6
angular,2024-01,9
angular,2024-02,9
angular,2024-03,10
angular,2024-04,12
angular,2024-05,12
angular,2024-06,13
angular,2024-07,14
angular,2024-08,11
angular,2024-09,14
angular,2024-10,10
angular,2024-11,12
angular,2024-12,9
angular,2025-01,14
angular,2025-02,9
angular,2025-03,12
angular,2025-04,12
angular,2025-05,13
angular,2025-06,10
angular,2025-07,12
angular,2025-08,16
angular,2025-09,11
angular,2025-10,12
angular,2025-11,16
angular,2025-12,15
angular,2026-01,12
angular,2026-02,11
angular,2026-03,14
angular,2026-04,15
angular,2026-05,17
