repo,month,health_file_commit_count
aspnetcore,2016-05,0
aspnetcore,2016-06,8
aspnetcore,2016-07,5
aspnetcore,2016-08,9
aspnetcore,2016-09,16
aspnetcore,2016-10,11
aspnetcore,2016-11,6
aspnetcore,2016-12,4
aspnetcore,2017-01,7
aspnetcore,2017-02,6
aspnetcore,2017-03,13
aspnetcore,2017-04,5
aspnetcore,2017-05,15
aspnetcore,2017-06,5
aspnetcore,2017-07,36
aspnetcore,2017-08,16
aspnetcore,2017-09,10
aspnetcore,2017-10,5
aspnetcore,2017-11,11
aspnetcore,2017-12,15
aspnetcore,2018-01,31
aspnetcore,2018-02,29
aspnetcore,2018-03,22
aspnetcore,2018-04,19
aspnetcore,2018-05,11
aspnetcore,2018-06,10
aspnetcore,2018-07,51
aspnetcore,2018-08,9
aspnetcore,2018-09,36
aspnetcore,2018-10,25
aspnetcore,2018-11,85
aspnetcore,2018-12,3
aspnetcore,2019-01,0
aspnetcore,2019-02,1
aspnetcore,2019-03,2
aspnetcore,2019-04,0
aspnetcore,2019-05,2
aspnetcore,2019-06,0
aspnetcore,2019-07,0
aspnetcore,2019-08,0
aspnetcore,2019-09,0
aspnetcore,2019-10,1
aspnetcore,2019-11,0
aspnetcore,2019-12,1
aspnetcore,2020-01,3
aspnetcore,2020-02,1
aspnetcore,2020-03,0
aspnetcore,2020-04,3
aspnetcore,2020-05,0
aspnetcore,2020-06,0
aspnetcore,2020-07,0
aspnetcore,2020-08,1
aspnetcore,2020-09,0
aspnetcore,2020-10,0
aspnetcore,2020-11,0
aspnetcore,2020-12,0
aspnetcore,2021-01,2
aspnetcore,2021-02,1
aspnetcore,2021-03,3
aspnetcore,2021-04,1
aspnetcore,2021-05,1
aspnetcore,2021-06,1
aspnetcore,2021-07,3
aspnetcore,2021-08,1
aspnetcore,2021-09,0
aspnetcore,2021-10,2
aspnetcore,2021-11,0
aspnetcore,2021-12,0
aspnetcore,2022-01,0
aspnetcore,2022-02,1
aspnetcore,2022-03,0
aspnetcore,2022-04,0
aspnetcore,2022-05,0
aspnetcore,2022-06,0
aspnetcore,2022-07,0
aspnetcore,2022-08,2
aspnetcore,2022-09,0
aspnetcore,2022-10,2
aspnetcore,2022-11,1
aspnetcore,2022-12,0
aspnetcore,2023-01,2
aspnetcore,2023-02,0
aspnetcore,2023-03,0
aspnetcore,2023-04,1
aspnetcore,2023-05,0
aspnetcore,2023-06,1
aspnetcore,2023-07,0
aspnetcore,2023-08,0
aspnetcore,2023-09,0
aspnetcore,2023-10,3
aspnetcore,2023-11,1
aspnetcore,2023-12,0
aspnetcore,2024-01,0
aspnetcore,2024-02,0
aspnetcore,2024-03,0
aspnetcore,2024-04,0
aspnetcore,2024-05,0
aspnetcore,2024-06,0
aspnetcore,2024-07,0
aspnetcore,2024-08,0
aspnetcore,2024-09,0
aspnetcore,2024-10,0
aspnetcore,2024-11,0
aspnetcore,2024-12,0
aspnetcore,2025-01,1
aspnetcore,2025-02,0
aspnetcore,2025-03,0
aspnetcore,2025-04,1
aspnetcore,2025-05,0
aspnetcore,2025-06,0
aspnetcore,2025-07,0
aspnetcore,2025-08,0
aspnetcore,2025-09,0
aspnetcore,2025-10,0
aspnetcore,2025-11,1
aspnetcore,2025-12,1
aspnetcore,2026-01,1
aspnetcore,2026-02,0
aspnetcore,2026-03,1
aspnetcore,2026-04,0
aspnetcore,2026-05,0
