repo,commit_sha,commit_date,health_file
axios,ec63164ac6b7a1fcd6b742a8628d3fffe23ce001,2026-05-28,.github/ISSUE_TEMPLATE.md
axios,ec63164ac6b7a1fcd6b742a8628d3fffe23ce001,2026-05-28,.github/PULL_REQUEST_TEMPLATE.md
axios,2d2314a1ac29ce6723eb53e130b4a36617fd201c,2026-05-28,README.md
axios,fcca2dd85503a236c4ce13749a9a81b6ffc1f2f6,2026-05-28,README.md
axios,ea5dab691ed475a1ccc89c4ea76ff59b47b206cd,2026-05-22,README.md
axios,d07a1935c84222ad4a6fd3def579d23677b014cb,2026-05-20,README.md
axios,9ffe02cdda4f8146b70a74096c015db5d6f3dd83,2026-05-19,CHANGELOG.md
axios,363fc48decce20bfb18a12252f645c5686c0ca92,2026-05-13,SECURITY.md
axios,34adfd90efc9c145488399e1cf7fa96de67080fa,2026-05-10,README.md
axios,847d89b43654405d9a231e0b669832c2092b621f,2026-05-09,README.md
axios,44f0c5bf73c45df6009365141faa394d73596bd7,2026-05-09,README.md
axios,64e1095efedc64c9fecf5176bd9cf2e5e93140d6,2026-05-07,.github/ISSUE_TEMPLATE.md
axios,64e1095efedc64c9fecf5176bd9cf2e5e93140d6,2026-05-07,.github/PULL_REQUEST_TEMPLATE.md
axios,caa00a90b524bb67ed033474abcf4d8645ced793,2026-05-06,README.md
axios,e4826755c5d8ed5e41e567b878ca739fd93e519f,2026-05-06,README.md
axios,23fd0a6a16a4879bc2601c867db0caa2ce178824,2026-05-06,README.md
axios,13fdbec872c01cd28ba6b2c347e2a9f9258fd33c,2026-05-04,.github/ISSUE_TEMPLATE.md
axios,13fdbec872c01cd28ba6b2c347e2a9f9258fd33c,2026-05-04,.github/PULL_REQUEST_TEMPLATE.md
axios,13fdbec872c01cd28ba6b2c347e2a9f9258fd33c,2026-05-04,CHANGELOG.md
axios,050608027b8d9dc9f3db82314ca7281bb1ca629e,2026-05-02,README.md
axios,9d92bcd32639d1eea5b89f03ae45f248d3bb058e,2026-05-02,README.md
axios,0e8b6bbb542131bae9940618d84d5286255d4db1,2026-04-30,README.md
axios,79f39e1d041dca87173226d0255f90eaf252564b,2026-04-30,README.md
axios,0fe3a5fc14829535e1d517c662d448e86c33438e,2026-04-29,README.md
axios,2f89ce60ac3457acb337eff95bec082f44e97240,2026-04-26,README.md
axios,cc9aa2f487d460dd61e7d1f1941cdafac1131ad2,2026-04-25,README.md
axios,de1a81004411a671556d0e1c9be09d6052ef88b5,2026-04-21,CHANGELOG.md
axios,be3336014e01f9a4fc1f8aef15303cf7daaf58db,2026-04-20,CHANGELOG.md
axios,47915144662f2733e6c051bdcb895a8c8f0586aa,2026-04-20,CHANGELOG.md
axios,6feafcff6c2dbafe206161c5d09e38e1d36af66f,2026-04-20,README.md
axios,302e2739c602f00e323d4f3f5c79500647633a73,2026-04-20,README.md
axios,302e2739c602f00e323d4f3f5c79500647633a73,2026-04-20,SECURITY.md
axios,f93f8155250c2e066205521eda05ae22983a1f6d,2026-04-19,README.md
axios,0a73b7c585356fd7a85c35fda756dcaffae6089c,2026-04-18,README.md
axios,250937a148eed433d14d1a16209c49b9e184cc56,2026-04-15,README.md
axios,85132ffba1a77609ea5d101c8a413dea7174932f,2026-04-15,README.md
axios,cb7b9ade1b814270bbf2565dfc3e32b47e46203d,2026-04-14,SECURITY.md
axios,59bb1392556281d8324287e94d8976cdb5abbf0e,2026-04-13,CHANGELOG.md
axios,34d137cbae149ca2848264f2186de897b26fa131,2026-04-08,README.md
axios,49f23cbfe4d308a075281c5f798d4c68f648cbe2,2026-04-07,README.md
axios,36bebd1c887a27c91d9dcaad5ec9fa82c5e3ba37,2026-04-06,README.md
axios,e52994ff405ddf42fce4ec513c5f4f53063019a4,2026-04-05,README.md
axios,173efa3b8dd3f331c397519394ad6188d6945d2e,2026-04-05,README.md
axios,923ae8f9c527310b02653bbd6b7a445b162a2862,2026-04-05,README.md
axios,054c1f30fd1973a04e69b517e194fea5418d8169,2026-04-04,SECURITY.md
axios,395a1604be016fd54c86dee32dc1a6bab118467f,2026-04-03,CHANGELOG.md
axios,395a1604be016fd54c86dee32dc1a6bab118467f,2026-04-03,README.md
axios,64d02a195a0c0f7a1b54a8d6e13605b3f0ed8de4,2026-04-03,README.md
axios,26f8e5796a0ab575de40fe85752f179d2f4fdddb,2026-04-03,README.md
axios,b7dfda3e7cf9e85f6063d90334318f82842b42d0,2026-03-26,README.md
axios,ebc6056adc341b1bcc7c940262391c2b4c7223b6,2026-03-13,README.md
axios,84285c8f638815460340288dedc71bc06479d023,2026-03-02,README.md
axios,ef3711d1b3a3c1eb4f11dc43e8db38e9c5342448,2026-02-14,CHANGELOG.md
axios,ef3711d1b3a3c1eb4f11dc43e8db38e9c5342448,2026-02-14,CONTRIBUTORS.md
axios,265b71234c20fabbd6d691858c65a7e9c978659f,2026-02-05,README.md
axios,569f028a5878faaec8d7d138ba686aac407bda4c,2026-01-30,README.md
axios,8ff6c19e2d764e8706e6a32b9f17a230dfe96e0c,2026-01-25,.github/ISSUE_TEMPLATE.md
axios,8ff6c19e2d764e8706e6a32b9f17a230dfe96e0c,2026-01-25,.github/PULL_REQUEST_TEMPLATE.md
axios,ab06109b40e129e43096f9c75aaa21bc74ef9fc8,2026-01-20,CHANGELOG.md
axios,cb49a6f84bb8cba4b72df078973d871d68bd46da,2026-01-19,README.md
axios,f8694341deaabd2e81059543fe03f9c791656903,2025-12-30,README.md
axios,46db3316ac1579633d82f468181c51186ab3af50,2025-12-30,README.md
axios,d6bbb3db86f3157e406620da8e68cc24cb8b4be9,2025-12-30,README.md
axios,bf3f63237c194e26f23aba066d655c989a93ad5e,2025-12-30,README.md
axios,21df8edc8a9031ea29b675ccdb4cc9ee89bf7a5b,2025-12-19,README.md
axios,0bf4608d606f3c2c01ce9400c32fc9165cfc70b2,2025-12-09,README.md
axios,86b24235979cc3818327e9c578452496a094dc2d,2025-12-05,README.md
axios,7f1fe572504606db075207372c43431b7e87d7fb,2025-11-11,CONTRIBUTING.md
axios,7f1fe572504606db075207372c43431b7e87d7fb,2025-11-11,README.md
axios,d8bbebf4a4fe3c9e2090b3574156abbd22fdf09a,2025-11-06,README.md
