repo,month,health_file_commit_count
bitcoin,2016-05,0
bitcoin,2016-06,2
bitcoin,2016-07,0
bitcoin,2016-08,2
bitcoin,2016-09,2
bitcoin,2016-10,2
bitcoin,2016-11,2
bitcoin,2016-12,1
bitcoin,2017-01,2
bitcoin,2017-02,2
bitcoin,2017-03,4
bitcoin,2017-04,2
bitcoin,2017-05,0
bitcoin,2017-06,1
bitcoin,2017-07,0
bitcoin,2017-08,1
bitcoin,2017-09,4
bitcoin,2017-10,1
bitcoin,2017-11,4
bitcoin,2017-12,1
bitcoin,2018-01,0
bitcoin,2018-02,0
bitcoin,2018-03,1
bitcoin,2018-04,0
bitcoin,2018-05,1
bitcoin,2018-06,2
bitcoin,2018-07,2
bitcoin,2018-08,0
bitcoin,2018-09,1
bitcoin,2018-10,1
bitcoin,2018-11,1
bitcoin,2018-12,2
bitcoin,2019-01,1
bitcoin,2019-02,0
bitcoin,2019-03,3
bitcoin,2019-04,1
bitcoin,2019-05,0
bitcoin,2019-06,5
bitcoin,2019-07,1
bitcoin,2019-08,1
bitcoin,2019-09,2
bitcoin,2019-10,2
bitcoin,2019-11,1
bitcoin,2019-12,3
bitcoin,2020-01,3
bitcoin,2020-02,1
bitcoin,2020-03,1
bitcoin,2020-04,1
bitcoin,2020-05,3
bitcoin,2020-06,3
bitcoin,2020-07,1
bitcoin,2020-08,1
bitcoin,2020-09,0
bitcoin,2020-10,2
bitcoin,2020-11,0
bitcoin,2020-12,3
bitcoin,2021-01,0
bitcoin,2021-02,2
bitcoin,2021-03,0
bitcoin,2021-04,1
bitcoin,2021-05,1
bitcoin,2021-06,0
bitcoin,2021-07,1
bitcoin,2021-08,1
bitcoin,2021-09,2
bitcoin,2021-10,1
bitcoin,2021-11,2
bitcoin,2021-12,2
bitcoin,2022-01,1
bitcoin,2022-02,3
bitcoin,2022-03,1
bitcoin,2022-04,1
bitcoin,2022-05,4
bitcoin,2022-06,1
bitcoin,2022-07,0
bitcoin,2022-08,2
bitcoin,2022-09,0
bitcoin,2022-10,0
bitcoin,2022-11,0
bitcoin,2022-12,2
bitcoin,2023-01,0
bitcoin,2023-02,1
bitcoin,2023-03,1
bitcoin,2023-04,1
bitcoin,2023-05,0
bitcoin,2023-06,1
bitcoin,2023-07,1
bitcoin,2023-08,0
bitcoin,2023-09,1
bitcoin,2023-10,0
bitcoin,2023-11,0
bitcoin,2023-12,1
bitcoin,2024-01,2
bitcoin,2024-02,0
bitcoin,2024-03,0
bitcoin,2024-04,3
bitcoin,2024-05,2
bitcoin,2024-06,1
bitcoin,2024-07,0
bitcoin,2024-08,3
bitcoin,2024-09,1
bitcoin,2024-10,1
bitcoin,2024-11,2
bitcoin,2024-12,0
bitcoin,2025-01,1
bitcoin,2025-02,0
bitcoin,2025-03,1
bitcoin,2025-04,1
bitcoin,2025-05,4
bitcoin,2025-06,2
bitcoin,2025-07,1
bitcoin,2025-08,1
bitcoin,2025-09,0
bitcoin,2025-10,3
bitcoin,2025-11,0
bitcoin,2025-12,1
bitcoin,2026-01,2
bitcoin,2026-02,1
bitcoin,2026-03,0
bitcoin,2026-04,1
bitcoin,2026-05,3
