repo,commit_sha,commit_date,health_file
echarts,bb56e9ab152e26a1acae0863f2a4a460e844bd87,2026-03-06,NOTICE
echarts,d25e6c259f6bb4f18fbc3d716b15086f1a962f4b,2025-12-31,NOTICE
echarts,9233c5e59e6ee9b2b47458b0f8485fbf4820f58e,2025-10-24,.github/pull_request_template.md
echarts,f0734333f9ffcd8cf172a75c55e99f574879187a,2025-01-31,CONTRIBUTING.md
echarts,1720dc907c64b513c30df69ed56a457a5221c5e1,2025-01-02,NOTICE
echarts,57be34334b4097a4498657f5284ec4f49abbeaa1,2024-01-01,NOTICE
echarts,8120aaba4b523e8dee1aca0f8089d36c5096f0e5,2023-02-05,CONTRIBUTING.md
echarts,8120aaba4b523e8dee1aca0f8089d36c5096f0e5,2023-02-05,README.md
echarts,c91620ee36732a82b72bbc8b7c610ddf480d7683,2022-12-31,NOTICE
echarts,0f149dc89cfc57200daac015861b7cc7029a85de,2022-11-08,README.md
echarts,905b32405f10c7e2b5fb522759120b4bcaba5ab8,2022-06-13,.github/pull_request_template.md
echarts,d7eeae11a2761755015d834fb7127909fdd83220,2022-05-24,CONTRIBUTING.md
echarts,817d3bf13342a604708a0cf56987d83b786f91bc,2022-05-24,CONTRIBUTING.md
echarts,d706bda50dba081bb5c004b17bd7f6b1b09488dc,2022-04-01,README.md
echarts,d3c5bec2642b7aa5e54979c92b0eb5de973ea213,2022-03-27,CONTRIBUTING.md
echarts,54a3b6c8d22eef99bf35519744a9dfdb684f20ec,2021-12-31,NOTICE
echarts,a0266e9a47f230225ef1b2ed9f9f6e9a642d80de,2021-12-09,README.md
echarts,2920fc40ac4c555159add98e73f4305bcc97880f,2021-12-09,README.md
echarts,694698f1dd0d6f1af88d6031283c0fb26b35a152,2021-12-09,README.md
echarts,8d9a156ef46d631e6642cb16c7725ea1de9c1ea3,2021-11-30,README.md
echarts,ae71ff4dcabbb2a871299832cdc0912e666c5e2d,2021-11-30,README.md
echarts,7b21590ea0106bbcb9a22611c623089e66337a75,2021-11-29,.github/pull_request_template.md
echarts,0bb53b2e279e1e863f7448b6ed01f8036e983dbb,2021-11-29,.github/ISSUE_TEMPLATE.md
echarts,0d5496fe2a3ea4efb4561160a20237c0c17c349e,2021-08-13,CONTRIBUTING.md
echarts,0d5496fe2a3ea4efb4561160a20237c0c17c349e,2021-08-13,README.md
echarts,cdc92c8cd42d6ecfee517bb5b8b8ba91f2128792,2021-04-20,.github/pull_request_template.md
echarts,64c0bbe47051f962ebb3129002509b05ca1621e5,2021-03-12,LICENSE
echarts,6c7757a617fdc1cc41a92d3e81e3607d552e74f0,2021-01-18,CONTRIBUTING.md
echarts,6c7757a617fdc1cc41a92d3e81e3607d552e74f0,2021-01-18,README.md
echarts,6ae90649bf79fb8db3a90e1d6c65c54212060046,2021-01-11,NOTICE
echarts,b9c6b6478423066ea7e581182e5ea5110a7d57f3,2021-01-11,README.md
echarts,7435f71c8192dbfd0a7b4e68cb51a772fda36b86,2021-01-11,README.md
echarts,40b4c841b5d63d8a1106c0922b9d5e71638b6447,2021-01-05,README.md
echarts,eb396f27137af1d74b42b1b28752f204a34dbecf,2020-08-19,README.md
echarts,ad561dfe5c4191fc80e854c873571ce528e7fb6e,2020-07-27,README.md
echarts,08f2033bb0d7a6f91557d2eb368e32cc5ba75fab,2020-07-16,README.md
echarts,ab84293f03dc15999be08dfa6e782adbb1d5c3fd,2020-01-16,NOTICE
echarts,bc39be59b9a035336da4c8a3007c52acf85e5e0e,2019-12-27,README.md
echarts,a1e18f14382de91513400fcfecfe76091512e30d,2019-12-24,README.md
echarts,c0635743b4ca61fbefa84b7842e459c58ca9173c,2019-12-23,CONTRIBUTING.md
echarts,3528dda245fce9e5484109d0820a9c626bc70ef3,2019-12-10,.github/pull_request_template.md
echarts,328b63119dc05c7222494b295c7d663176d5b03c,2019-11-08,README.md
echarts,5b21eaefc0ef936602d2d2a1cb7a33fd74f0922b,2019-10-23,.github/ISSUE_TEMPLATE.md
echarts,a08fc21160dc88c21dca246cc1fa638720e3c415,2019-10-23,README.md
echarts,da4f1fa1a3d93c2de6b85449986ab7d07f1521f7,2019-10-22,README.md
echarts,d050565a7ce8fd61dc5628d238ea1d5fb2cc8a3f,2019-10-08,CONTRIBUTING.md
echarts,0645f84a0c9088ed278483b66ad4560fa4bda5aa,2019-09-23,README.md
echarts,92b2ef2e2ca435f996677279ba9be1fe69dc96e7,2019-09-23,README.md
echarts,ae7fbad774149899502b613847858d7a823e1a91,2019-09-18,CONTRIBUTING.md
echarts,105bde535060b8f4f723859e66c6ad30d978fbb5,2019-09-18,CONTRIBUTING.md
echarts,b9fbe74b9fc6db1fa84a590da750b4cd2fc7d6bb,2019-09-16,CONTRIBUTING.md
echarts,4f21665571802196c5000ea8989b55d67b99f15e,2019-09-12,.github/CONTRIBUTING.md
echarts,4f21665571802196c5000ea8989b55d67b99f15e,2019-09-12,README.md
echarts,1cdcb87db21bbd1aac5a99a2885eb478eb2dd713,2019-09-12,README.md
echarts,1e3a730f5d252d8db014a52c8818bf727b475e0e,2019-09-12,.github/CONTRIBUTING.md
echarts,f06d88f9a044671dd4c1df576fa4d83410abc29b,2019-09-10,.github/CONTRIBUTING.md
echarts,927c3e9be52c9d44b2b44d96186ced717e5e844f,2019-09-08,.github/CONTRIBUTING.md
echarts,4af177937bac7e6e6429b17e27d9e5ab520d5e28,2019-09-03,.github/CONTRIBUTING.md
echarts,1ccd41b2051a643e62d35f391ed7ff42b2f98643,2019-09-02,.github/CONTRIBUTING.md
echarts,63be6bf8c90c213132245ddeec8b2ca018991968,2019-09-02,.github/CONTRIBUTING.md
echarts,be816f7bb7d379cfd66f79235ab3e45e423c1190,2019-08-30,.github/CONTRIBUTING.md
echarts,8ec578c6d6740c1cb7684becac7ed7d34a99f29c,2019-08-30,.github/CONTRIBUTING.md
echarts,d0b4b12bd2d235dfb4e49c57a00fc17f5c807df6,2019-08-30,.github/CONTRIBUTING.md
echarts,b6c6719628da5158d88ffaf5dfee0c49e3085815,2019-08-28,.github/CONTRIBUTING.md
echarts,dfb7f5dda4ed725e01318b3f253a8bef5e03e75a,2019-08-28,README.md
echarts,99dd860e7c57be88ed864369713f7faface088d8,2019-08-28,README.md
echarts,d5b803555a4d47293e6377f23ebe33bf563a1dc0,2019-08-22,README.md
echarts,cce4abdfad3aba76d384327b5b95d8aeec6c5634,2019-08-19,README.md
echarts,bb79bf0b33b12eb1f7f1b5d34da70a18fbb76502,2019-07-15,README.md
echarts,3bbcf2f3beacd992862457ec476650ea741f265f,2019-07-15,README.md
echarts,e547c558065b5ebd81a9ddcad368525c5159a8ae,2019-07-09,README.md
echarts,9395fe8697cee1789710d91420f97ec3aba1c656,2019-04-02,README.md
echarts,767de8453954d0efd0aa888ef3ff8587fb601eba,2019-03-18,.github/CONTRIBUTING.md
echarts,6d53c516d72fae191ff32f3033d3eb81e0b4b99d,2019-03-18,NOTICE
echarts,f4024cce25864e7999745bea4d7bb93cf191ca5f,2019-03-09,.github/CONTRIBUTING.md
echarts,785d79ae3705bba6f5b7c526a15d42e3486ce10d,2019-03-08,.github/CONTRIBUTING.md
echarts,36ce2a172e6f30236a750250414c61675556ebd3,2019-02-25,LICENSE
echarts,14cbb8008cbb8d3f058caaca6032209ecb000a1b,2019-02-19,LICENSE
echarts,129c2a49962a35d4d1357a92781883174adac77e,2019-02-19,.github/ISSUE_TEMPLATE.md
echarts,4c42e34ccb07ba89dee3b8f00434056a79b781d8,2019-02-19,.github/ISSUE_TEMPLATE.md
echarts,98ce75a35f85b127423d7639011df7cf98715219,2019-02-18,README.md
echarts,898e72033e667dc394abda8092b4cdf72ca26272,2019-02-14,README.md
echarts,d38c96a7b24c0c3ad912b9d1af3bd64afa24079c,2019-02-14,README.md
echarts,f0c5e19b1aa8607135a236c9b98a916e1e0bc4bf,2019-01-23,README.md
echarts,52529f36ff77075755e53d2613406020c296fcb5,2019-01-04,.github/ISSUE_TEMPLATE.md
echarts,2eb35b2fe2a7c5a14f94cfadfe13aab6cc3223ea,2018-12-04,.github/ISSUE_TEMPLATE.md
echarts,a910f78ee2ce160c6c0be2e02032ed0354bc9180,2018-12-04,.github/ISSUE_TEMPLATE.md
echarts,7e9a7858ca621e6ccd03ed28c38b895c3f8e29aa,2018-11-29,README.md
echarts,eb56e62344f5b11661768aa23560d70ea07e2fb6,2018-11-29,README.md
echarts,c25442034febeb032125bdfb49a867d0a03f50fe,2018-11-20,.github/ISSUE_TEMPLATE.md
echarts,b801147a54f1fd8c6f473f7febee2e1c05a8fe91,2018-11-15,.github/ISSUE_TEMPLATE.md
echarts,8721d2952b05a1a5ddd6debce65753072780b2e2,2018-07-27,README.md
echarts,870a48a6d3575f1465e883683c2a25e44a596738,2018-07-11,README.md
echarts,1ccc6d058ab0d02d38e553a2551294c92a249505,2018-06-21,README.md
echarts,a9e74571fe9842c3f815a36f321d367d90759680,2018-06-07,README.md
echarts,02842e2f02a3ca9fca479732e3e91dc6a2b214db,2018-05-21,LICENSE
echarts,33b04a360736854effaae128b23c2faed2f174b7,2018-05-04,README.md
echarts,5f8163c1311b56a78ed582f813bce7d33a424cd0,2018-04-29,LICENSE
echarts,34ff4c7f9bfc15c136a30571fb24af966edebd24,2018-04-28,LICENSE
echarts,66f6e070551365abcd05221d53b85e60ef2cbe5b,2018-04-25,LICENSE
echarts,5a0b7f68ba8d5ec7390f864f385b56af4a0dc1ae,2018-04-23,NOTICE
echarts,9ccfd5080aeff4b48119d9c90109571385141ad5,2018-03-12,README.md
echarts,d80a92933a06488b4bc120513250db94d8c3df85,2018-03-07,README.md
echarts,6d579f2507fbd4bdf261333cf00d5a62907ada98,2018-03-06,README.md
echarts,04533cd457e2b36e72e86ecba837de0e4d9bce0d,2018-03-06,LICENSE
echarts,04533cd457e2b36e72e86ecba837de0e4d9bce0d,2018-03-06,README.md
echarts,3b4cb49082dc09d1dade7bd690c4e553280ef4bb,2018-01-31,README.md
echarts,1ddbca3abe3b3db9eec037cfbb08a1202f0516f4,2018-01-31,README.md
echarts,e20aef9d8af1117f7c7a726fb50373fb375de5f1,2018-01-24,README.md
echarts,9ced55a19080ebfe4ba0cb045afa1527b9d7720f,2018-01-16,README.md
echarts,54211dc53a276e0bb2797a299cb5228620c4e771,2018-01-14,LICENSE
echarts,54211dc53a276e0bb2797a299cb5228620c4e771,2018-01-14,README.md
echarts,87b23309187d0dce0818cfeebb68fab5f25535bd,2017-12-09,README.md
echarts,da1e3d8d1819720b3367f2ad4592ae78fd96b854,2017-12-09,README.md
echarts,2ca12a0da0b97b6c0c10c247db31ec4f604f3070,2017-12-04,README.md
echarts,34a37b3d876a067a0f58b7520aa1b7e5fbc724e4,2017-12-02,README.md
echarts,3b5a9064b2b9e1cf37e6ffda45aa702469493fc9,2017-12-02,README.md
echarts,e4f3e848ebcf28e13a898e4d5e449d6202fb6a42,2017-11-03,README.md
echarts,e4a010e68eab78d08818c8d6fb7d3cdaca8bdc9f,2017-10-30,README.md
echarts,04b0a3b72a0664c90457d9e16b60df7802d10824,2017-10-30,README.md
echarts,7f04d92a4fe113331efb237978233527f1f13bc0,2017-10-14,README.md
echarts,43f079c485e7c8082e371c163c0e8dbb430d886a,2017-07-23,README.md
echarts,7d7d67073b4aec9731dbeb0793c341ec95ffacb9,2017-05-24,LICENSE
echarts,41f78b6b6339a3a9c7fe720191a803f17e0b2d44,2017-05-24,LICENSE
echarts,058d74371944947e9ef6a137fc234c41df1682f5,2017-04-14,README.md
echarts,8f62ee7fa52db905f08d05253f65a339c8ca8af9,2017-02-28,LICENSE
echarts,8f62ee7fa52db905f08d05253f65a339c8ca8af9,2017-02-28,README.md
echarts,bd6083511c5e005d0857afe023a4afea724408fd,2017-01-30,README.md
echarts,92bc1cc8f1b017bb50a7a0cba37748b26ced0380,2017-01-30,README.md
echarts,609aabfc56aa528cbfdeb7aa2b1ea5515b21249f,2017-01-16,README.md
echarts,71b7b5d8955e9493269c198873dd6455189b688b,2017-01-13,README.md
echarts,1e8cf739423714a15013ff880fedb2f48b145839,2017-01-13,README.md
echarts,49fc3f22c09aaa5f303c12f5c92c32414682e9bf,2017-01-13,README.md
echarts,685cfadadd195e5ffd67afca891fee2326f82492,2016-12-27,README.md
echarts,204b6ee1d1ec4fa23789968af8dc046cb54c00c8,2016-12-03,.github/ISSUE_TEMPLATE.md
echarts,ed6ffe316000165ba0f3439d33a07c66300a3705,2016-11-30,.github/ISSUE_TEMPLATE.md
echarts,1dc7638238f2de58587ed40df37dfe90ae88b93b,2016-11-30,.github/ISSUE_TEMPLATE.md
echarts,aa81ed5fe7ee5e91030d9b57191bddc4f48090ff,2016-11-24,README.md
echarts,774b5002dbde9b3f89cc5fa95364fbbd875b96ca,2016-11-23,README.md
echarts,97778294c886cca94fd5b3babfee5ac628d0b6c3,2016-10-27,README.md
echarts,565e249b2322c7014bd44784005c7f1d256b850b,2016-10-21,README.md
echarts,77fa6c874a662303226fc2c0e74fb06dbe5a8d6a,2016-08-04,README.md
echarts,59c21975faa0bdf661d069cb8abc503b2a07d7cc,2016-07-14,README.md
echarts,260a17c537d9cb567d311b416ed443aeb73c996c,2016-07-07,README.md
echarts,d55af5ced85fda927712fa87722b014ae4478a64,2016-07-07,README.md
echarts,6387f7c0ce43db4ff6cd2d0f30e03ca12ae0e9d9,2016-07-07,README.md
echarts,bcfeabc74fb441b7d9904f9c39e06350215aa719,2016-07-02,README.md
echarts,2193721072de292d9672418efd58a22ed3a17d94,2016-06-24,README.md
echarts,ca577c237edb3f76e2b529b8ff6441f8d05882a8,2016-06-24,README.md
