repo,commit_sha,commit_date,health_file
flask,85cc71046475f9cb3efd17d496356795961249f9,2025-06-12,README.md
flask,a758915893352f5986c6ee101cdf7e3b7a64fa28,2025-06-09,README.md
flask,959052fb8d49c4473f6d8a928d745ae7c38c7e95,2025-01-05,CODE_OF_CONDUCT.md
flask,959052fb8d49c4473f6d8a928d745ae7c38c7e95,2025-01-05,CONTRIBUTING.rst
flask,959052fb8d49c4473f6d8a928d745ae7c38c7e95,2025-01-05,README.md
flask,5b525e97970b1b9706b4415de79abfe33e5955fc,2025-01-05,README.md
flask,60a11a730e8aa2450115385798ab8710804c6409,2025-01-05,CODE_OF_CONDUCT.md
flask,60a11a730e8aa2450115385798ab8710804c6409,2025-01-05,CONTRIBUTING.rst
flask,60a11a730e8aa2450115385798ab8710804c6409,2025-01-05,README.md
flask,6b361ce06b08454329286214072139228e8c2f33,2025-01-05,README.md
flask,346d1abaff0270104ffa3a0e8bee7de279a1cee7,2024-04-08,README.md
flask,87d5f5b9a9697434e6d972b021201105eabb54e6,2024-04-07,.github/SECURITY.md
flask,87d5f5b9a9697434e6d972b021201105eabb54e6,2024-04-07,.github/pull_request_template.md
flask,87d5f5b9a9697434e6d972b021201105eabb54e6,2024-04-07,LICENSE.txt
flask,87d5f5b9a9697434e6d972b021201105eabb54e6,2024-04-07,README.md
flask,87d5f5b9a9697434e6d972b021201105eabb54e6,2024-04-07,README.rst
flask,6b9acd565cded9c805760037b69754c11749c830,2023-06-27,CONTRIBUTING.rst
flask,f139024b1ca637cc6df694f49817bdb8ec294561,2023-04-20,README.rst
flask,9a4d370ea221b13d7fff5e2120007986c08f85fb,2023-04-15,CONTRIBUTING.rst
flask,182ce3dd15dfa3537391c3efaf9c3ff407d134d4,2023-04-13,CONTRIBUTING.rst
flask,8f13f5b6d672f1ba434f9c8ebe2c1b1dd385962e,2023-01-18,CONTRIBUTING.rst
flask,677a0468481a0f620bdb217e8f1a24ebe94681e5,2022-12-24,CONTRIBUTING.rst
flask,6fcf6d00bd36f7c3c51115199615dc93c4a3007a,2022-12-24,CONTRIBUTING.rst
flask,2381044d04cdb058a526c0e27163b4d891d851ed,2022-05-10,CONTRIBUTING.rst
flask,9158d3b0b8c282e6d8580b76fb5098002d4ec0d4,2022-05-02,CONTRIBUTING.rst
flask,9830fd8a806d677a279ed60bf3fa33ebb5691a5f,2021-08-10,README.rst
flask,34027d8d876c140f84e18d6b56c0aecc5481874c,2021-06-14,CONTRIBUTING.rst
flask,0d594b8c0f13c70507aa61a7666c844c5e2aeda0,2021-05-21,CONTRIBUTING.rst
flask,14921608871f15f8c34d48026473293e225ad608,2021-05-13,CONTRIBUTING.rst
flask,52adf2ec219a0cb9abcfd116ec104c9a362c602a,2021-05-11,CONTRIBUTING.rst
flask,52adf2ec219a0cb9abcfd116ec104c9a362c602a,2021-05-11,README.rst
flask,3cd615a1d6db7e319c27bca2499ab7390065f090,2021-02-24,README.rst
flask,b496d8b7cb72f29dc91d2859829caedae25d62ea,2021-02-09,CONTRIBUTING.rst
flask,dbe76bb75d597401d33ef428d79540797e9297b3,2021-02-09,.github/SECURITY.md
flask,571e638e2accf8cff6682227a564ffd5deac7e67,2021-02-09,.github/ISSUE_TEMPLATE.md
flask,571e638e2accf8cff6682227a564ffd5deac7e67,2021-02-09,.github/PULL_REQUEST_TEMPLATE.md
flask,571e638e2accf8cff6682227a564ffd5deac7e67,2021-02-09,.github/pull_request_template.md
flask,54ae1cb0e902aac1bce44e2a315650d395c710b5,2021-01-06,README.rst
flask,1035efc7d6e49a459ec2dcbfab9526a7347d6f2e,2020-10-15,CONTRIBUTING.rst
flask,1580aa30cb77c1db119c5c71b88795141d0a5045,2020-07-21,CONTRIBUTING.rst
flask,1580aa30cb77c1db119c5c71b88795141d0a5045,2020-07-21,README.rst
flask,a54f6ee648732200b927c0b27a14adcdfdf756bc,2020-06-12,CONTRIBUTING.rst
flask,c59e019f5c5ed032c5360599bbd56e3fd9421adc,2020-06-06,CONTRIBUTING.rst
flask,eea31f29a50eeb30ec3c314bb2a6de4c931095c1,2020-05-23,CONTRIBUTING.rst
flask,8e2fb4633ea48b228479a5af6ef23c39c34d68d2,2020-05-23,CONTRIBUTING.rst
flask,7673835b3da50575a14213814ea1ccefa860260f,2020-04-04,CONTRIBUTING.rst
flask,e6ac789554ac1e5cf69a2442f252dba8233cde32,2020-02-11,.github/ISSUE_TEMPLATE.md
flask,824e548036096c835735b5655513fe291d9560bc,2019-11-19,CONTRIBUTING.rst
flask,941bc9ff6019117c9aa341f809bef7e0e54d0ebf,2019-10-06,CONTRIBUTING.rst
flask,9b94e1463894c3fb2c37092a19dc3c04588741f7,2019-08-28,CONTRIBUTING.rst
flask,3628cbceafef795f4889229ca3aed2bfb9fb26a8,2019-07-21,CONTRIBUTING.rst
flask,ffc68840f821fb0a4c41a7b2b4eaad6d71f539b7,2019-07-08,README.rst
flask,e4c7033a3447b8d1af67acf9e34269f2c5633fb9,2019-07-07,.github/ISSUE_TEMPLATE.md
flask,73d997f0fc207aef8d9c7fa19d8878576dad3846,2019-07-07,.github/ISSUE_TEMPLATE.md
flask,b9c22672724ee3c89cc959bd80d3fcd81afb10e7,2019-07-01,README.rst
flask,cb6272ccc8a836b402d518cf1f90328cf06cd7ea,2019-06-23,CONTRIBUTING.rst
flask,24498afed5075583ecd5667b105b4a315a25051e,2019-06-22,README.rst
flask,e666f7a69c737fef8236237671be4da5910e9113,2019-06-22,AUTHORS
flask,e666f7a69c737fef8236237671be4da5910e9113,2019-06-22,LICENSE
flask,e666f7a69c737fef8236237671be4da5910e9113,2019-06-22,LICENSE.rst
flask,6ac4b937793afa54e93ed303d0a05c32f397ae54,2019-05-31,CONTRIBUTING.rst
flask,7ac2cbf63a59bf7ae31d1ac586816842dc285f91,2019-05-31,CONTRIBUTING.rst
flask,33379155f613dbdb4fe6d0918a5038a989fc18bf,2019-05-23,CONTRIBUTING.rst
flask,84f8e1634fed25de6ab065899234535d531e44ab,2019-05-16,CONTRIBUTING.rst
flask,84f8e1634fed25de6ab065899234535d531e44ab,2019-05-16,README.rst
flask,bcf8cb1fd4605046a76b956bfbfaab246d9f8d18,2019-05-16,CONTRIBUTING.rst
flask,af813d0d36ab498fe9a348637648e5489f0fc246,2019-05-16,README.rst
flask,e61fd5f6cb1c7ebba86a9eef9c5e645d9c4032d1,2019-05-16,CONTRIBUTING.rst
