repo,commit_sha,commit_date,health_file
grpc,c75da174e4721d89ca77febc022c9bbfea624ae8,2026-05-27,SECURITY.md
grpc,df68c75f4a47087dea167d18d2ccd79329bee27e,2026-02-03,CONTRIBUTING.md
grpc,fb53717dfa6b264e7f930bb5e9a7e5c86a31ed9e,2026-01-24,LICENSE
grpc,f5c26aec2904fddffb70471cbc78da0946be4bf8,2025-07-11,MAINTAINERS.md
grpc,9eba0d6a3d17810dc058408034381f998c7a3a63,2025-07-11,MAINTAINERS.md
grpc,198e465646b36a6106bbc93d26c80b3850791966,2025-05-19,CONTRIBUTING.md
grpc,34e0eb6eadf97d95ea90da963d1dc2cf2b41dbe5,2025-05-19,MAINTAINERS.md
grpc,c8811240b95fbaffd6487bfeec67fa114c934bc2,2025-04-02,MAINTAINERS.md
grpc,6c984d506e6a1acccd49232caa9c8bbd3cd4b883,2025-03-19,MAINTAINERS.md
grpc,51749eabd2e198fc5c6264cdac78249e5fbca936,2025-02-11,MAINTAINERS.md
grpc,02fb4b580476053d69d9c059f63faa24e4e95dfc,2025-01-10,BUILDING.md
grpc,c99406f39664c429cbc90e46555d654b2536bd49,2024-12-30,MAINTAINERS.md
grpc,daa793860c4a601533d538582c97da878b7d5824,2024-09-30,BUILDING.md
grpc,33017551bb635a7d6e8edbbac08b861068bad19c,2024-05-28,MAINTAINERS.md
grpc,f1dbb32f0af99bc5745a277bce1a8e5480308a99,2024-05-15,MAINTAINERS.md
grpc,72c3eb5cd7270e695d9fdea1506ff3fb09fd0ee5,2024-02-06,MAINTAINERS.md
grpc,7b947ec2273edffc35b9e26277f6d20abc8c97dd,2024-01-30,MAINTAINERS.md
grpc,e9b70bad9ad8fbd9f0f1ea6ddcc2b1cde9291c64,2024-01-26,README.md
grpc,c9e97a31563198c978c3640771553fc00d22caec,2024-01-18,MAINTAINERS.md
grpc,d8fd0c08443662aec25a03cec8b1057f7d43ef9c,2023-12-26,BUILDING.md
grpc,4db2625512a0411b8607872c881a3d26857375ce,2023-10-17,MAINTAINERS.md
grpc,48b496793b99302df2c386e227a92ccd7bad4b1a,2023-06-14,MAINTAINERS.md
grpc,20f1dbcc3f55f6599799a499ec652213c18c5886,2023-06-12,MAINTAINERS.md
grpc,0b2609a61d50f2dbba4604978ef9243543a2675a,2023-03-13,BUILDING.md
grpc,175c2c946a40e5511bd4444e9e3627a6685a271b,2023-01-10,README.md
grpc,149fc38356d5272d2687c0a1bcd344985b361307,2022-12-15,README.md
grpc,868b7d82a78333f040e5fad91800c98f858fd6b1,2022-09-16,BUILDING.md
grpc,7772286ef61a3c1765915c91c0d0ad81c7e5f6ce,2022-06-29,MAINTAINERS.md
grpc,05fcd826f477ef1a024a2defa5e4b3d78f5e6eb4,2022-06-29,LICENSE
grpc,a285704aafd69bd485ae3191c39ce7e4be93ca1a,2022-06-21,MAINTAINERS.md
grpc,0afcc375890eef6de23c8e0a29b6953b3f07b8e0,2022-05-24,BUILDING.md
grpc,c214b7e96bb5642591ec82b515aa57f262011c50,2022-05-23,.github/pull_request_template.md
grpc,baf7c108ff5dd0d606b2587faaed251e54937bf4,2022-05-16,.github/pull_request_template.md
grpc,17d50f46e1619ef71a50ebe22ac01836a032c645,2022-05-09,.github/pull_request_template.md
grpc,2691e9da0189ed66ba08a0da3bd5bf47f326d110,2022-05-02,.github/pull_request_template.md
grpc,d2ff2bb75e6a3f14a30a021e4576fc35ae68d85f,2022-04-25,.github/pull_request_template.md
grpc,50c9e6bd8e1e8775637ae68cf8a43ae65eb3becb,2022-04-18,.github/pull_request_template.md
grpc,63bd1ba8112e489f35ab28f2fcedb0a8ee510c44,2022-04-12,.github/pull_request_template.md
grpc,b03601fa25d1b7f0db519691846ed3a04b421c2f,2022-04-04,.github/pull_request_template.md
grpc,a87173e87e46765ce435b26ceea4a712dd4f646d,2022-03-28,.github/pull_request_template.md
