repo,month,health_file_commit_count
homebrew-cask,2016-05,2
homebrew-cask,2016-06,13
homebrew-cask,2016-07,10
homebrew-cask,2016-08,3
homebrew-cask,2016-09,4
homebrew-cask,2016-10,6
homebrew-cask,2016-11,5
homebrew-cask,2016-12,1
homebrew-cask,2017-01,5
homebrew-cask,2017-02,0
homebrew-cask,2017-03,1
homebrew-cask,2017-04,4
homebrew-cask,2017-05,3
homebrew-cask,2017-06,1
homebrew-cask,2017-07,0
homebrew-cask,2017-08,7
homebrew-cask,2017-09,0
homebrew-cask,2017-10,10
homebrew-cask,2017-11,2
homebrew-cask,2017-12,0
homebrew-cask,2018-01,1
homebrew-cask,2018-02,0
homebrew-cask,2018-03,3
homebrew-cask,2018-04,1
homebrew-cask,2018-05,8
homebrew-cask,2018-06,3
homebrew-cask,2018-07,5
homebrew-cask,2018-08,0
homebrew-cask,2018-09,3
homebrew-cask,2018-10,0
homebrew-cask,2018-11,0
homebrew-cask,2018-12,0
homebrew-cask,2019-01,3
homebrew-cask,2019-02,1
homebrew-cask,2019-03,1
homebrew-cask,2019-04,1
homebrew-cask,2019-05,3
homebrew-cask,2019-06,0
homebrew-cask,2019-07,2
homebrew-cask,2019-08,0
homebrew-cask,2019-09,1
homebrew-cask,2019-10,1
homebrew-cask,2019-11,0
homebrew-cask,2019-12,0
homebrew-cask,2020-01,2
homebrew-cask,2020-02,0
homebrew-cask,2020-03,2
homebrew-cask,2020-04,0
homebrew-cask,2020-05,1
homebrew-cask,2020-06,0
homebrew-cask,2020-07,1
homebrew-cask,2020-08,0
homebrew-cask,2020-09,1
homebrew-cask,2020-10,0
homebrew-cask,2020-11,4
homebrew-cask,2020-12,5
homebrew-cask,2021-01,0
homebrew-cask,2021-02,0
homebrew-cask,2021-03,0
homebrew-cask,2021-04,2
homebrew-cask,2021-05,4
homebrew-cask,2021-06,2
homebrew-cask,2021-07,1
homebrew-cask,2021-08,0
homebrew-cask,2021-09,0
homebrew-cask,2021-10,0
homebrew-cask,2021-11,0
homebrew-cask,2021-12,2
homebrew-cask,2022-01,2
homebrew-cask,2022-02,0
homebrew-cask,2022-03,0
homebrew-cask,2022-04,1
homebrew-cask,2022-05,0
homebrew-cask,2022-06,0
homebrew-cask,2022-07,0
homebrew-cask,2022-08,0
homebrew-cask,2022-09,0
homebrew-cask,2022-10,0
homebrew-cask,2022-11,0
homebrew-cask,2022-12,0
homebrew-cask,2023-01,1
homebrew-cask,2023-02,1
homebrew-cask,2023-03,0
homebrew-cask,2023-04,0
homebrew-cask,2023-05,0
homebrew-cask,2023-06,0
homebrew-cask,2023-07,1
homebrew-cask,2023-08,0
homebrew-cask,2023-09,3
homebrew-cask,2023-10,0
homebrew-cask,2023-11,0
homebrew-cask,2023-12,1
homebrew-cask,2024-01,1
homebrew-cask,2024-02,1
homebrew-cask,2024-03,0
homebrew-cask,2024-04,1
homebrew-cask,2024-05,3
homebrew-cask,2024-06,1
homebrew-cask,2024-07,0
homebrew-cask,2024-08,0
homebrew-cask,2024-09,0
homebrew-cask,2024-10,0
homebrew-cask,2024-11,0
homebrew-cask,2024-12,0
homebrew-cask,2025-01,0
homebrew-cask,2025-02,0
homebrew-cask,2025-03,1
homebrew-cask,2025-04,0
homebrew-cask,2025-05,0
homebrew-cask,2025-06,0
homebrew-cask,2025-07,0
homebrew-cask,2025-08,0
homebrew-cask,2025-09,0
homebrew-cask,2025-10,0
homebrew-cask,2025-11,0
homebrew-cask,2025-12,0
homebrew-cask,2026-01,1
homebrew-cask,2026-02,2
homebrew-cask,2026-03,3
homebrew-cask,2026-04,0
homebrew-cask,2026-05,2
