repo,month,health_file_commit_count
ionic-framework,2016-05,0
ionic-framework,2016-06,16
ionic-framework,2016-07,0
ionic-framework,2016-08,7
ionic-framework,2016-09,17
ionic-framework,2016-10,20
ionic-framework,2016-11,9
ionic-framework,2016-12,6
ionic-framework,2017-01,7
ionic-framework,2017-02,8
ionic-framework,2017-03,2
ionic-framework,2017-04,12
ionic-framework,2017-05,14
ionic-framework,2017-06,1
ionic-framework,2017-07,2
ionic-framework,2017-08,0
ionic-framework,2017-09,0
ionic-framework,2017-10,0
ionic-framework,2017-11,1
ionic-framework,2017-12,0
ionic-framework,2018-01,0
ionic-framework,2018-02,1
ionic-framework,2018-03,7
ionic-framework,2018-04,8
ionic-framework,2018-05,4
ionic-framework,2018-06,0
ionic-framework,2018-07,9
ionic-framework,2018-08,9
ionic-framework,2018-09,6
ionic-framework,2018-10,6
ionic-framework,2018-11,9
ionic-framework,2018-12,9
ionic-framework,2019-01,8
ionic-framework,2019-02,2
ionic-framework,2019-03,7
ionic-framework,2019-04,6
ionic-framework,2019-05,5
ionic-framework,2019-06,2
ionic-framework,2019-07,5
ionic-framework,2019-08,7
ionic-framework,2019-09,5
ionic-framework,2019-10,12
ionic-framework,2019-11,3
ionic-framework,2019-12,3
ionic-framework,2020-01,12
ionic-framework,2020-02,9
ionic-framework,2020-03,3
ionic-framework,2020-04,2
ionic-framework,2020-05,1
ionic-framework,2020-06,5
ionic-framework,2020-07,4
ionic-framework,2020-08,2
ionic-framework,2020-09,4
ionic-framework,2020-10,6
ionic-framework,2020-11,7
ionic-framework,2020-12,1
ionic-framework,2021-01,1
ionic-framework,2021-02,3
ionic-framework,2021-03,5
ionic-framework,2021-04,3
ionic-framework,2021-05,2
ionic-framework,2021-06,4
ionic-framework,2021-07,4
ionic-framework,2021-08,4
ionic-framework,2021-09,6
ionic-framework,2021-10,7
ionic-framework,2021-11,7
ionic-framework,2021-12,8
ionic-framework,2022-01,3
ionic-framework,2022-02,7
ionic-framework,2022-03,5
ionic-framework,2022-04,7
ionic-framework,2022-05,5
ionic-framework,2022-06,9
ionic-framework,2022-07,4
ionic-framework,2022-08,5
ionic-framework,2022-09,4
ionic-framework,2022-10,4
ionic-framework,2022-11,6
ionic-framework,2022-12,4
ionic-framework,2023-01,6
ionic-framework,2023-02,14
ionic-framework,2023-03,26
ionic-framework,2023-04,12
ionic-framework,2023-05,7
ionic-framework,2023-06,8
ionic-framework,2023-07,6
ionic-framework,2023-08,7
ionic-framework,2023-09,5
ionic-framework,2023-10,7
ionic-framework,2023-11,5
ionic-framework,2023-12,7
ionic-framework,2024-01,7
ionic-framework,2024-02,5
ionic-framework,2024-03,14
ionic-framework,2024-04,12
ionic-framework,2024-05,9
ionic-framework,2024-06,6
ionic-framework,2024-07,3
ionic-framework,2024-08,1
ionic-framework,2024-09,4
ionic-framework,2024-10,3
ionic-framework,2024-11,2
ionic-framework,2024-12,0
ionic-framework,2025-01,2
ionic-framework,2025-02,0
ionic-framework,2025-03,8
ionic-framework,2025-04,4
ionic-framework,2025-05,2
ionic-framework,2025-06,6
ionic-framework,2025-07,10
ionic-framework,2025-08,2
ionic-framework,2025-09,2
ionic-framework,2025-10,3
ionic-framework,2025-11,3
ionic-framework,2025-12,5
ionic-framework,2026-01,2
ionic-framework,2026-02,1
ionic-framework,2026-03,4
ionic-framework,2026-04,3
ionic-framework,2026-05,3
