repo,month,health_file_commit_count
java-design-patterns,2016-05,0
java-design-patterns,2016-06,0
java-design-patterns,2016-07,0
java-design-patterns,2016-08,1
java-design-patterns,2016-09,0
java-design-patterns,2016-10,1
java-design-patterns,2016-11,1
java-design-patterns,2016-12,0
java-design-patterns,2017-01,0
java-design-patterns,2017-02,0
java-design-patterns,2017-03,0
java-design-patterns,2017-04,0
java-design-patterns,2017-05,0
java-design-patterns,2017-06,0
java-design-patterns,2017-07,0
java-design-patterns,2017-08,0
java-design-patterns,2017-09,0
java-design-patterns,2017-10,0
java-design-patterns,2017-11,1
java-design-patterns,2017-12,2
java-design-patterns,2018-01,1
java-design-patterns,2018-02,0
java-design-patterns,2018-03,1
java-design-patterns,2018-04,0
java-design-patterns,2018-05,0
java-design-patterns,2018-06,0
java-design-patterns,2018-07,0
java-design-patterns,2018-08,0
java-design-patterns,2018-09,0
java-design-patterns,2018-10,1
java-design-patterns,2018-11,0
java-design-patterns,2018-12,0
java-design-patterns,2019-01,0
java-design-patterns,2019-02,0
java-design-patterns,2019-03,0
java-design-patterns,2019-04,1
java-design-patterns,2019-05,0
java-design-patterns,2019-06,0
java-design-patterns,2019-07,0
java-design-patterns,2019-08,1
java-design-patterns,2019-09,0
java-design-patterns,2019-10,2
java-design-patterns,2019-11,0
java-design-patterns,2019-12,0
java-design-patterns,2020-01,1
java-design-patterns,2020-02,0
java-design-patterns,2020-03,0
java-design-patterns,2020-04,0
java-design-patterns,2020-05,0
java-design-patterns,2020-06,1
java-design-patterns,2020-07,123
java-design-patterns,2020-08,20
java-design-patterns,2020-09,5
java-design-patterns,2020-10,2
java-design-patterns,2020-11,7
java-design-patterns,2020-12,9
java-design-patterns,2021-01,8
java-design-patterns,2021-02,4
java-design-patterns,2021-03,5
java-design-patterns,2021-04,4
java-design-patterns,2021-05,5
java-design-patterns,2021-06,5
java-design-patterns,2021-07,3
java-design-patterns,2021-08,1
java-design-patterns,2021-09,3
java-design-patterns,2021-10,20
java-design-patterns,2021-11,0
java-design-patterns,2021-12,7
java-design-patterns,2022-01,3
java-design-patterns,2022-02,0
java-design-patterns,2022-03,0
java-design-patterns,2022-04,2
java-design-patterns,2022-05,0
java-design-patterns,2022-06,0
java-design-patterns,2022-07,1
java-design-patterns,2022-08,0
java-design-patterns,2022-09,6
java-design-patterns,2022-10,33
java-design-patterns,2022-11,16
java-design-patterns,2022-12,10
java-design-patterns,2023-01,7
java-design-patterns,2023-02,5
java-design-patterns,2023-03,3
java-design-patterns,2023-04,1
java-design-patterns,2023-05,1
java-design-patterns,2023-06,2
java-design-patterns,2023-07,5
java-design-patterns,2023-08,10
java-design-patterns,2023-09,0
java-design-patterns,2023-10,26
java-design-patterns,2023-11,0
java-design-patterns,2023-12,5
java-design-patterns,2024-01,3
java-design-patterns,2024-02,6
java-design-patterns,2024-03,20
java-design-patterns,2024-04,10
java-design-patterns,2024-05,5
java-design-patterns,2024-06,4
java-design-patterns,2024-07,1
java-design-patterns,2024-08,0
java-design-patterns,2024-09,0
java-design-patterns,2024-10,6
java-design-patterns,2024-11,6
java-design-patterns,2024-12,4
java-design-patterns,2025-01,10
java-design-patterns,2025-02,3
java-design-patterns,2025-03,8
java-design-patterns,2025-04,5
java-design-patterns,2025-05,2
java-design-patterns,2025-06,0
java-design-patterns,2025-07,0
java-design-patterns,2025-08,0
java-design-patterns,2025-09,0
java-design-patterns,2025-10,0
java-design-patterns,2025-11,0
java-design-patterns,2025-12,0
java-design-patterns,2026-01,1
java-design-patterns,2026-02,5
java-design-patterns,2026-03,0
java-design-patterns,2026-04,0
java-design-patterns,2026-05,0
