repo,month,health_file_commit_count
juice-shop,2015-06,0
juice-shop,2015-07,1
juice-shop,2015-08,1
juice-shop,2015-09,1
juice-shop,2015-10,1
juice-shop,2015-11,0
juice-shop,2015-12,9
juice-shop,2016-01,3
juice-shop,2016-02,0
juice-shop,2016-03,2
juice-shop,2016-04,1
juice-shop,2016-05,0
juice-shop,2016-06,1
juice-shop,2016-07,20
juice-shop,2016-08,5
juice-shop,2016-09,43
juice-shop,2016-10,17
juice-shop,2016-11,4
juice-shop,2016-12,5
juice-shop,2017-01,12
juice-shop,2017-02,20
juice-shop,2017-03,5
juice-shop,2017-04,15
juice-shop,2017-05,10
juice-shop,2017-06,20
juice-shop,2017-07,2
juice-shop,2017-08,7
juice-shop,2017-09,5
juice-shop,2017-10,2
juice-shop,2017-11,3
juice-shop,2017-12,12
juice-shop,2018-01,9
juice-shop,2018-02,2
juice-shop,2018-03,7
juice-shop,2018-04,7
juice-shop,2018-05,4
juice-shop,2018-06,10
juice-shop,2018-07,0
juice-shop,2018-08,4
juice-shop,2018-09,1
juice-shop,2018-10,10
juice-shop,2018-11,8
juice-shop,2018-12,4
juice-shop,2019-01,6
juice-shop,2019-02,2
juice-shop,2019-03,3
juice-shop,2019-04,3
juice-shop,2019-05,18
juice-shop,2019-06,8
juice-shop,2019-07,1
juice-shop,2019-08,0
juice-shop,2019-09,3
juice-shop,2019-10,9
juice-shop,2019-11,2
juice-shop,2019-12,2
juice-shop,2020-01,6
juice-shop,2020-02,2
juice-shop,2020-03,5
juice-shop,2020-04,7
juice-shop,2020-05,0
juice-shop,2020-06,4
juice-shop,2020-07,1
juice-shop,2020-08,4
juice-shop,2020-09,1
juice-shop,2020-10,1
juice-shop,2020-11,1
juice-shop,2020-12,9
juice-shop,2021-01,1
juice-shop,2021-02,3
juice-shop,2021-03,2
juice-shop,2021-04,1
juice-shop,2021-05,2
juice-shop,2021-06,1
juice-shop,2021-07,0
juice-shop,2021-08,0
juice-shop,2021-09,6
juice-shop,2021-10,8
juice-shop,2021-11,1
juice-shop,2021-12,2
juice-shop,2022-01,6
juice-shop,2022-02,0
juice-shop,2022-03,2
juice-shop,2022-04,3
juice-shop,2022-05,3
juice-shop,2022-06,3
juice-shop,2022-07,6
juice-shop,2022-08,3
juice-shop,2022-09,1
juice-shop,2022-10,0
juice-shop,2022-11,5
juice-shop,2022-12,5
juice-shop,2023-01,3
juice-shop,2023-02,2
juice-shop,2023-03,0
juice-shop,2023-04,1
juice-shop,2023-05,1
juice-shop,2023-06,1
juice-shop,2023-07,0
juice-shop,2023-08,1
juice-shop,2023-09,5
juice-shop,2023-10,6
juice-shop,2023-11,3
juice-shop,2023-12,3
juice-shop,2024-01,1
juice-shop,2024-02,0
juice-shop,2024-03,1
juice-shop,2024-04,0
juice-shop,2024-05,1
juice-shop,2024-06,1
juice-shop,2024-07,3
juice-shop,2024-08,2
juice-shop,2024-09,2
juice-shop,2024-10,3
juice-shop,2024-11,1
juice-shop,2024-12,0
juice-shop,2025-01,2
juice-shop,2025-02,1
juice-shop,2025-03,0
juice-shop,2025-04,4
juice-shop,2025-05,1
juice-shop,2025-06,2
