repo,commit_sha,commit_date,health_file
juice-shop,659a407265251225e60f7f6438712d07b9d939a0,2026-05-25,README.md
juice-shop,849f70cc08ec6419c0b61cc718015b0063487634,2026-05-12,SECURITY.md
juice-shop,b06e055f19fa4ce7859ef0bd4396488816857d51,2026-04-16,.github/PULL_REQUEST_TEMPLATE.md
juice-shop,ab64d04626006a7f0f1b47b206668ca03db7e93e,2026-03-22,README.md
juice-shop,daf6489c539e7a5e18b514d0fe06f3ebc48081b0,2026-03-09,README.md
juice-shop,5a1467a719a88781019c0de72f49487e12113d6d,2026-03-09,SECURITY.md
juice-shop,45e3c882945f69416116752b4b49a0d67a6861dc,2026-03-07,SECURITY.md
juice-shop,bc46dbe6579edfcb3acbfdd8e8312651c26ad6dc,2026-02-22,README.md
juice-shop,dcb44b15cb63d79e9dcd2763745717be675ee1a0,2026-01-02,.github/PULL_REQUEST_TEMPLATE.md
juice-shop,444221137298958fda53012539eebc0217b5b4af,2026-01-02,.github/PULL_REQUEST_TEMPLATE.md
juice-shop,444221137298958fda53012539eebc0217b5b4af,2026-01-02,CONTRIBUTING.md
juice-shop,fa81f9165b90720991dda6dccaef01bdf3e8b953,2025-12-19,CODE_OF_CONDUCT.md
juice-shop,fa81f9165b90720991dda6dccaef01bdf3e8b953,2025-12-19,README.md
juice-shop,76bcae68f2fa992f3d620735d47d507b0f7a6fff,2025-12-01,CONTRIBUTING.md
juice-shop,ff5ba3300a331e9712eabe073409e00a4b1e8aa1,2025-12-01,CONTRIBUTING.md
juice-shop,8ad73c9c703c981686126684b08d62a76042acd7,2025-12-01,CONTRIBUTING.md
juice-shop,39dbb45cdd534af751c3b82f70eec9700e217108,2025-11-18,SECURITY.md
juice-shop,66316911f8944ecaf238f44d1e6064f45e50222e,2025-11-16,LICENSE
juice-shop,66316911f8944ecaf238f44d1e6064f45e50222e,2025-11-16,README.md
juice-shop,8a486af4b933f4f0322ad64fe65ec05d7fc7e44a,2025-11-16,SECURITY.md
juice-shop,cf635ec1e7d16a78665bb98cdbea8945d7873f07,2025-11-01,README.md
juice-shop,bd0ca13c41f1265dd14d58bd0f23650435a439b2,2025-09-02,SECURITY.md
juice-shop,66523c686328763398195f631870b1bc12ca320e,2025-08-30,README.md
juice-shop,e8d644dd46985a33b6608ea02d25fa55b80eb20c,2025-08-07,.github/PULL_REQUEST_TEMPLATE.md
juice-shop,e12c2821dd6e826092d87c3edf0e05e63b18ccb5,2025-07-25,CONTRIBUTING.md
juice-shop,e12c2821dd6e826092d87c3edf0e05e63b18ccb5,2025-07-25,README.md
juice-shop,a7fd87b525433cebebb4755c65bbe7521a530bb2,2025-07-25,CONTRIBUTING.md
juice-shop,a7fd87b525433cebebb4755c65bbe7521a530bb2,2025-07-25,README.md
juice-shop,a33c68df371b6f747e480b72e591c3be258b8b9d,2025-06-19,README.md
juice-shop,a33c68df371b6f747e480b72e591c3be258b8b9d,2025-06-19,SECURITY.md
juice-shop,f83b22b61171b4d12d78836f9971c5ada6b3e0ed,2025-06-16,README.md
juice-shop,bd1abe933411fee157548673165ca0d7c1b1e0d7,2025-05-08,README.md
juice-shop,7bbff113a2249fdf4dd454c105d4238cc66039f6,2025-04-29,README.md
juice-shop,05c6a9e10b0a7b8dfcf48ff3e050f2892eec658b,2025-04-28,README.md
juice-shop,8900106b7a95b29eeb24e9780f239645feb231a2,2025-04-28,README.md
juice-shop,8900106b7a95b29eeb24e9780f239645feb231a2,2025-04-28,SECURITY.md
juice-shop,7dc06f2ee133c39f6daf91b0543cfba664157639,2025-04-22,SECURITY.md
juice-shop,9e4b255fa09950ef5d59e034a0ef5fab691df9e6,2025-02-13,README.md
juice-shop,12e10bd891a3d57913a889890dab0fafa420ee4a,2025-01-27,README.md
juice-shop,623fc015827f9bc09c56fd6a089a36f21e757f59,2025-01-01,LICENSE
juice-shop,623fc015827f9bc09c56fd6a089a36f21e757f59,2025-01-01,README.md
juice-shop,074b8aa02ec1b574b7ec7f01b00e865e5d6b8fa7,2024-11-19,README.md
juice-shop,91aadd6c9ef7953ab1834e2e4cddf112b908baa0,2024-10-13,CODE_OF_CONDUCT.md
juice-shop,412df587d8fa3bad7cf6bcbb54217b729156c44c,2024-10-13,SECURITY.md
juice-shop,10e1816d927159952484bb51a21dc783ae9475e7,2024-10-05,CODE_OF_CONDUCT.md
juice-shop,50c61a470cb1ba7e3184975ee08bcbd7075e0b2b,2024-09-01,README.md
juice-shop,3e29173013760d974de21c12b6cd91a9aacbde36,2024-09-01,README.md
juice-shop,a6e56bde3fa69d6803174e03390e50d839fe43f5,2024-08-05,SECURITY.md
juice-shop,ea11d3d7fadc6b8b96b91d575be4a3827b1ba344,2024-08-02,README.md
juice-shop,86bc7dc4840cd35dfb6cd43ae139ebc5d844dbcd,2024-07-20,README.md
juice-shop,c175097deeda5f812ef3f02d1a63859104177fda,2024-07-20,README.md
juice-shop,2a50a91800b8f791423e103fc15053556201f107,2024-07-17,README.md
juice-shop,550c13771bce2c8d68a63e9fc09bd171d669815d,2024-06-01,SECURITY.md
juice-shop,13dd2b3958fa9a440fb88f05ab3b33ca22800a51,2024-05-24,SECURITY.md
juice-shop,b4d0648d84fb2dcee4ec64d4d7530fc64d87ed6a,2024-03-10,README.md
juice-shop,2917ca2813cfcc40f9ed966b6f880b54038fc5e1,2024-01-08,CONTRIBUTING.md
juice-shop,91bd1088ce1e934cc8c2db70d2973dc91f5d98da,2023-12-24,LICENSE
juice-shop,91bd1088ce1e934cc8c2db70d2973dc91f5d98da,2023-12-24,README.md
juice-shop,91bd1088ce1e934cc8c2db70d2973dc91f5d98da,2023-12-24,SECURITY.md
juice-shop,01cb427117bf807a78f0fbccf6c5218c282ec36d,2023-12-22,README.md
juice-shop,93866b18a950d7d046e96c2ecaff222ff108542a,2023-12-17,README.md
juice-shop,b2d24bf5b050b87d2f3e5af26d35ca42d1029f25,2023-11-03,SECURITY.md
juice-shop,69c6b1c350a9d20d94be980533c9793517556386,2023-11-02,README.md
juice-shop,69c6b1c350a9d20d94be980533c9793517556386,2023-11-02,SECURITY.md
juice-shop,8e019194ee3b5334e0417cba9bc94928ffaa9e7e,2023-11-02,SECURITY.md
juice-shop,4ef7b813398f4a471ffd93e44c7ed2dbac477e74,2023-10-25,CONTRIBUTING.md
juice-shop,06923afd0192cedda26de84d5ae49120c6467be0,2023-10-25,CONTRIBUTING.md
juice-shop,7cd6b42faef9efde1ca344952616fce277bb5d5c,2023-10-25,CONTRIBUTING.md
juice-shop,41bff40a5764341da705215aa6ecb076b963a810,2023-10-15,README.md
juice-shop,c25fcf1ef8f5c45b6238226774c4466e806da27c,2023-10-09,README.md
juice-shop,19f23ead7fc38f9bf1fc7a3f8c69fdbb122de81c,2023-10-03,README.md
juice-shop,58fc31c60a6f1cce37f0954258728dbfc919278b,2023-09-28,README.md
juice-shop,cd63f029f75efa936b4a445454dff1611353b11e,2023-09-28,README.md
juice-shop,63c072e004d2005e7c39320820817e3678de1a7e,2023-09-21,.github/PULL_REQUEST_TEMPLATE.md
juice-shop,932a70d6ed4195220b7dbbabbc8c0c090dcd121d,2023-09-13,SECURITY.md
juice-shop,6b1456efde153b8de8ae85693662169ef43c7262,2023-09-03,README.md
juice-shop,26a008097eab3f949fb1d87ac4fc3ff20bef621c,2023-08-29,README.md
juice-shop,8bafdd33c83b5447dbf67c83071721da519b4d97,2023-06-03,SECURITY.md
juice-shop,af11c23af9014b359b15f193c21c3af36f0c8579,2023-05-30,SECURITY.md
juice-shop,986620f466e5055b94d784284def6ca4eda6e680,2023-04-08,README.md
juice-shop,986620f466e5055b94d784284def6ca4eda6e680,2023-04-08,SECURITY.md
juice-shop,fc7f57883fefa118aea6dd3bb2ed8673de9f17b2,2023-02-07,README.md
juice-shop,b077f5245f0acdaa63a4e3232882e7d47b59e1e1,2023-02-07,README.md
juice-shop,b077f5245f0acdaa63a4e3232882e7d47b59e1e1,2023-02-07,SECURITY.md
juice-shop,8142b3b63e9fc93fb19e2acfa67d03c4733798c9,2023-01-22,README.md
juice-shop,35962edbc03cf76a52a42d0b97f9ede726bb3b7a,2023-01-16,SECURITY.md
juice-shop,de937431d6b440d15493704a51fc99e17e78b94c,2023-01-03,SECURITY.md
juice-shop,6c26fe960826c3fcc27a3c944aa1fb17a7c8af12,2022-12-31,LICENSE
juice-shop,6c26fe960826c3fcc27a3c944aa1fb17a7c8af12,2022-12-31,README.md
juice-shop,948f22771c03f70c624b138a29d2030828a0262a,2022-12-25,LICENSE
juice-shop,948f22771c03f70c624b138a29d2030828a0262a,2022-12-25,README.md
juice-shop,70eacd6531116d1817415afd1988982a79548574,2022-12-19,README.md
juice-shop,066d2fde13a94bfb24bde5aa31538834d13f9e50,2022-12-19,README.md
juice-shop,066d2fde13a94bfb24bde5aa31538834d13f9e50,2022-12-19,SECURITY.md
juice-shop,9d9c6c7944ffa02e89f2be7a818fbe8e2a616882,2022-12-19,README.md
juice-shop,9d9c6c7944ffa02e89f2be7a818fbe8e2a616882,2022-12-19,SECURITY.md
juice-shop,9cfa32a4125f1498805728b93a4df4f33ffdcccf,2022-11-12,README.md
juice-shop,fa2d857f8c5a2dde57d6af337b0cc9872f7d1ab7,2022-11-12,README.md
juice-shop,2b2ffbe4cc4b91466760efc5ae48ac29f1c3bb22,2022-11-12,README.md
juice-shop,87addedae62b239b8355e04861e3041b43e5023e,2022-11-12,README.md
juice-shop,87addedae62b239b8355e04861e3041b43e5023e,2022-11-12,SECURITY.md
juice-shop,61cd0117288a2c98f2ac8022152a6378a470413e,2022-11-12,README.md
juice-shop,61cd0117288a2c98f2ac8022152a6378a470413e,2022-11-12,SECURITY.md
juice-shop,c7e408cab83db197e9e36b98a00123e65de530e8,2022-09-24,SECURITY.md
juice-shop,bafb8df3c55fe6753310a63a3ebe0ad923fbaa3b,2022-08-30,README.md
juice-shop,91d23ee5f211a972b82ad23483100622a1c3c579,2022-08-18,SECURITY.md
juice-shop,df1c19f1789bd29995bba5fad6fe05aa9f8edc7d,2022-08-18,CONTRIBUTING.md
juice-shop,df1c19f1789bd29995bba5fad6fe05aa9f8edc7d,2022-08-18,README.md
juice-shop,ab8c5a693aef0ae37d22133aeff4a3cc3be8144e,2022-07-28,README.md
juice-shop,9dae1af1bc25ab5baef5126b4238e9369d106a28,2022-07-28,README.md
juice-shop,ad94c9871f99a77988bad07f988ae9518eba050b,2022-07-28,README.md
juice-shop,97b893b7c5e588e465b45394068477e0b31011f0,2022-07-26,README.md
juice-shop,7a44783180603c3a914ee50af7a60de24e00635a,2022-07-25,README.md
juice-shop,bd7e8f3c7af1a8f38ba4fa866000136cb472449a,2022-07-03,SECURITY.md
juice-shop,d7eaac725f203e26845634b42f84d4fe11bc88a5,2022-06-21,README.md
juice-shop,e7b8e07b7a58e4a7bda89daa7b3d93957fdcb198,2022-06-17,.github/PULL_REQUEST_TEMPLATE.md
juice-shop,2b518a1ba8169d6a2e1b6a8839dd1fb2bfd83162,2022-06-17,.github/PULL_REQUEST_TEMPLATE.md
juice-shop,56a69b8c2d0796c12488e51aa11515cafc1af93d,2022-05-07,README.md
juice-shop,2cb4e5c4867207bcdbe35328d96ab00e263e7404,2022-05-06,README.md
juice-shop,4ffa44c28f65d4257c80173c9ce20f784f173712,2022-05-06,README.md
juice-shop,4ffa44c28f65d4257c80173c9ce20f784f173712,2022-05-06,SECURITY.md
juice-shop,c39875fdc7c82577c0343f84ebe633064d7a2701,2022-04-29,README.md
juice-shop,46f050c578ee5bc1cfbc1a96dbf86a88d844ddb5,2022-04-29,README.md
juice-shop,f36252cf50167c6d93ff73bae5825893dee9ff97,2022-04-10,README.md
juice-shop,f36252cf50167c6d93ff73bae5825893dee9ff97,2022-04-10,SECURITY.md
juice-shop,8e01c542bed049c8cf5bfb4907667f43690ef8fe,2022-03-08,README.md
juice-shop,d04addead8e8e416cfe784022f849b7a699f8045,2022-03-08,README.md
juice-shop,e71d2bb70528f6c398e70a70c2e202916ccfe280,2022-01-20,README.md
juice-shop,b1810b0bad55848ddc1e3cb2f179bfe2aaa88735,2022-01-10,SECURITY.md
juice-shop,47f011ad981e6b2277f8d8756f884dc81fafa85e,2022-01-09,README.md
juice-shop,3a0043f131738645655966bdeba9f947141875fa,2022-01-09,README.md
juice-shop,83b828272a4868ab81fc718c1c76e6611519a3b7,2022-01-09,SECURITY.md
juice-shop,cfff3d4fc09200a5e03abc3742025536a5c66535,2022-01-09,README.md
juice-shop,5315f9c1f77be16b2509ee5b3e770ad987cc48d3,2021-12-30,SECURITY.md
juice-shop,05b0083aa3307ee5dddefe84f16946068a001987,2021-12-28,LICENSE
juice-shop,05b0083aa3307ee5dddefe84f16946068a001987,2021-12-28,README.md
juice-shop,b4ba5f859a9c7ad687583b8754bfb6c34fcf9194,2021-11-19,SECURITY.md
juice-shop,7f73a421ffbf10681a72baf238c67295b60725ba,2021-10-18,CODE_OF_CONDUCT.md
juice-shop,7f73a421ffbf10681a72baf238c67295b60725ba,2021-10-18,README.md
juice-shop,7f73a421ffbf10681a72baf238c67295b60725ba,2021-10-18,SECURITY.md
juice-shop,443cc681c1e4c5703a9c047825028bd4e111b8e3,2021-10-11,SECURITY.md
juice-shop,11f54c32a88bd119ae52c2e2f5c8f602400361d9,2021-10-11,README.md
juice-shop,cd0dede45ada3e6bfbde8f468e8e5c66275afb98,2021-10-11,README.md
juice-shop,aded44f7c6e766c59d57d66daff55baf91751e68,2021-10-05,SECURITY.md
juice-shop,8fab1fdf1dc2c4ae651de6eae1c744e8d98f15bf,2021-10-05,README.md
juice-shop,5da9b6cd4d3c09499febc8183a1ebcbc7b732358,2021-10-05,README.md
juice-shop,e042c850423de7218f25049b2d16fab35124d877,2021-10-03,SECURITY.md
juice-shop,5d5a974cd7b8b318537ee5823227004257195f29,2021-09-29,CONTRIBUTING.md
juice-shop,2b78c46c17d7bf98c2e60d4cfd9b847c6d33f58c,2021-09-29,CONTRIBUTING.md
juice-shop,f94043deedf468ea412632eb003dae8750249012,2021-09-29,CONTRIBUTING.md
juice-shop,6105e7909eec7e55075944e8de0633b365744e38,2021-09-20,CONTRIBUTING.md
juice-shop,6105e7909eec7e55075944e8de0633b365744e38,2021-09-20,README.md
juice-shop,286d3f8d0f20c165ecead146b3e31aabbb511f64,2021-09-20,LICENSE
juice-shop,286d3f8d0f20c165ecead146b3e31aabbb511f64,2021-09-20,README.md
juice-shop,f5578c02c74b444ee84f23fb7a2f4e2ee1f2bc68,2021-09-16,SECURITY.md
juice-shop,ef79b44bba8779cc18d7c03f13c0b4bd76f742f4,2021-06-10,CODE_OF_CONDUCT.md
juice-shop,ef79b44bba8779cc18d7c03f13c0b4bd76f742f4,2021-06-10,SECURITY.md
juice-shop,6a7012591d1315dff6225e76801379f6eea4b80d,2021-05-06,README.md
juice-shop,6a7012591d1315dff6225e76801379f6eea4b80d,2021-05-06,SECURITY.md
juice-shop,667ae349bce2bde714401f4938bb54c1f4676a08,2021-05-06,README.md
juice-shop,667ae349bce2bde714401f4938bb54c1f4676a08,2021-05-06,SECURITY.md
juice-shop,9c7c350c1d3071e6fc71d27eeaca5f220a2ba56e,2021-04-11,SECURITY.md
juice-shop,1fa9868df580fcbb65dd7987f700414d3aa98101,2021-03-08,README.md
