repo,commit_sha,commit_date,health_file
laravel,2e47b7fdf1cec7c243b178ade4e8e572dbcf640f,2026-05-27,CHANGELOG.md
laravel,b3121baf249bb7e2948d994b613ce5fd9ccc18f8,2026-05-19,CHANGELOG.md
laravel,92e7f8475a197abb8fea9013196eabcc1564c50e,2026-05-13,CHANGELOG.md
laravel,7b6e0abe7f671a9302a27154f7630e314780e614,2026-05-05,CHANGELOG.md
laravel,141a1a3c9bab41eb08ea11b23d7e0096ef90358c,2026-04-28,CHANGELOG.md
laravel,15bd0b1954933012f6895db95718ae86178fe19a,2026-04-21,CHANGELOG.md
laravel,d2f4eef1f9c14822e7de1fac068d331dfaefddda,2026-04-14,CHANGELOG.md
laravel,ba9c3e83bac9cb90da48806c8e749c4ac8be10ee,2026-03-31,CHANGELOG.md
laravel,e7fc00c74719d80a15aca462373c9024b0f86517,2026-03-31,CHANGELOG.md
laravel,acd59b717aee2d21384fd73e75a647c36875a7a8,2026-03-18,CHANGELOG.md
laravel,77da0b9a8db30e3858f626d4980224936c37b960,2026-03-14,CHANGELOG.md
laravel,214636dd192e559cdd53f981f19bec362c16ecec,2026-03-10,CHANGELOG.md
laravel,6b54a4df067604dc9f1abae4602928bc9b089975,2026-03-10,CHANGELOG.md
laravel,d7c6fe5695557eb1d4fdc2f37740a5f222b95418,2026-02-01,README.md
laravel,81ee06ed2b2941aaeffecfbcb373bd154f064f1c,2026-01-20,CHANGELOG.md
laravel,45f8f070c03e23cf733ffda3df77096b133da23e,2026-01-06,CHANGELOG.md
laravel,ad4ca3e9a02ed4104f8a42657219fdbe199462eb,2025-12-09,CHANGELOG.md
laravel,9401db1c86af7b83e23eff0921f1782d02b63eb0,2025-11-12,CHANGELOG.md
laravel,10b782f1535005a06c3e74f7ec093ffaea3ac0e2,2025-11-04,CHANGELOG.md
laravel,5480b2a1866556e078eeefc19fd058fe9eaef63a,2025-10-28,CHANGELOG.md
laravel,9b737df489d7d2ef7e032b48836e4bce2e929128,2025-10-22,README.md
laravel,56c833e61f7897950ea4078fcdbd95cc12eb82f8,2025-10-21,CHANGELOG.md
laravel,9eb5825101843d6dd11c740408da875940be4cf1,2025-10-21,CHANGELOG.md
laravel,5dfbed80c0ccee5b46302cda13e16e0106c099e9,2025-10-15,CHANGELOG.md
laravel,741aa393f01cad6edbbced3a11766c00903771f8,2025-10-14,CHANGELOG.md
