repo,commit_sha,commit_date,health_file
material-ui,a34a94d094338213d7e3aba73ee85c9deaf2dafa,2026-05-24,LICENSE
material-ui,7f05bc03a80451dd7e5ccf929715cc051f6d1146,2026-05-19,README.md
material-ui,72e32b29c687e2afa60a970fbfa68190a244e5c1,2026-05-12,README.md
material-ui,9a87af4ebab0533c9d8a2b1f323b22bfb44d5a66,2026-05-11,CONTRIBUTING.md
material-ui,933bdf67f2405b9bfd4a115b957bc60fd2abaccf,2026-05-07,CHANGELOG.md
material-ui,32978b5fd62fc19906ef31a813f8424314df3b32,2026-04-29,CHANGELOG.md
material-ui,8184a9db7947da417b3e5f39465e99e8fdbc8590,2026-04-27,CHANGELOG.old.md
material-ui,36d3f898e17b7cbd8819125a011a8b76081d9afe,2026-04-20,CHANGELOG.md
material-ui,36d3f898e17b7cbd8819125a011a8b76081d9afe,2026-04-20,CHANGELOG.old.md
material-ui,36d3f898e17b7cbd8819125a011a8b76081d9afe,2026-04-20,SECURITY.md
material-ui,b082d02499e0680e317c7c6b533c406aacd8e45e,2026-04-13,CHANGELOG.md
material-ui,6b08d6a7b2ef1b63026960be86e5c0aacf5442e2,2026-04-08,CHANGELOG.md
material-ui,a83fd5970773243f9907608401da9f8a7351def2,2026-04-07,CHANGELOG.md
material-ui,e4de3e2b957841d9895629269b4cd5b16eba7d17,2026-04-07,README.md
material-ui,e1e43bd51af112e1dad4fab838075244fe5c0363,2026-04-02,CHANGELOG.md
material-ui,e59e5fd85b6d2ed5bf71cdc93fae1a3498990ed1,2026-03-25,CHANGELOG.md
material-ui,b4a84d8c5ecbe2a4bf35a2eb7e2adc620393b6a7,2026-03-25,CHANGELOG.md
material-ui,9fb8cbf470c105b457b268fd6c6675f9f5667a3b,2026-03-24,CHANGELOG.md
material-ui,ef90aa334a1a82e0fd1b84869743acc5e61d1aad,2026-03-20,CHANGELOG.md
material-ui,5cac916e20b9b27056cff9ba76ab0a99f351ef1c,2026-03-12,CHANGELOG.md
material-ui,19fb7dc6d40bfd135be68752415f51024d44b6ed,2026-03-11,CONTRIBUTING.md
material-ui,19fb7dc6d40bfd135be68752415f51024d44b6ed,2026-03-11,README.md
material-ui,54f7e9d3f7884876f940e6126f5490e1c56f0b5a,2026-03-09,README.md
material-ui,10bacf18e7fddf322f15aec8af8b14ad8899617f,2026-03-05,CHANGELOG.md
material-ui,c3aaca74cf7a08e6d07fb87c0c64bb8730b7becd,2026-03-04,README.md
material-ui,ba12a4c9365051da8673a1b949c306ae2a77f138,2026-02-27,README.md
material-ui,c8f05e11ce52f50e8b622312d439ea8337d84683,2026-02-26,CHANGELOG.md
material-ui,712bfa9c3d37f07da94b00953e5f677473eced4e,2026-02-17,CHANGELOG.md
material-ui,c2f850655ee14d11f6ef35638bd3cd2332c683ec,2026-02-16,README.md
