repo,month,health_file_commit_count
metasploit-framework,2015-06,0
metasploit-framework,2015-07,0
metasploit-framework,2015-08,0
metasploit-framework,2015-09,0
metasploit-framework,2015-10,1
metasploit-framework,2015-11,1
metasploit-framework,2015-12,1
metasploit-framework,2016-01,5
metasploit-framework,2016-02,4
metasploit-framework,2016-03,0
metasploit-framework,2016-04,0
metasploit-framework,2016-05,0
metasploit-framework,2016-06,2
metasploit-framework,2016-07,0
metasploit-framework,2016-08,1
metasploit-framework,2016-09,0
metasploit-framework,2016-10,0
metasploit-framework,2016-11,0
metasploit-framework,2016-12,0
metasploit-framework,2017-01,2
metasploit-framework,2017-02,0
metasploit-framework,2017-03,0
metasploit-framework,2017-04,3
metasploit-framework,2017-05,1
metasploit-framework,2017-06,0
metasploit-framework,2017-07,1
metasploit-framework,2017-08,1
metasploit-framework,2017-09,0
metasploit-framework,2017-10,0
metasploit-framework,2017-11,0
metasploit-framework,2017-12,2
metasploit-framework,2018-01,4
metasploit-framework,2018-02,0
metasploit-framework,2018-03,2
metasploit-framework,2018-04,0
metasploit-framework,2018-05,2
metasploit-framework,2018-06,0
metasploit-framework,2018-07,0
metasploit-framework,2018-08,0
metasploit-framework,2018-09,0
metasploit-framework,2018-10,0
metasploit-framework,2018-11,1
metasploit-framework,2018-12,5
metasploit-framework,2019-01,1
metasploit-framework,2019-02,2
metasploit-framework,2019-03,0
metasploit-framework,2019-04,3
metasploit-framework,2019-05,0
metasploit-framework,2019-06,0
metasploit-framework,2019-07,0
metasploit-framework,2019-08,0
metasploit-framework,2019-09,2
metasploit-framework,2019-10,4
metasploit-framework,2019-11,0
metasploit-framework,2019-12,0
metasploit-framework,2020-01,2
metasploit-framework,2020-02,3
metasploit-framework,2020-03,0
metasploit-framework,2020-04,0
metasploit-framework,2020-05,0
metasploit-framework,2020-06,8
metasploit-framework,2020-07,0
metasploit-framework,2020-08,2
metasploit-framework,2020-09,1
metasploit-framework,2020-10,1
metasploit-framework,2020-11,0
metasploit-framework,2020-12,3
metasploit-framework,2021-01,2
metasploit-framework,2021-02,0
metasploit-framework,2021-03,0
metasploit-framework,2021-04,0
metasploit-framework,2021-05,1
metasploit-framework,2021-06,3
metasploit-framework,2021-07,0
metasploit-framework,2021-08,0
metasploit-framework,2021-09,0
metasploit-framework,2021-10,0
metasploit-framework,2021-11,0
metasploit-framework,2021-12,1
metasploit-framework,2022-01,0
metasploit-framework,2022-02,0
metasploit-framework,2022-03,0
metasploit-framework,2022-04,1
metasploit-framework,2022-05,1
metasploit-framework,2022-06,1
metasploit-framework,2022-07,0
metasploit-framework,2022-08,0
metasploit-framework,2022-09,2
metasploit-framework,2022-10,1
metasploit-framework,2022-11,0
metasploit-framework,2022-12,2
metasploit-framework,2023-01,9
metasploit-framework,2023-02,5
metasploit-framework,2023-03,1
metasploit-framework,2023-04,0
metasploit-framework,2023-05,0
metasploit-framework,2023-06,0
metasploit-framework,2023-07,0
metasploit-framework,2023-08,1
metasploit-framework,2023-09,2
metasploit-framework,2023-10,0
metasploit-framework,2023-11,0
metasploit-framework,2023-12,0
metasploit-framework,2024-01,0
metasploit-framework,2024-02,0
metasploit-framework,2024-03,1
metasploit-framework,2024-04,0
metasploit-framework,2024-05,0
metasploit-framework,2024-06,0
metasploit-framework,2024-07,0
metasploit-framework,2024-08,4
metasploit-framework,2024-09,0
metasploit-framework,2024-10,0
metasploit-framework,2024-11,3
metasploit-framework,2024-12,0
metasploit-framework,2025-01,0
metasploit-framework,2025-02,0
metasploit-framework,2025-03,3
metasploit-framework,2025-04,0
metasploit-framework,2025-05,0
metasploit-framework,2025-06,0
