repo,commit_sha,commit_date,health_file
metasploit-framework,e7eb5f760b2f4d1433782d5632191505dc6473af,2026-03-24,CONTRIBUTING.md
metasploit-framework,c32e18cdc3ebd758f1cb4a80659e9600b3c4ba88,2026-01-27,COPYING
metasploit-framework,c32e18cdc3ebd758f1cb4a80659e9600b3c4ba88,2026-01-27,LICENSE
metasploit-framework,1e769ad5aaf0cce72b0d59e3f3b6c5e2f7ef8756,2025-12-30,CONTRIBUTING.md
metasploit-framework,c41c0c882bdffc969d29e996bd0a12dbb065daa0,2025-10-23,CODE_OF_CONDUCT.md
metasploit-framework,77f760c1bf13674aea0c9309f637f674eaf88918,2025-10-05,CONTRIBUTING.md
metasploit-framework,c40e4cc8bc978f742adfaa3028ee41876c9a9c27,2025-09-05,CONTRIBUTING.md
metasploit-framework,0744c70c72f1e9b20850368805315fafe8766cdd,2025-08-04,CONTRIBUTING.md
metasploit-framework,0744c70c72f1e9b20850368805315fafe8766cdd,2025-08-04,README.md
metasploit-framework,9013316dbd9e6bee6b06fe962c392936089d585d,2025-07-31,CONTRIBUTING.md
metasploit-framework,9013316dbd9e6bee6b06fe962c392936089d585d,2025-07-31,README.md
metasploit-framework,29084094b7df6914092a71f7a44750edcb816a33,2025-03-31,CONTRIBUTING.md
metasploit-framework,9780732471f5f8c2291c7afb267b9b39f5b4c26e,2025-03-21,CONTRIBUTING.md
metasploit-framework,994c09a43bff6bebe3964797cad25487fc7096c9,2025-03-19,COPYING
metasploit-framework,994c09a43bff6bebe3964797cad25487fc7096c9,2025-03-19,LICENSE
metasploit-framework,a52a22f9229e947a76b21b9acc661c8afba6d467,2024-11-12,README.md
metasploit-framework,5c256798e336ef06b250cdbe023e7002bcaee1a8,2024-11-11,README.md
metasploit-framework,c83c258221d66b71d95a7993ec034ba3e3da03ca,2024-11-11,README.md
metasploit-framework,4a0d3d459875cc47be5355d9c35c2dcf45c4c5dd,2024-08-30,README.md
metasploit-framework,a37c3bcd4bc17c6a222d168fea1e7197b505d38a,2024-08-30,README.md
metasploit-framework,51bd4fd8ac1da6d0efe99416328c0e5a621b4e50,2024-08-30,README.md
metasploit-framework,28535ae277e636062f86d3552ee628a34a0c6e31,2024-08-01,README.md
metasploit-framework,ff775b7b23e24d373b8700a46242f6bdf601caf6,2024-03-19,README.md
metasploit-framework,a929d7b8569d9e226b8f42eb6df55a3259f974da,2023-09-27,LICENSE
metasploit-framework,325910b080ae519bffa9437edf932ae9a8c8246c,2023-09-11,LICENSE
metasploit-framework,d0e0f77624baa8114998df0778a8c4d143de0373,2023-08-07,LICENSE
metasploit-framework,cf3d14d42ffc55f5997c7232626b2f7a776f213c,2023-03-21,LICENSE
metasploit-framework,88caeddc8c263f05bac479c08cbe90ba06d978a3,2023-02-02,LICENSE
metasploit-framework,f4c5632b6daae7cefe959d3a82355d77e4e233b0,2023-02-01,LICENSE
metasploit-framework,60379368690802263c07d2fc56bd2e08911e40e2,2023-02-01,LICENSE
metasploit-framework,057f04618659ed59ea2d75e0576cd8d117f691aa,2023-02-01,LICENSE
metasploit-framework,2c72cc145ac17acd094ea1c9ec1607adfd3a9069,2023-02-01,LICENSE
metasploit-framework,1782ae1ff23968068f1d12cb13e425c9b4bee8b4,2023-01-27,CONTRIBUTING.md
metasploit-framework,6043d0ffbacf265f806dc6180778eb5551b498a1,2023-01-27,CONTRIBUTING.md
metasploit-framework,d0abb5697b593a6ab6daf959df565b1ba97d2269,2023-01-17,LICENSE
metasploit-framework,0dbb0dc8c9732408681b0735e36e69f365c06d7d,2023-01-17,LICENSE
metasploit-framework,d1f878c4f0423cd2c2d059b94ac1cc48e97a0e99,2023-01-17,LICENSE
metasploit-framework,158c557d5801c73e66b9913967bcaa40da049372,2023-01-17,LICENSE
metasploit-framework,aceb4c57c6cb972762275d500e319bd21dec3378,2023-01-17,README.md
metasploit-framework,964dbacb0faf77c6f9f17698df1ea49b77dc9e52,2023-01-05,LICENSE
metasploit-framework,9ecf27a4909a698b728c667c2c20b310973b650a,2023-01-05,LICENSE
metasploit-framework,cc3d5739efda719863854eea9e4139b525130b7c,2022-12-09,LICENSE
metasploit-framework,373a97b099775f0c2a461a7b2deccfd32094727b,2022-12-05,LICENSE
metasploit-framework,b82506f323d624b0b9acf3711655b5f0a4137e0f,2022-10-29,CODE_OF_CONDUCT.md
metasploit-framework,d9fc9fac7c2e41d53c9093ef63a09a9dae4c3d4d,2022-09-16,README.md
metasploit-framework,37d3c296ad814886e7d4c63c447abbc3c52bd93b,2022-09-15,LICENSE
metasploit-framework,1b8b37d313962051f98f95fa7304f05c6df6b414,2022-06-18,.github/PULL_REQUEST_TEMPLATE.md
metasploit-framework,f1c6744e96f8326e470d2c90eaecfe4921902f7e,2022-05-11,.github/SECURITY.md
metasploit-framework,597e173b0abc1cddb0e757dbf61ff88b6b87d3bc,2022-04-05,LICENSE
metasploit-framework,ea836c2f4108ea842ae72d238c3b7c8485951762,2021-12-19,.github/PULL_REQUEST_TEMPLATE.md
metasploit-framework,ae9e73d4687a47a6db823ea0aafd213688ad9438,2021-06-05,CONTRIBUTING.md
metasploit-framework,9ead56f1a221df3721cddb0e4b00326f2596b1aa,2021-06-04,CONTRIBUTING.md
metasploit-framework,257c5b5aed823df6fdd02c30add837cd919532dd,2021-06-04,CONTRIBUTING.md
metasploit-framework,baad6d87ae172bb8e85b3cf5e81b4d16589d1fd4,2021-05-23,.github/PULL_REQUEST_TEMPLATE.md
metasploit-framework,8af5ee8a32e117fccc674e515e697e0b37f257a4,2021-01-22,LICENSE
metasploit-framework,a9eadbe75c0a8415c497309773c1f875297ad70f,2021-01-04,CONTRIBUTING.md
metasploit-framework,8e1f30cc160ab26d65803bec4aa7103f70ab1a5e,2020-12-21,LICENSE
metasploit-framework,f31674204f4e7ccf74067443e2706b5a4c9e9d06,2020-12-21,LICENSE
metasploit-framework,0e581759f5e141ea2e3dce4c700aa69d0050fac7,2020-12-11,LICENSE
metasploit-framework,effe43f6d7398b113c89f518ec57afd64106bef9,2020-10-24,CONTRIBUTING.md
metasploit-framework,3e582ecd67ff1acef020e87507579730de708be6,2020-09-02,.github/SECURITY.md
metasploit-framework,cd69e2a1d9f378163899a3591a7a5eda9a5af1f6,2020-08-31,SECURITY.md
metasploit-framework,ca590c7affcfb1eeb7cdc617e1fbf6a50b32ca48,2020-08-27,SECURITY.md
metasploit-framework,37498ce2a387102fc44cc6e0db737b41b4e7ae86,2020-06-22,.github/PULL_REQUEST_TEMPLATE.md
metasploit-framework,affa82b06c422eb32a82f9964926ba7a3fcb1457,2020-06-17,.github/PULL_REQUEST_TEMPLATE.md
metasploit-framework,e25e0982f12bf730085f58945f918d032950465b,2020-06-16,.github/PULL_REQUEST_TEMPLATE.md
metasploit-framework,6e9492f78447ee35692beffabb2aaf5b6ebad6f8,2020-06-16,.github/PULL_REQUEST_TEMPLATE.md
metasploit-framework,7ceea0db065b4805ef90c76cd98c8a8feab3d8f6,2020-06-16,.github/PULL_REQUEST_TEMPLATE.md
metasploit-framework,6a92e1ab41e5f68775ec5fc5746a97edce096117,2020-06-16,.github/PULL_REQUEST_TEMPLATE.md
