repo,commit_sha,commit_date,health_file
minimal-mistakes,ed8f0fc65c9cdfb8caf765b50f2ada87cff0934c,2026-04-29,CHANGELOG.md
minimal-mistakes,db86e98046ec480ce338f0608477a6c7c49f82a5,2026-04-19,CHANGELOG.md
minimal-mistakes,ec1aeb7ffc64effccf7b834a7503b34cb9377508,2026-04-18,CHANGELOG.md
minimal-mistakes,5786c35342d4f359ca40479f38e6255785ab1591,2026-03-11,CHANGELOG.md
minimal-mistakes,5786c35342d4f359ca40479f38e6255785ab1591,2026-03-11,README.md
minimal-mistakes,da9f4dfea260139fb868dcdbd80f8e7dda315b90,2026-03-09,CHANGELOG.md
minimal-mistakes,c2bca1dbc8e9deaaa6c5cfdf8f483d1accb98e87,2026-03-09,README.md
minimal-mistakes,33117d88a5c875783c8bfbc50ff07c96dcdafe2b,2026-02-07,README.md
minimal-mistakes,b6fcae623322a4e322a2da328d591e239565ca2b,2025-08-31,CHANGELOG.md
minimal-mistakes,95044aa5ff92268c21524c3c385479ab3e1809e1,2025-07-29,CHANGELOG.md
minimal-mistakes,0064dabea814bd3a2e203320a141c037fdcf67ea,2025-07-29,CHANGELOG.md
minimal-mistakes,0064dabea814bd3a2e203320a141c037fdcf67ea,2025-07-29,README.md
minimal-mistakes,67676e5f4ead93466eebec13d205e0395338ffd3,2025-07-29,CHANGELOG.md
minimal-mistakes,8dac1da4d47190c5178777ece52745caec0e3577,2025-07-20,README.md
minimal-mistakes,c9a7eb6162d4c4c02bee5f18ce3b7aceaac8b3c2,2025-07-20,CHANGELOG.md
minimal-mistakes,db81998d57d5a8c64605fbd9fd282f8a13c61cf2,2025-07-11,CHANGELOG.md
minimal-mistakes,30c69ad7fc2d1ffb4b04dbf32f9d5d1f44f797b2,2025-07-11,CHANGELOG.md
minimal-mistakes,36271d15f518b54a6e6065eff9b73769db6a5c5c,2025-07-11,CHANGELOG.md
minimal-mistakes,0ce3ef6bd87c6e8728b3a5d955960b56d47b405c,2025-06-15,CHANGELOG.md
minimal-mistakes,b7e170c5cfbaefc9754a3639ba851acf306ed5b1,2025-05-02,CHANGELOG.md
minimal-mistakes,b7e170c5cfbaefc9754a3639ba851acf306ed5b1,2025-05-02,README.md
minimal-mistakes,cf6c2610610879a8379d2d28f181ade97ccbfba7,2025-05-02,CHANGELOG.md
minimal-mistakes,6de27253e7cb6e6fab875fd408ca1baf4110d35b,2025-04-26,CHANGELOG.md
minimal-mistakes,2d4e1e1ed1f9af25fae00f97088fcc60c9a8f45a,2025-04-23,CHANGELOG.md
minimal-mistakes,918d04fa4365444b70298644d87fa6687b9a95b2,2025-04-23,README.md
minimal-mistakes,8193f6071e4cb9b5862efeec307a0c273646470b,2025-04-18,CHANGELOG.md
minimal-mistakes,90ab9d28b90f4abf63f12dd570ef2c428ca569a2,2025-04-02,CHANGELOG.md
minimal-mistakes,d90b7e5b3ede1884de1c38236fe433ca03e88a85,2025-02-14,CHANGELOG.md
minimal-mistakes,8f02ec7714de5cad0509dcbd965ed70cba85213f,2025-01-01,CHANGELOG.md
minimal-mistakes,85e1ba131e93a1eedaa92ed20abf4bec3ef0847b,2024-11-27,CHANGELOG.md
minimal-mistakes,6f5e6f43911c0283bd029040a4b22d3d31fe3c30,2024-11-11,CHANGELOG.md
minimal-mistakes,bc0c83c0c4f23afa990310ac2ee48a5c90e16556,2024-10-28,README.md
minimal-mistakes,cff0e2a387fa728268996720f863dfc3a0cafa7f,2024-10-02,CHANGELOG.md
minimal-mistakes,844812b4f4f6897e8b083aca5d4f9d9b1d9afa89,2024-09-26,CHANGELOG.md
minimal-mistakes,6be43f77a50598643e092117b50c0ea72ad9c94a,2024-09-19,CHANGELOG.md
minimal-mistakes,075fad74cbd09271da3130df3ef296190139e234,2024-09-17,CHANGELOG.md
minimal-mistakes,7d212bc310fb0954b925114e78f3d5bd782c5994,2024-08-20,CHANGELOG.md
minimal-mistakes,66949b5c4c25c3045f6ec3dc0769a35a045f661a,2024-06-27,CHANGELOG.md
minimal-mistakes,7a7c8022adafc563816b7d27d6fdc17109619fa0,2024-06-25,CHANGELOG.md
minimal-mistakes,97f0f35498f411b7af2357b98b63725ab8d1e083,2024-06-25,CHANGELOG.md
minimal-mistakes,93022d6432f277eb5d83677fa50e4120f1281b04,2024-06-15,CHANGELOG.md
minimal-mistakes,1e6bcecb5aca5472c3f0f66d6137121d45848147,2024-06-15,README.md
minimal-mistakes,784efffcd18afba147c029bbfefef6bf0fd40a90,2024-06-15,CHANGELOG.md
minimal-mistakes,7b6b45055c8b5031697e1cda410f31a3b77f08e5,2024-06-09,CHANGELOG.md
minimal-mistakes,02342c919a0255c8ba7d9194a5c58af8480c3a9f,2024-06-09,README.md
minimal-mistakes,5b203f46c474de8b1afdd1521894b26233746ca2,2024-05-26,CHANGELOG.md
minimal-mistakes,4efb8638c490eee15f71d77dad5fd85e0b7cbae0,2024-05-14,CHANGELOG.md
minimal-mistakes,536e89d17440904f271879241f53a8f110246bfd,2024-05-10,CHANGELOG.md
minimal-mistakes,1a85a2868528f97ea631b71157b004665b29b422,2024-05-10,README.md
minimal-mistakes,be3c046acf7391a0157b1007592b9011213505ea,2024-05-07,CHANGELOG.md
minimal-mistakes,573f2869716b5ff81f2f99cdf0363fb17030d487,2024-05-07,CHANGELOG.md
minimal-mistakes,70462d0e166ba9d8de3a0344c356a4fd88ef2546,2024-05-06,CHANGELOG.md
minimal-mistakes,4c3ada478a2e3ff5becbd08e20aef219473b335e,2024-05-06,CHANGELOG.md
minimal-mistakes,438710da82f0393c66ace2b1b32c8f1ff501b704,2024-05-06,CHANGELOG.md
minimal-mistakes,4f76c2546a4014eb874af79da1fb83e5df849f96,2024-05-06,CHANGELOG.md
minimal-mistakes,14e3fa2b28b09967e24abfa645f2b4e4c6deb588,2024-05-05,CHANGELOG.md
minimal-mistakes,dc965c5bbee74ce875c26b8d5025d113be34d1d6,2024-05-05,CHANGELOG.md
minimal-mistakes,dc965c5bbee74ce875c26b8d5025d113be34d1d6,2024-05-05,LICENSE
minimal-mistakes,dc965c5bbee74ce875c26b8d5025d113be34d1d6,2024-05-05,README.md
minimal-mistakes,accc82a03b4ba6637f425673c7b9c13e89f7667a,2024-05-05,CHANGELOG.md
minimal-mistakes,148349b029f65683ec3fe15a2d8cc4a20fb80a07,2024-05-05,CHANGELOG.md
minimal-mistakes,0527e17354b65db132a81d0f2ab1a287b68c3171,2024-05-05,README.md
minimal-mistakes,c76813f6f56fce885915693af392ecd4c7d083aa,2024-05-05,CHANGELOG.md
minimal-mistakes,4364fb73f58391645b0297061ae4b2e0e96493f5,2024-05-05,CHANGELOG.md
minimal-mistakes,9c386c5509305a433534e326fff94b9386970b70,2024-05-05,CHANGELOG.md
minimal-mistakes,bf66a5c3456d854e09bc44f74770af2cf40402b4,2024-05-05,CHANGELOG.md
minimal-mistakes,f1ffad4b5e6a233f2379b792e54e8c03733f3bb5,2024-05-05,CHANGELOG.md
minimal-mistakes,4b08acb115a5c0c770ce67cb7f985ee870d5b3e4,2024-05-05,CHANGELOG.md
minimal-mistakes,d47d62f695ff20e2b2668243c01a37b0613218bf,2024-05-05,CHANGELOG.md
minimal-mistakes,256e626503f83c5d571ef4455167736ec22a5407,2024-05-05,CHANGELOG.md
minimal-mistakes,1d3fd5d7d68c0883ae94543d423f6e3494ac8a5f,2024-05-04,README.md
minimal-mistakes,f8ea22fdb8e22a303c5ef63463cdf88763260f0a,2024-05-04,CHANGELOG.md
minimal-mistakes,7e7b9019744e96c2435d00dd0039f1d215954584,2024-05-04,README.md
minimal-mistakes,f33349c2eef451e77405d63bdf012a249f0ab938,2024-05-04,CHANGELOG.md
minimal-mistakes,f33349c2eef451e77405d63bdf012a249f0ab938,2024-05-04,README.md
minimal-mistakes,0b8b5230f96384c2105464cf76b0364754ab5fcd,2024-05-04,CHANGELOG.md
minimal-mistakes,6165d896a06e215a8f5406af40ed072bdff67787,2024-05-04,CHANGELOG.md
minimal-mistakes,bde92b6d4aa00209f41de1d855473d779e0c6a2b,2024-05-04,CHANGELOG.md
minimal-mistakes,3ed92f5ea8a6950dc0f8754fd3a913c66a584da4,2024-05-04,CHANGELOG.md
minimal-mistakes,7ef6af66e4eba4ec60b94f8a8384df2a06da2ecd,2024-05-04,CHANGELOG.md
