repo,commit_sha,commit_date,health_file
moby,4c670ed4da935e3fa71f0fadd0a3f454ee912956,2026-05-26,.github/PULL_REQUEST_TEMPLATE.md
moby,463f4c094357d63ffb106b9561e9d613bc7333f2,2026-04-19,MAINTAINERS
moby,0aaa2d3e3a3b5273e75fd04d2600d3f670d9b3e4,2026-04-17,README.md
moby,6604bd0ddc7a44b6a597ac1a190b06faffd1344c,2026-04-02,AUTHORS
moby,f7e4fff10bcd3b0cd4209613d4a98b83d684ac32,2026-03-26,.github/PULL_REQUEST_TEMPLATE.md
moby,f7e4fff10bcd3b0cd4209613d4a98b83d684ac32,2026-03-26,CONTRIBUTING.md
moby,91cd0971196d7f0d0276ac369a50fd6c9abf4683,2026-03-25,CONTRIBUTING.md
moby,2d73fed24e77daca4372bf53391d084e5ff44463,2025-09-05,AUTHORS
moby,b4e353c02b013acb294aecf5763057e98c8a3cfa,2025-08-07,README.md
moby,c98e5cb60b78dbcd1a51fbfb82210b45e655a913,2025-07-31,README.md
moby,c98e5cb60b78dbcd1a51fbfb82210b45e655a913,2025-07-31,ROADMAP.md
moby,f8fcc20c3bc0613f12b575b5e3277bcd4acb96d3,2025-06-24,MAINTAINERS
moby,071d27cd3db8a8395677431727501ff28997edb8,2025-06-06,CONTRIBUTING.md
moby,a022e916c83c1b2e4bd861e6008da5ee451d3999,2025-05-15,AUTHORS
moby,d0af7c3c083a3c8c4da1ded0e8acb20504463fd3,2025-05-06,MAINTAINERS
moby,ece7e02b868adb93914322e7adf08c39b3d1d64f,2025-04-11,AUTHORS
moby,bf8a27a55a5b1ae355d2398e0e5d4322861ede76,2025-03-06,MAINTAINERS
moby,9e814fc0d756cc2065536b3e01918c1254f9b437,2025-03-06,MAINTAINERS
moby,b868fad5e35002d47103fa4c41e56a3c7fbfe85f,2025-03-06,MAINTAINERS
moby,c786cdf124dc02fd78d3f38b0ad9b8988a13c024,2025-02-09,AUTHORS
moby,79b0e89628efc6fe69e8cc9f36c2a8d4ccd913f8,2025-01-30,.github/PULL_REQUEST_TEMPLATE.md
moby,24f09ef13cb038d9d0bb0937b59525dd4fed3b80,2025-01-12,MAINTAINERS
moby,7fbbd52b0e3b985e7b8666256067ceb55e842aea,2024-12-18,MAINTAINERS
