repo,commit_sha,commit_date,health_file
mybatis-3,3945272ba4412fe00e0bb043712ebdd54a43a5cc,2026-02-14,README.md
mybatis-3,21739b673395e0f6dca529d63bcadae7c3f1cbce,2025-06-10,ISSUE_TEMPLATE.md
mybatis-3,4b2dbb0a06285d7b6f913b2bd738266639be082f,2025-01-15,CONTRIBUTING.md
mybatis-3,4b2dbb0a06285d7b6f913b2bd738266639be082f,2025-01-15,README.md
mybatis-3,f770a7581fb52937e29330a31c1a5a3dc3432df0,2024-12-29,README.md
mybatis-3,ca8118f76a98ab353ea933e6c69b66218dd4e1b6,2024-08-30,README.md
mybatis-3,e8cbfdc0c2a40b291bd9adc950fdc9b2ff8a3501,2023-11-09,NOTICE
mybatis-3,5a46b2e2d7d78e7618689e53dcae458afdd8c68d,2023-02-20,README.md
mybatis-3,c998b07cc6106acb15b0d506e35607f4983cf3dd,2023-02-05,README.md
mybatis-3,7d4b57513980567a86e487b8035d34b36b1d2f0a,2023-02-05,README.md
mybatis-3,81451c1f503de80516a345a78398c23df78c044c,2023-02-05,README.md
mybatis-3,da4ed5ea062d09953bd396b82e30eedff453dfb1,2022-09-07,README.md
mybatis-3,e84cef8b654f7f8494e3935493f6955ac26838b5,2022-09-04,CONTRIBUTING.md
mybatis-3,e84cef8b654f7f8494e3935493f6955ac26838b5,2022-09-04,ISSUE_TEMPLATE.md
mybatis-3,e84cef8b654f7f8494e3935493f6955ac26838b5,2022-09-04,LICENSE
mybatis-3,e84cef8b654f7f8494e3935493f6955ac26838b5,2022-09-04,NOTICE
mybatis-3,d0d9d26259b65bad93a7f8b4a99833acd8a7f48c,2022-08-25,README.md
mybatis-3,65dd8bb01d142fee776163039e45fe51796440f0,2022-08-25,license.txt
mybatis-3,84f2d7454f7893e3e106b43eea0381df8802cf33,2022-05-17,ISSUE_TEMPLATE.md
mybatis-3,0eff54289153f2bff4953ad09be49c38a051a84a,2021-06-09,README.md
mybatis-3,855157d3e863024dcceac78ac685b9d8ce8c82c8,2020-12-28,README.md
mybatis-3,6cea6e1f3330f4384d4c60671a8ea8ecc3625600,2019-07-18,README.md
mybatis-3,75b3e2eab37919bc4d00ef6900df4ceca46bbe88,2019-07-18,README.md
mybatis-3,b5fed83b63cff06807cb18a25d57bc8e8e3a927f,2019-05-05,README.md
mybatis-3,bee7ba202cbbcae47ab68da773627d7ab385da1f,2019-04-10,ISSUE_TEMPLATE.md
mybatis-3,b542eff7e466153de33ecc0a4c8e07ede76dd50d,2018-12-17,README.md
mybatis-3,b2ad4eef6eff304752d4259ee7d8358c586dc662,2018-10-07,ISSUE_TEMPLATE.md
mybatis-3,47953cbcd542c44497d4fb7b1ab381541c27c538,2017-06-07,ISSUE_TEMPLATE.md
mybatis-3,636e223cab42e65ec0fc7225586d811bb2ecb04f,2017-06-06,ISSUE_TEMPLATE.md
mybatis-3,1eba18da99d2ce6e8da74687fa10a7ac6fbdc2ce,2017-01-13,ISSUE_TEMPLATE.md
