repo,commit_sha,commit_date,health_file
nixpkgs,10056dd40d9aed2d3c7ecbe1a728cae9fb36ac6a,2026-05-27,CONTRIBUTING.md
nixpkgs,65e5f6f63559a2c92b33cac2648cedec9345d55d,2026-05-23,.github/ISSUE_TEMPLATE.md
nixpkgs,e0962eb971d9d404dcc76c9d7875b366df969113,2026-05-11,.github/PULL_REQUEST_TEMPLATE.md
nixpkgs,e0962eb971d9d404dcc76c9d7875b366df969113,2026-05-11,CONTRIBUTING.md
nixpkgs,4f5227c3cd154525a0ccd7de1fe1fb697d5e03d0,2026-02-14,CONTRIBUTING.md
nixpkgs,66396918c52acb5d5b23223a528e26bf84d5fbfd,2026-02-14,CONTRIBUTING.md
nixpkgs,c89c90dfa137316f3cf662783b4795d8b9897237,2026-01-16,.github/PULL_REQUEST_TEMPLATE.md
nixpkgs,c7e10647eadb53b7cf3552a53e8bb33c8248c8c3,2026-01-13,CONTRIBUTING.md
nixpkgs,c7e10647eadb53b7cf3552a53e8bb33c8248c8c3,2026-01-13,README.md
nixpkgs,ac0242cb02feb575a586223c7d38aec9fcf59cb8,2026-01-07,COPYING
nixpkgs,a6ec4bf80852ba8a8d7094de80741b1c8281c8ec,2026-01-02,README.md
nixpkgs,a21ddbbd329778312496c52dbdd1c6bb6aa7f2ce,2025-12-13,CONTRIBUTING.md
nixpkgs,19328430aa759d19e7460a873189c0cd5a598b9b,2025-11-04,CONTRIBUTING.md
nixpkgs,eafa2f536f8574fbc0c9dd5dcf732a13a15f2461,2025-10-20,CONTRIBUTING.md
nixpkgs,88e1ce68199e27e234fff339c1d0363a2c12b757,2025-10-07,README.md
nixpkgs,9f95c2ace2ba533a6d8072753b164d8d8ffc29b0,2025-10-05,CONTRIBUTING.md
nixpkgs,1543459f99c6989415a5600a0684ebad77bf4a27,2025-09-25,CONTRIBUTING.md
nixpkgs,5b8a747acd7702c9d59809d522dacce404240206,2025-09-09,README.md
nixpkgs,4c30931d698ba0d5b7a3dc5dbe1b8b6dbea50c21,2025-09-02,CONTRIBUTING.md
nixpkgs,ab202ef88c11a266bc22f2e3005d91c7bfd783f3,2025-09-02,CONTRIBUTING.md
nixpkgs,a69c58b926f609e5b9c56b25b075d2af9a5b7dc5,2025-09-02,README.md
nixpkgs,0ba05751f984c92083b936c2dc321be76c9b80e3,2025-08-31,CONTRIBUTING.md
nixpkgs,8fa15577842ba38283385ed0ba5b9fabb87e5879,2025-08-31,CONTRIBUTING.md
nixpkgs,11e679147d35f460ecec40052d33f5e6b5d3cac2,2025-08-31,CONTRIBUTING.md
nixpkgs,94ec3869e43b3ce4aaad6f2bd2ca95fec7faefa4,2025-08-27,README.md
nixpkgs,76aefe30fff9ec347c280d402a2871f4ea7bfbd1,2025-08-13,README.md
nixpkgs,881c79b65d608dc09cf0a629e36f176b9ad6c8bc,2025-08-06,README.md
