repo,month,health_file_commit_count
nixpkgs,2016-05,0
nixpkgs,2016-06,1
nixpkgs,2016-07,2
nixpkgs,2016-08,0
nixpkgs,2016-09,5
nixpkgs,2016-10,1
nixpkgs,2016-11,2
nixpkgs,2016-12,0
nixpkgs,2017-01,1
nixpkgs,2017-02,1
nixpkgs,2017-03,1
nixpkgs,2017-04,0
nixpkgs,2017-05,1
nixpkgs,2017-06,1
nixpkgs,2017-07,4
nixpkgs,2017-08,1
nixpkgs,2017-09,3
nixpkgs,2017-10,4
nixpkgs,2017-11,5
nixpkgs,2017-12,10
nixpkgs,2018-01,1
nixpkgs,2018-02,0
nixpkgs,2018-03,0
nixpkgs,2018-04,1
nixpkgs,2018-05,1
nixpkgs,2018-06,4
nixpkgs,2018-07,2
nixpkgs,2018-08,7
nixpkgs,2018-09,6
nixpkgs,2018-10,7
nixpkgs,2018-11,2
nixpkgs,2018-12,1
nixpkgs,2019-01,1
nixpkgs,2019-02,1
nixpkgs,2019-03,3
nixpkgs,2019-04,2
nixpkgs,2019-05,2
nixpkgs,2019-06,0
nixpkgs,2019-07,4
nixpkgs,2019-08,0
nixpkgs,2019-09,5
nixpkgs,2019-10,8
nixpkgs,2019-11,2
nixpkgs,2019-12,4
nixpkgs,2020-01,5
nixpkgs,2020-02,7
nixpkgs,2020-03,3
nixpkgs,2020-04,5
nixpkgs,2020-05,6
nixpkgs,2020-06,1
nixpkgs,2020-07,0
nixpkgs,2020-08,0
nixpkgs,2020-09,1
nixpkgs,2020-10,1
nixpkgs,2020-11,3
nixpkgs,2020-12,0
nixpkgs,2021-01,3
nixpkgs,2021-02,0
nixpkgs,2021-03,0
nixpkgs,2021-04,0
nixpkgs,2021-05,4
nixpkgs,2021-06,8
nixpkgs,2021-07,0
nixpkgs,2021-08,3
nixpkgs,2021-09,0
nixpkgs,2021-10,3
nixpkgs,2021-11,7
nixpkgs,2021-12,0
nixpkgs,2022-01,2
nixpkgs,2022-02,2
nixpkgs,2022-03,4
nixpkgs,2022-04,2
nixpkgs,2022-05,6
nixpkgs,2022-06,0
nixpkgs,2022-07,0
nixpkgs,2022-08,0
nixpkgs,2022-09,0
nixpkgs,2022-10,1
nixpkgs,2022-11,2
nixpkgs,2022-12,4
nixpkgs,2023-01,1
nixpkgs,2023-02,1
nixpkgs,2023-03,0
nixpkgs,2023-04,1
nixpkgs,2023-05,2
nixpkgs,2023-06,6
nixpkgs,2023-07,0
nixpkgs,2023-08,29
nixpkgs,2023-09,2
nixpkgs,2023-10,2
nixpkgs,2023-11,7
nixpkgs,2023-12,4
nixpkgs,2024-01,3
nixpkgs,2024-02,3
nixpkgs,2024-03,3
nixpkgs,2024-04,5
nixpkgs,2024-05,4
nixpkgs,2024-06,0
nixpkgs,2024-07,4
nixpkgs,2024-08,1
nixpkgs,2024-09,4
nixpkgs,2024-10,8
nixpkgs,2024-11,4
nixpkgs,2024-12,0
nixpkgs,2025-01,2
nixpkgs,2025-02,1
nixpkgs,2025-03,2
nixpkgs,2025-04,3
nixpkgs,2025-05,3
nixpkgs,2025-06,5
nixpkgs,2025-07,9
nixpkgs,2025-08,6
nixpkgs,2025-09,5
nixpkgs,2025-10,3
nixpkgs,2025-11,1
nixpkgs,2025-12,1
nixpkgs,2026-01,4
nixpkgs,2026-02,2
nixpkgs,2026-03,0
nixpkgs,2026-04,0
nixpkgs,2026-05,3
