repo,month,health_file_commit_count
numpy,2016-05,0
numpy,2016-06,0
numpy,2016-07,0
numpy,2016-08,0
numpy,2016-09,0
numpy,2016-10,0
numpy,2016-11,0
numpy,2016-12,0
numpy,2017-01,1
numpy,2017-02,0
numpy,2017-03,1
numpy,2017-04,0
numpy,2017-05,0
numpy,2017-06,1
numpy,2017-07,1
numpy,2017-08,0
numpy,2017-09,0
numpy,2017-10,2
numpy,2017-11,1
numpy,2017-12,0
numpy,2018-01,0
numpy,2018-02,0
numpy,2018-03,0
numpy,2018-04,2
numpy,2018-05,0
numpy,2018-06,2
numpy,2018-07,5
numpy,2018-08,1
numpy,2018-09,2
numpy,2018-10,1
numpy,2018-11,1
numpy,2018-12,1
numpy,2019-01,1
numpy,2019-02,1
numpy,2019-03,0
numpy,2019-04,0
numpy,2019-05,3
numpy,2019-06,0
numpy,2019-07,2
numpy,2019-08,2
numpy,2019-09,0
numpy,2019-10,2
numpy,2019-11,0
numpy,2019-12,0
numpy,2020-01,0
numpy,2020-02,0
numpy,2020-03,1
numpy,2020-04,0
numpy,2020-05,1
numpy,2020-06,0
numpy,2020-07,6
numpy,2020-08,0
numpy,2020-09,3
numpy,2020-10,6
numpy,2020-11,0
numpy,2020-12,0
numpy,2021-01,0
numpy,2021-02,2
numpy,2021-03,9
numpy,2021-04,2
numpy,2021-05,0
numpy,2021-06,1
numpy,2021-07,0
numpy,2021-08,1
numpy,2021-09,1
numpy,2021-10,0
numpy,2021-11,0
numpy,2021-12,1
numpy,2022-01,7
numpy,2022-02,0
numpy,2022-03,0
numpy,2022-04,3
numpy,2022-05,0
numpy,2022-06,0
numpy,2022-07,0
numpy,2022-08,0
numpy,2022-09,1
numpy,2022-10,0
numpy,2022-11,1
numpy,2022-12,0
numpy,2023-01,1
numpy,2023-02,2
numpy,2023-03,0
numpy,2023-04,0
numpy,2023-05,0
numpy,2023-06,1
numpy,2023-07,0
numpy,2023-08,0
numpy,2023-09,0
numpy,2023-10,0
numpy,2023-11,0
numpy,2023-12,0
numpy,2024-01,1
numpy,2024-02,1
numpy,2024-03,0
numpy,2024-04,0
numpy,2024-05,0
numpy,2024-06,0
numpy,2024-07,0
numpy,2024-08,0
numpy,2024-09,0
numpy,2024-10,1
numpy,2024-11,0
numpy,2024-12,0
numpy,2025-01,1
numpy,2025-02,0
numpy,2025-03,2
numpy,2025-04,0
numpy,2025-05,0
numpy,2025-06,1
numpy,2025-07,0
numpy,2025-08,0
numpy,2025-09,1
numpy,2025-10,0
numpy,2025-11,0
numpy,2025-12,0
numpy,2026-01,6
numpy,2026-02,0
numpy,2026-03,1
numpy,2026-04,0
numpy,2026-05,0
