repo,month,health_file_commit_count
openssl,2016-05,0
openssl,2016-06,5
openssl,2016-07,0
openssl,2016-08,3
openssl,2016-09,0
openssl,2016-10,3
openssl,2016-11,2
openssl,2016-12,0
openssl,2017-01,1
openssl,2017-02,1
openssl,2017-03,0
openssl,2017-04,2
openssl,2017-05,0
openssl,2017-06,1
openssl,2017-07,0
openssl,2017-08,0
openssl,2017-09,0
openssl,2017-10,0
openssl,2017-11,1
openssl,2017-12,0
openssl,2018-01,2
openssl,2018-02,6
openssl,2018-03,2
openssl,2018-04,5
openssl,2018-05,6
openssl,2018-06,2
openssl,2018-07,1
openssl,2018-08,2
openssl,2018-09,3
openssl,2018-10,0
openssl,2018-11,2
openssl,2018-12,2
openssl,2019-01,0
openssl,2019-02,1
openssl,2019-03,0
openssl,2019-04,0
openssl,2019-05,0
openssl,2019-06,1
openssl,2019-07,0
openssl,2019-08,0
openssl,2019-09,0
openssl,2019-10,1
openssl,2019-11,0
openssl,2019-12,0
openssl,2020-01,0
openssl,2020-02,5
openssl,2020-03,1
openssl,2020-04,2
openssl,2020-05,1
openssl,2020-06,0
openssl,2020-07,3
openssl,2020-08,2
openssl,2020-09,0
openssl,2020-10,2
openssl,2020-11,4
openssl,2020-12,0
openssl,2021-01,2
openssl,2021-02,3
openssl,2021-03,0
openssl,2021-04,0
openssl,2021-05,0
openssl,2021-06,0
openssl,2021-07,0
openssl,2021-08,0
openssl,2021-09,1
openssl,2021-10,0
openssl,2021-11,0
openssl,2021-12,1
openssl,2022-01,0
openssl,2022-02,0
openssl,2022-03,2
openssl,2022-04,1
openssl,2022-05,0
openssl,2022-06,0
openssl,2022-07,0
openssl,2022-08,0
openssl,2022-09,0
openssl,2022-10,1
openssl,2022-11,0
openssl,2022-12,0
openssl,2023-01,0
openssl,2023-02,0
openssl,2023-03,0
openssl,2023-04,0
openssl,2023-05,0
openssl,2023-06,2
openssl,2023-07,0
openssl,2023-08,1
openssl,2023-09,0
openssl,2023-10,3
openssl,2023-11,3
openssl,2023-12,1
openssl,2024-01,0
openssl,2024-02,1
openssl,2024-03,0
openssl,2024-04,2
openssl,2024-05,1
openssl,2024-06,2
openssl,2024-07,0
openssl,2024-08,2
openssl,2024-09,1
openssl,2024-10,0
openssl,2024-11,1
openssl,2024-12,1
openssl,2025-01,0
openssl,2025-02,2
openssl,2025-03,2
openssl,2025-04,2
openssl,2025-05,1
openssl,2025-06,0
openssl,2025-07,0
openssl,2025-08,0
openssl,2025-09,1
openssl,2025-10,1
openssl,2025-11,1
openssl,2025-12,1
openssl,2026-01,0
openssl,2026-02,4
openssl,2026-03,2
openssl,2026-04,0
openssl,2026-05,0
