repo,month,health_file_commit_count
scikit-learn,2016-05,0
scikit-learn,2016-06,1
scikit-learn,2016-07,3
scikit-learn,2016-08,1
scikit-learn,2016-09,8
scikit-learn,2016-10,5
scikit-learn,2016-11,2
scikit-learn,2016-12,3
scikit-learn,2017-01,1
scikit-learn,2017-02,4
scikit-learn,2017-03,4
scikit-learn,2017-04,1
scikit-learn,2017-05,3
scikit-learn,2017-06,2
scikit-learn,2017-07,0
scikit-learn,2017-08,0
scikit-learn,2017-09,0
scikit-learn,2017-10,3
scikit-learn,2017-11,3
scikit-learn,2017-12,1
scikit-learn,2018-01,2
scikit-learn,2018-02,3
scikit-learn,2018-03,1
scikit-learn,2018-04,1
scikit-learn,2018-05,0
scikit-learn,2018-06,1
scikit-learn,2018-07,2
scikit-learn,2018-08,0
scikit-learn,2018-09,3
scikit-learn,2018-10,5
scikit-learn,2018-11,1
scikit-learn,2018-12,4
scikit-learn,2019-01,1
scikit-learn,2019-02,0
scikit-learn,2019-03,1
scikit-learn,2019-04,2
scikit-learn,2019-05,1
scikit-learn,2019-06,2
scikit-learn,2019-07,2
scikit-learn,2019-08,1
scikit-learn,2019-09,0
scikit-learn,2019-10,0
scikit-learn,2019-11,3
scikit-learn,2019-12,0
scikit-learn,2020-01,2
scikit-learn,2020-02,2
scikit-learn,2020-03,3
scikit-learn,2020-04,0
scikit-learn,2020-05,1
scikit-learn,2020-06,3
scikit-learn,2020-07,3
scikit-learn,2020-08,2
scikit-learn,2020-09,2
scikit-learn,2020-10,0
scikit-learn,2020-11,1
scikit-learn,2020-12,1
scikit-learn,2021-01,1
scikit-learn,2021-02,0
scikit-learn,2021-03,1
scikit-learn,2021-04,0
scikit-learn,2021-05,2
scikit-learn,2021-06,5
scikit-learn,2021-07,0
scikit-learn,2021-08,0
scikit-learn,2021-09,0
scikit-learn,2021-10,6
scikit-learn,2021-11,1
scikit-learn,2021-12,2
scikit-learn,2022-01,3
scikit-learn,2022-02,3
scikit-learn,2022-03,1
scikit-learn,2022-04,0
scikit-learn,2022-05,2
scikit-learn,2022-06,1
scikit-learn,2022-07,0
scikit-learn,2022-08,0
scikit-learn,2022-09,3
scikit-learn,2022-10,4
scikit-learn,2022-11,0
scikit-learn,2022-12,1
scikit-learn,2023-01,2
scikit-learn,2023-02,1
scikit-learn,2023-03,3
scikit-learn,2023-04,1
scikit-learn,2023-05,3
scikit-learn,2023-06,2
scikit-learn,2023-07,0
scikit-learn,2023-08,0
scikit-learn,2023-09,3
scikit-learn,2023-10,3
scikit-learn,2023-11,1
scikit-learn,2023-12,1
scikit-learn,2024-01,1
scikit-learn,2024-02,2
scikit-learn,2024-03,1
scikit-learn,2024-04,4
scikit-learn,2024-05,1
scikit-learn,2024-06,0
scikit-learn,2024-07,1
scikit-learn,2024-08,0
scikit-learn,2024-09,1
scikit-learn,2024-10,0
scikit-learn,2024-11,1
scikit-learn,2024-12,1
scikit-learn,2025-01,3
scikit-learn,2025-02,1
scikit-learn,2025-03,3
scikit-learn,2025-04,2
scikit-learn,2025-05,2
scikit-learn,2025-06,1
scikit-learn,2025-07,2
scikit-learn,2025-08,4
scikit-learn,2025-09,4
scikit-learn,2025-10,1
scikit-learn,2025-11,2
scikit-learn,2025-12,2
scikit-learn,2026-01,1
scikit-learn,2026-02,0
scikit-learn,2026-03,1
scikit-learn,2026-04,2
scikit-learn,2026-05,3
