repo,commit_sha,commit_date,health_file
shadowsocks-windows,da568ad0471cf8ab33dd243654624679a36862b5,2020-12-07,README.md
shadowsocks-windows,3688b41ceed4b694147d983fb678616a174b3ee4,2020-10-18,README.md
shadowsocks-windows,676e6069610c6e2a3a34b2f987f0c98df0bea3aa,2020-07-20,README.md
shadowsocks-windows,7cb7678dbef042d1322ea892bb3f7d9a9f062bd9,2020-05-16,README.md
shadowsocks-windows,46f25355b090fa3b142ab93527ae8ad530392d81,2020-05-10,.github/issue_template.md
shadowsocks-windows,8f09c4782f345a789f41498329d2265c249f2c1a,2020-05-05,.github/issue_template.md
shadowsocks-windows,054f9e7f2b88cd839e83b62445b3f442ae04edf9,2020-01-05,LICENSE.txt
shadowsocks-windows,e69a73a4f0653dcb785797cd58f23a0ec2adf652,2019-12-16,CONTRIBUTING.md
shadowsocks-windows,04e146f1d72b400c9347237f4ad09ad4cde8b76f,2019-12-15,.github/PULL_REQUEST_TEMPLATE.md
shadowsocks-windows,bf4195ec0deefd0378615b683da4380d8c603ca1,2019-08-17,README.md
shadowsocks-windows,f1caff43305884cba76179d4e987a3a50ebc51c4,2019-07-14,README.md
shadowsocks-windows,4c864fe14d6141481afe0189663605bedaec4a02,2019-07-10,README.md
shadowsocks-windows,ad45c21858b1bd4ff3cae1f43595ac54646fa3cb,2019-07-08,.github/issue_template.md
shadowsocks-windows,bf79e7017ce0bc04f9742b7516c79fbabe7ffd93,2019-07-04,.github/issue_template.md
shadowsocks-windows,d1c6900b903b9c665ad1c0d027bc968fe8ddd58e,2019-06-25,README.md
shadowsocks-windows,d17dcdb9713c0ba36b47b8fa6cf100300e023dba,2019-04-14,README.md
shadowsocks-windows,7aedf947c6a7997d2e29bb9e9155a384d241beea,2018-08-29,README.md
shadowsocks-windows,465355a6caa2a7de858fa5276238445ff6e53427,2018-08-18,README.md
shadowsocks-windows,8ce4b3b8967be1df0409a5992bb9746cbbb155c2,2018-06-18,.github/PULL_REQUEST_TEMPLATE.md
shadowsocks-windows,9dbb0be39402f52ead356c8643772797ad856b9e,2018-06-18,.github/issue_template.md
shadowsocks-windows,22275959982f83b07995dec7183911921fd81b4d,2018-04-12,README.md
shadowsocks-windows,1e04279d374d77477c742b89641468d66f5b6f28,2018-03-03,.github/issue_template.md
shadowsocks-windows,d266ea2e395b86ffbbcf49c7f03fc57675981808,2018-02-17,README.md
shadowsocks-windows,a5b11aee34254196984fb667c6cccf13ef08e792,2018-02-17,README.md
shadowsocks-windows,cb3afafd54a4cbea253d1d576b4224f72923e216,2017-09-08,README.md
shadowsocks-windows,101c33d0f1248c3552408dd4f19727f2cf22f667,2017-07-10,README.md
shadowsocks-windows,d7e59699f7f9482cca6cb83686934a585dc6b673,2017-03-31,README.md
shadowsocks-windows,4c49f1b73637d778dd76f76845f2f0c92dbbf6f8,2017-01-11,README.md
shadowsocks-windows,9ffcf77ab178b50eaa1ebb41c8dd064ec0225c23,2016-12-31,LICENSE.txt
shadowsocks-windows,675a5801d84b0945a6755be20e9ea9713009c7a0,2016-12-21,README.md
shadowsocks-windows,02124ff3ad779d96627b6dd8d63e03ce3fb92bc9,2016-11-05,README.md
shadowsocks-windows,c09af5fe0f63074d5f001c009cff1895d5ec2d17,2016-10-31,README.md
shadowsocks-windows,3fe8484b8b89e271d6a2516bc5bcb3eacdfbaddd,2016-10-14,README.md
shadowsocks-windows,af26fd878f3d007f0469fd98b0d5959a8c26c5b4,2016-09-20,README.md
shadowsocks-windows,42b23083748b9fd6a3d9cac588d5f104e27a8c64,2016-09-12,LICENSE.txt
shadowsocks-windows,c359be234251f1d6274343e18c9fcbce948a9b00,2016-09-12,.github/issue_template.md
shadowsocks-windows,c3b7c3dcfd6cf6662f3bfd85be4d87133bfdec68,2016-09-06,README.md
shadowsocks-windows,a1eef6eac1499ad9baf985bb5d6fa3a6c2b4246c,2016-08-18,README.md
