repo,month,health_file_commit_count
vscode,2016-05,0
vscode,2016-06,1
vscode,2016-07,3
vscode,2016-08,5
vscode,2016-09,1
vscode,2016-10,0
vscode,2016-11,1
vscode,2016-12,2
vscode,2017-01,6
vscode,2017-02,0
vscode,2017-03,1
vscode,2017-04,3
vscode,2017-05,2
vscode,2017-06,3
vscode,2017-07,2
vscode,2017-08,2
vscode,2017-09,1
vscode,2017-10,1
vscode,2017-11,2
vscode,2017-12,2
vscode,2018-01,1
vscode,2018-02,0
vscode,2018-03,1
vscode,2018-04,1
vscode,2018-05,1
vscode,2018-06,3
vscode,2018-07,1
vscode,2018-08,2
vscode,2018-09,3
vscode,2018-10,13
vscode,2018-11,0
vscode,2018-12,0
vscode,2019-01,3
vscode,2019-02,2
vscode,2019-03,0
vscode,2019-04,0
vscode,2019-05,1
vscode,2019-06,0
vscode,2019-07,0
vscode,2019-08,1
vscode,2019-09,0
vscode,2019-10,3
vscode,2019-11,2
vscode,2019-12,0
vscode,2020-01,0
vscode,2020-02,1
vscode,2020-03,0
vscode,2020-04,2
vscode,2020-05,1
vscode,2020-06,2
vscode,2020-07,1
vscode,2020-08,0
vscode,2020-09,2
vscode,2020-10,4
vscode,2020-11,0
vscode,2020-12,0
vscode,2021-01,2
vscode,2021-02,2
vscode,2021-03,2
vscode,2021-04,0
vscode,2021-05,3
vscode,2021-06,1
vscode,2021-07,3
vscode,2021-08,0
vscode,2021-09,0
vscode,2021-10,0
vscode,2021-11,1
vscode,2021-12,0
vscode,2022-01,2
vscode,2022-02,1
vscode,2022-03,2
vscode,2022-04,0
vscode,2022-05,0
vscode,2022-06,0
vscode,2022-07,1
vscode,2022-08,1
vscode,2022-09,1
vscode,2022-10,0
vscode,2022-11,0
vscode,2022-12,0
vscode,2023-01,0
vscode,2023-02,0
vscode,2023-03,0
vscode,2023-04,0
vscode,2023-05,0
vscode,2023-06,0
vscode,2023-07,0
vscode,2023-08,1
vscode,2023-09,1
vscode,2023-10,1
vscode,2023-11,0
vscode,2023-12,0
vscode,2024-01,0
vscode,2024-02,1
vscode,2024-03,0
vscode,2024-04,0
vscode,2024-05,0
vscode,2024-06,0
vscode,2024-07,0
vscode,2024-08,0
vscode,2024-09,0
vscode,2024-10,0
vscode,2024-11,0
vscode,2024-12,0
vscode,2025-01,0
vscode,2025-02,0
vscode,2025-03,0
vscode,2025-04,0
vscode,2025-05,0
vscode,2025-06,1
vscode,2025-07,0
vscode,2025-08,0
vscode,2025-09,1
vscode,2025-10,1
vscode,2025-11,0
vscode,2025-12,1
vscode,2026-01,0
vscode,2026-02,0
vscode,2026-03,0
vscode,2026-04,1
vscode,2026-05,3
