repo,commit_sha,commit_date,health_file
pandas,c5457f61d92b9428a56c619a6c420b122a41a347,2025-06-11,README.md
pandas,710f7d25710a6a2e19d3bbd4288b28571b6cca42,2025-01-02,LICENSE
pandas,7bd6ca2015c277022ffdbb6cce405e4b8a56f385,2024-08-23,README.md
pandas,445a9d526cf87dbd9f35291630d7d3e5bd95fffc,2024-07-26,README.md
pandas,e777b07ff36e7f70ea015724c2d22ed0ae1417a7,2024-02-04,README.md
pandas,1cc7e195aa139fa0c892a9e481c50f2ea0584afe,2024-01-19,LICENSE
pandas,934eebb532cf50e872f40638a788000be6e4dda4,2023-08-18,README.md
pandas,2b0ea6036fcda9f7605312551395d6036b163b6d,2023-07-14,README.md
pandas,ea56ebbd1322054237e1a1872abae47029b81ecd,2023-07-11,README.md
pandas,2893df1a39d34c96cdc2fc2346a0ed0b9c497f4f,2023-06-05,README.md
pandas,55d2a340e4f88d1458eb42b805d09535640fc301,2023-06-02,README.md
pandas,166598fce4f135560d4992cacca3de962443ce9c,2023-04-07,README.md
pandas,166598fce4f135560d4992cacca3de962443ce9c,2023-04-07,RELEASE.md
pandas,eff0eee4003ce367702bf99d7b883859a24966ad,2023-01-30,LICENSE
pandas,f759c33d1bc95f8820cbdb3d3fbab4a8b438e931,2022-12-15,README.md
pandas,fa41c52c3dec0597a39910ade667084a16169b28,2022-11-05,README.md
pandas,9ac9b9c33b80a3359415812d515b718687b0fe09,2022-10-17,README.md
pandas,04db72145624ef8fb1405bf7dea6d9ae6bdbca9a,2022-10-11,.github/PULL_REQUEST_TEMPLATE.md
pandas,464c10993c6ec76636a1335903f21baf8622c1e0,2022-10-10,README.md
pandas,3937fbe1106c5b30b9072243920a8521d36dc301,2022-09-20,README.md
pandas,f7f3e6e2bbdf68a8946d19dcbef8ab17efa342dd,2022-07-10,README.md
pandas,9a8b1932186148eeb5c25e081a3a8ebaf08c55ba,2022-07-06,RELEASE.md
pandas,47494a48edf25d5a49b0fb5b896b454c15c83595,2022-06-18,.github/CODE_OF_CONDUCT.md
pandas,47494a48edf25d5a49b0fb5b896b454c15c83595,2022-06-18,.github/CONTRIBUTING.md
pandas,47494a48edf25d5a49b0fb5b896b454c15c83595,2022-06-18,.github/SECURITY.md
pandas,ba7802b6c6a512be02302aeb54f9b278f818dee0,2022-06-05,.github/PULL_REQUEST_TEMPLATE.md
pandas,97b99797d7e3ba605ff9d7e039739a529936a1d8,2022-05-15,README.md
pandas,1f54efec712615dce1016c6a1133676d76074c4a,2022-02-17,README.md
pandas,237260d1b24d1eff5b5e42e746c075a8b459badb,2022-01-30,.github/PULL_REQUEST_TEMPLATE.md
pandas,50ac4981e0b2dca5fc0c353ddcf3b900925bce9b,2022-01-13,README.md
pandas,5ba7d714014ae8feaccc0dd4a98890828cf2832d,2022-01-11,LICENSE
pandas,6de11bb837b1601a7ecb7642fed3d9e7bd2b5a12,2021-12-27,.github/CONTRIBUTING.md
pandas,6de11bb837b1601a7ecb7642fed3d9e7bd2b5a12,2021-12-27,README.md
pandas,464416dcd7a24effd26ade699174ff4a0264173f,2021-09-12,README.md
pandas,819002c2ab71c557bffde43e5cd1799529772bf5,2021-09-08,.github/PULL_REQUEST_TEMPLATE.md
pandas,44b9244a7091b9dbfb560c76d26e7ae4e232810d,2021-06-10,README.md
pandas,672c46827b6d35082e154043609e16a671e6af15,2021-06-08,README.md
pandas,3513f59d487c3eb937ac61e159e7d3e2fbd28c50,2021-04-22,LICENSE
pandas,8dbf1cc8d21651f22fcec7a2bd73f147eb859bde,2021-01-25,README.md
pandas,125441c5a3cbf28c5fef53127b000dd13d590864,2021-01-04,.github/PULL_REQUEST_TEMPLATE.md
pandas,8a457c725012f805eb5f26b76c8018092c1ea416,2020-12-16,README.md
pandas,b36d539a82aa2e9f4b143e133b563667c27b7a8f,2020-12-02,README.md
pandas,e4cf3abe0020aa801950e0383fffc13ee9703456,2020-11-24,README.md
pandas,3cf204a4336ade29d2a611c6bca8328a8319b5d3,2020-10-06,.github/CODE_OF_CONDUCT.md
pandas,3cf204a4336ade29d2a611c6bca8328a8319b5d3,2020-10-06,AUTHORS.md
pandas,22c9d848e2beff96abf9c0be865a704842afac40,2020-10-01,README.md
pandas,0f6fc8dffc5e0bdfca18becd8f8b83730ccd2efd,2020-10-01,README.md
pandas,51b016594eb1b9fa8d1f1aa96b07305adfce7adb,2020-09-18,.github/PULL_REQUEST_TEMPLATE.md
pandas,d2e958b129e46e1d9eae2c2e19f02d2d934bb7cc,2020-09-18,.github/PULL_REQUEST_TEMPLATE.md
pandas,a23af4e19946779b57092af42e9b8f1cc3d01275,2020-08-24,README.md
