repo,commit_sha,commit_date,health_file
AspNetCore.Docs,a5b9fd4305171cb5ec09fb0c90a1a3334cb07258,2025-04-23,CONTRIBUTING.md
AspNetCore.Docs,f058479c9c5819dd6c4026006e98dae1c5d9607f,2025-01-13,README.md
AspNetCore.Docs,84815f60a8054c95facfdbf1c5d8bac1956d4cbb,2025-01-08,README.md
AspNetCore.Docs,8b1d48777401beccc52f1d9703e7b579ce464727,2024-10-29,README.md
AspNetCore.Docs,cfb764f6bc450d4fa549ffb48b9f8a4c7dbd3ecc,2024-10-08,README.md
AspNetCore.Docs,eeeb885b98c6f0037d80a7eabe2d356cc1233703,2024-09-17,README.md
AspNetCore.Docs,ba866628f5761b04785b3be5b26839864a87423a,2024-07-14,README.md
AspNetCore.Docs,5022f09bf7e5a2190844cec2e6c256e4c7c99ef9,2024-02-14,CONTRIBUTING.md
AspNetCore.Docs,1b923e32b8e7859538f64e6225bd79f60461a969,2023-08-27,CONTRIBUTING.md
AspNetCore.Docs,d650d3158cbd3dfdb07bfef86e7e3213758389a1,2023-08-27,CONTRIBUTING.md
AspNetCore.Docs,f98ec34d75659ce20b6e812dc17d62fd848dd441,2023-08-27,CONTRIBUTING.md
AspNetCore.Docs,9d92fa855eee1c73c3a9913a520c6b0d99c447aa,2023-02-17,README.md
AspNetCore.Docs,5380667b7d9121ada2201b472b62e5edeb0e4d5c,2022-12-17,README.md
AspNetCore.Docs,8cf4e8771601189694f85082cdeba0f4bf251890,2022-10-09,README.md
AspNetCore.Docs,d646fabe157209750f5c390b79310b90debba103,2022-10-09,README.md
AspNetCore.Docs,167954e87d853694b21c486544279c98e261e514,2022-09-21,CONTRIBUTING.md
AspNetCore.Docs,ed142fee1306cd96b2e5f62f3a1c6fa71c599278,2022-08-30,CONTRIBUTING.md
AspNetCore.Docs,ed142fee1306cd96b2e5f62f3a1c6fa71c599278,2022-08-30,README.md
AspNetCore.Docs,9933514ed036f1a1cc9267e72db8084957efbfa0,2022-04-20,CONTRIBUTING.md
AspNetCore.Docs,0adb8286bad41b4cb428930deaec7521cd6725ed,2022-01-19,CONTRIBUTING.md
AspNetCore.Docs,62396cb41152d1df14e9a2ecbc5e2e913e25cc5b,2021-10-01,CONTRIBUTING.md
AspNetCore.Docs,09e3573c75f8cefb7d630d1c93e75df5167710ba,2021-03-10,CONTRIBUTING.md
AspNetCore.Docs,17f7e49d7ae2ff0ab3ffa295963643ecd56d89e0,2021-02-09,CONTRIBUTING.md
AspNetCore.Docs,51c2f9c911fe180ee24a035f334de0265cbf9442,2020-10-27,README.md
AspNetCore.Docs,a5d61bb80cf6d6ef65c3ad33e52ce7cd6fe086ee,2020-07-03,.github/PULL_REQUEST_TEMPLATE.md
AspNetCore.Docs,a5d61bb80cf6d6ef65c3ad33e52ce7cd6fe086ee,2020-07-03,CODE_OF_CONDUCT.md
AspNetCore.Docs,a5d61bb80cf6d6ef65c3ad33e52ce7cd6fe086ee,2020-07-03,CONTRIBUTING.md
AspNetCore.Docs,a5d61bb80cf6d6ef65c3ad33e52ce7cd6fe086ee,2020-07-03,LICENSE
AspNetCore.Docs,a5d61bb80cf6d6ef65c3ad33e52ce7cd6fe086ee,2020-07-03,README.md
AspNetCore.Docs,330aa7a57edb9e77eb1337b44ec8d86618966d6d,2020-07-01,.github/PULL_REQUEST_TEMPLATE.md
AspNetCore.Docs,330aa7a57edb9e77eb1337b44ec8d86618966d6d,2020-07-01,CODE_OF_CONDUCT.md
AspNetCore.Docs,330aa7a57edb9e77eb1337b44ec8d86618966d6d,2020-07-01,CONTRIBUTING.md
AspNetCore.Docs,330aa7a57edb9e77eb1337b44ec8d86618966d6d,2020-07-01,LICENSE
AspNetCore.Docs,330aa7a57edb9e77eb1337b44ec8d86618966d6d,2020-07-01,README.md
