repo,commit_sha,commit_date,health_file
etcd,33a458068d27ba9da2c38898277b16a891757f5a,2025-06-23,README.md
etcd,989dd8e9a960d560f0b20a724f90443753561a0a,2025-06-10,GOVERNANCE.md
etcd,87d390820813e6c9db9de2fb982df08e42ac73a6,2025-06-05,README.md
etcd,020077d5207142421b4dbc61e25664764cadeb43,2025-05-30,LICENSE
etcd,38739fc8bcd09e28178869c2bb742c2f345cebfe,2024-12-27,CONTRIBUTING.md
etcd,dd578f49c37bfb6df77128163711e5f66bfb9d22,2024-11-15,README.md
etcd,89a70e45039fb2ec705b523ea11e388d4f4c46e7,2024-11-11,README.md
etcd,bea695dc5397b8e9d2a18a520a2ab5d03197c5b3,2024-10-02,CONTRIBUTING.md
etcd,6dce6631de8c2c0d64629dfda1de5b21f58dbc1a,2024-07-03,README.md
etcd,32726e724a4b866a2e69568a3b9b7837e3ba6296,2024-05-22,CONTRIBUTING.md
etcd,39ccdb0b9165d4a8fbde4fc7176a17e079b6d792,2024-04-09,CONTRIBUTING.md
etcd,6e0a4c7f8284ecf0099e262197678e3aae4d3067,2024-04-09,CONTRIBUTING.md
etcd,0ffdc08197bb6c627aeda215ef68870687f0cef9,2024-03-18,README.md
etcd,e2d159f08fe611b94469de07db890de10d8a6b81,2024-03-01,CONTRIBUTING.md
etcd,8732f2736925c17d2a2c3730c14a29e59efd7e25,2024-02-08,README.md
etcd,f7d264d1efc57c84df50e2941b07922a1b0c5ded,2024-01-12,CONTRIBUTING.md
etcd,164d4b945b852f2e16df79b0928481177055f44d,2023-12-28,README.md
etcd,dc76bf4af2d9625aea8519558a477832be166a8e,2023-12-12,README.md
etcd,958a2b8e3ca8c047678472e1df9091c2ee562a35,2023-11-19,README.md
etcd,569cf2d2b944d0c049b327f8662fb57869538519,2023-11-10,CONTRIBUTING.md
etcd,ecfee78c454d57e420b90b2d4d39a485a2b713f9,2023-11-08,README.md
etcd,aa67cbe6aaea93cfa49b1fc704a361d5853b0b38,2023-11-04,CONTRIBUTING.md
etcd,aa67cbe6aaea93cfa49b1fc704a361d5853b0b38,2023-11-04,GOVERNANCE.md
etcd,aa67cbe6aaea93cfa49b1fc704a361d5853b0b38,2023-11-04,MAINTAINERS
etcd,aa67cbe6aaea93cfa49b1fc704a361d5853b0b38,2023-11-04,README.md
etcd,1ee010f5c409eaf09323e4c298cff898f6ef9c46,2023-09-26,MAINTAINERS
etcd,1b63b189ec174b5c39bb047cf5efb9ec94be9beb,2023-08-20,README.md
etcd,dd1b06f01a4fbff3fe41c7fd881e10b85fc1763d,2023-08-19,README.md
etcd,62907bc842fac83fc65eab23ec1896e3db90597d,2023-08-16,CONTRIBUTING.md
etcd,cb4d3a5697bb5c5063cb1dff5581847cb584f573,2023-07-25,README.md
etcd,a35d24ab72eb8d696983a7851f0889765f838044,2023-07-13,MAINTAINERS
etcd,4755a1646cf20a7328e186f159636065dc54f4a8,2023-07-07,MAINTAINERS
etcd,4755a1646cf20a7328e186f159636065dc54f4a8,2023-07-07,README.md
etcd,0b6fd24afb367304d55aa9ea9dcf5b4af57b49d1,2023-07-07,README.md
etcd,249e6c27d6d9f5b08d4c46159fd90bc24fc3230d,2023-06-29,README.md
etcd,4a2fdb8ba887b7cfbb3f5279ebcf1321fca0154c,2023-06-05,README.md
etcd,3b7e1223ab36aa52cfc7ef8fe8bc4cec196a57a2,2023-06-04,README.md
etcd,ea47d5bec7a62aa11abeb17f07f0a99768d8e51d,2023-05-30,MAINTAINERS
etcd,75b09410e55ba992166df92d402c67ebc55badc6,2023-05-16,MAINTAINERS
etcd,045192683c8742bc888ae2200abaf5967d6e6b4e,2023-04-25,README.md
etcd,2fd9a1914ed91a4d1895c06b9b9b45980927ad18,2023-04-25,README.md
etcd,53cce3168005f32411f7437b6e145bd62f536a2d,2023-04-10,README.md
etcd,89f3e20c1818922ec2a126bf824b50603a65e439,2023-04-06,MAINTAINERS
etcd,89f3e20c1818922ec2a126bf824b50603a65e439,2023-04-06,README.md
etcd,b4c1fb14e358abaf06e95fa5db4f6152fc2804cd,2023-04-03,CONTRIBUTING.md
etcd,b4c1fb14e358abaf06e95fa5db4f6152fc2804cd,2023-04-03,GOVERNANCE.md
etcd,561c94019f718a3b982f11f12c22912bd4c9e8e6,2023-03-20,README.md
etcd,cd219ca8dfebbf768160c9f3e83a0a1a0899513a,2023-03-13,CONTRIBUTING.md
etcd,b4c499ed7aa6ad60e085ba6bb9a70989ab7ebe44,2023-03-09,CONTRIBUTING.md
etcd,b4c499ed7aa6ad60e085ba6bb9a70989ab7ebe44,2023-03-09,README.md
etcd,d475cf81a0d6a098655235110b5cd9d0e22e8f7f,2023-02-26,README.md
etcd,5f68ecc1ef308230be521ce6627b3cf31e97ebeb,2023-02-11,README.md
etcd,2eadb0ab74e427ba7fe1893da30be00ce84c5e45,2023-02-09,CONTRIBUTING.md
etcd,adf14f80bab6358735e3a4f66bee7e24054f0421,2023-02-06,MAINTAINERS
etcd,dadd7358f40a5b6a925442c6559644f7bc94d660,2022-12-01,CONTRIBUTING.md
etcd,993f3c094219f81db0efedd16b6a47cf3ac7854f,2022-11-17,CONTRIBUTING.md
etcd,e8097fe030f5381438f2727cab8de93c2486ea2f,2022-11-13,README.md
etcd,99d5364e579e7dbf86d357ca5f3e47115d6c5881,2022-11-03,MAINTAINERS
etcd,e0e8759bf5048b6148f9403108ae4b60c197c8e2,2022-10-28,MAINTAINERS
etcd,c6dd01f337aa6b5d6be4dde15f5d99a1074165b9,2022-09-23,README.md
etcd,bea478266ea1fb1b795a2ea0ba1864b9d44b3d43,2022-09-20,CONTRIBUTING.md
etcd,7bb114d171e3d1a88d58f6755afa08d200486798,2022-09-15,CONTRIBUTING.md
etcd,a36bcfff1fefe3b77644a4b8c1c5815c6477048a,2022-09-14,CONTRIBUTING.md
etcd,a36bcfff1fefe3b77644a4b8c1c5815c6477048a,2022-09-14,README.md
etcd,66d37aaf1ddbbcc80049058d2aa2b8569e6b2325,2022-08-27,CONTRIBUTING.md
etcd,b39506b4e7c3504ebcb4afedf4f6ba92b54197dc,2022-08-26,README.md
etcd,e3787ef706e5f2680ddf53089d670e9231800300,2022-08-24,CONTRIBUTING.md
etcd,e3787ef706e5f2680ddf53089d670e9231800300,2022-08-24,README.md
etcd,0785ef493bf69031ae6dde7792ecf8ddf4a4e59c,2022-08-23,MAINTAINERS
etcd,0785ef493bf69031ae6dde7792ecf8ddf4a4e59c,2022-08-23,README.md
etcd,a7a48168a0a9cd763aaa86da722605f86ff5ce2d,2022-07-29,CONTRIBUTING.md
etcd,0535742a1f09adefc32e8e005d53c39ef3a52c50,2022-07-27,MAINTAINERS
etcd,baf777fa63dffaad70da06ea566bb15b90c95470,2022-07-27,GOVERNANCE.md
etcd,188ea5424d2bda40b6d62ba65e94ccd6970aac20,2022-07-26,GOVERNANCE.md
etcd,790a461c16204d055e75994bc8702131241f1351,2022-07-20,README.md
etcd,e02ceee9f33a057320ec09eb7e8b144e2b5f8dd4,2022-05-19,GOVERNANCE.md
etcd,8abff7918b8c7bdc58213b1f61748760df04622c,2022-05-06,README.md
etcd,89f455be7ed060c1f8aaad0b57f53a884312da49,2022-05-05,MAINTAINERS
etcd,a722827c96162d7d06e72cadfaed223793dc4d78,2022-04-21,ROADMAP.md
etcd,efa52c4e1d637b5ec70858024167cb3bd912ffff,2022-04-20,README.md
etcd,cd8f8b9e0b5669e96f9231104f3b4dbb66b54691,2022-04-09,MAINTAINERS
etcd,494a4712488b57d1ea238de6c9a3c2524dccfd7e,2022-03-14,RELEASE.md
etcd,c4e5c1401173f006c74b219249ca3f43f9e457ff,2022-02-23,MAINTAINERS
etcd,d61e9d967fae13bd0b270070ac028ac7bbed11ca,2022-02-22,MAINTAINERS
etcd,1beae5428ed33e58638407da3d972bdfd16d798f,2022-01-28,.github/ISSUE_TEMPLATE.md
etcd,f57e4a207d17de08da593fb0ee4228e028ec4465,2022-01-26,MAINTAINERS
etcd,50b09d4f885af5a2d7f936f8cae09bc758299139,2022-01-26,README.md
etcd,2d336a11c8c7bfe7399faaebd0c4e9ff2e189b3c,2022-01-26,README.md
etcd,dc90699db2d8821f87bff77de067456970bf6075,2022-01-20,README.md
etcd,fff5c11ee97ce31851cbe371eb34b226c3abf956,2022-01-19,MAINTAINERS
etcd,fff5c11ee97ce31851cbe371eb34b226c3abf956,2022-01-19,README.md
etcd,5e06fd40da367af82aaa89360a16a8162412c600,2022-01-12,README.md
etcd,89ac2b3069b5d6e2b3f31f5d75dce006965cfb95,2021-10-23,MAINTAINERS
etcd,fa86bc542e2c7afe42951c5dba47665c352ef5e2,2021-07-08,MAINTAINERS
etcd,1c57287fc26060e9b08c30868737147fc2d504df,2021-07-03,README.md
etcd,9a6f2e085fb7ee3347b91c400b8a9caedec15300,2021-07-01,README.md
etcd,1b84b5e8dfd5fb0f29963d5e3f53a6f813619996,2021-07-01,README.md
etcd,175e235bd5143e421b997528285178223a2db19c,2021-06-18,README.md
etcd,3adb2bd57c9917c47edac54a2bb828e417d288e7,2021-06-17,README.md
etcd,09392c50592489c658d673469308d9e904df6a5b,2021-06-17,README.md
etcd,bca0717f28af264813e7b676bfb1d2ab23684b36,2021-05-16,.github/PULL_REQUEST_TEMPLATE.md
etcd,bca0717f28af264813e7b676bfb1d2ab23684b36,2021-05-16,README.md
etcd,b6562a24b61911e733fad1f0e845b2270fada177,2021-05-12,.github/SECURITY.md
etcd,5a0a1a4b4542f057a772f97abda15fea36a5fbcc,2021-05-12,CONTRIBUTING.md
etcd,6fdd82f50e5a932cf05ab314cad6bedd97185f0a,2021-05-12,README.md
etcd,f908e423bcbf63a4f38b691e2438d425d4dc3325,2021-05-12,README.md
etcd,4bc1aa93e7539f44f1f134b4bac075e01b537108,2021-05-11,README.md
etcd,3423a949c0fcb99f1dbeb30f4263728096b76472,2021-04-19,README.md
etcd,2cbd86b102f57a5510a38eed8bff38120b5c4d84,2021-04-19,README.md
etcd,1906cfdc486f3ba704d9f8b8db3a2aa433add1a9,2021-04-02,CONTRIBUTING.md
etcd,7d53a0695757b6058a9731aa9b7166baec085682,2021-03-17,README.md
etcd,d41e18817a7609bff593c74559f4802929231bb8,2021-02-25,.github/ISSUE_TEMPLATE.md
etcd,d41e18817a7609bff593c74559f4802929231bb8,2021-02-25,CONTRIBUTING.md
etcd,d41e18817a7609bff593c74559f4802929231bb8,2021-02-25,README.md
etcd,4af3bb3b017bca5b7423500afc9cda6e005a0702,2021-02-25,.github/ISSUE_TEMPLATE.md
etcd,b0949cb49f50b438808cda442a6e16f0d113f9ef,2021-02-25,.github/ISSUE_TEMPLATE.md
etcd,c4c7d5d84886830a4caf81abd3bd56aac9d9b4e2,2021-01-14,MAINTAINERS
etcd,386bf316a43ee0e25d9935661c3273acdbc42814,2020-10-11,README.md
etcd,be348f0ea64d7dc903cedf292b6c6d386762101f,2020-09-17,README.md
