repo,commit_sha,commit_date,health_file
framework,2a37790510ede480e83a26155865a260a1dc64f0,2025-06-18,CHANGELOG.md
framework,46b66aa9658a2cf1b41c707d41cbabc2ef33d940,2025-06-17,CHANGELOG.md
framework,9927480220850da30c1bdc43353aeb6aa7002b7e,2025-06-17,CHANGELOG.md
framework,c86346f6a265570c8728f194d87a5f31d70e5111,2025-06-17,CHANGELOG.md
framework,aa0be9eed00223cdd7280a226670ca489d7f5d50,2025-06-10,CHANGELOG.md
framework,2adc9b7ed1366aa11c720eeae0a0bbf4b8a132e0,2025-06-03,CHANGELOG.md
framework,0a5f42b84d0a946b6bb1258fcca223dad7055786,2025-06-03,CHANGELOG.md
framework,f880ec20247a962fd8b553f5049afe4125e9dac4,2025-05-27,CHANGELOG.md
framework,382a6d5e5c0fca1f1e3d0bf54b46fe75a757ef7f,2025-05-20,CHANGELOG.md
framework,f8cb952caa7b7c55d93e7b90a093710a35f9e7bc,2025-05-20,CHANGELOG.md
framework,a70c6f8c4466a0dcfcbbe2d6be0b1f0447a6548f,2025-05-13,CHANGELOG.md
framework,18b75334ab08d6f26c7694cdf16de4ea36eda7e4,2025-05-13,CHANGELOG.md
framework,9dae5547915401d68c167c6a31c68a4902b7c0ef,2025-05-07,CHANGELOG.md
framework,39fa0e9492393a607db23d5dd91f90f74666e474,2025-05-01,CHANGELOG.md
framework,f9a96f7b5c3b5cce391d22cdc4cc3e3da9f2656a,2025-04-30,CHANGELOG.md
framework,bcc92201ab6d786477fed578cc2e3ea4c4e1b093,2025-04-29,CHANGELOG.md
framework,3557d14ef785401e9be64eb2dd3765d67c0a5dce,2025-04-25,CHANGELOG.md
framework,32fb31d4ef210be888287aef5ce5eedfd9d49f08,2025-04-25,CHANGELOG.md
framework,1a6198b50129dbbb3a77c620ce2098796739dacb,2025-04-24,CHANGELOG.md
framework,7358937cbd9c952e3c3853c1f294a796e9f933fc,2025-04-24,CHANGELOG.md
framework,56dc3e2672695e00526351d74454dfd4074d2a0e,2025-04-23,CHANGELOG.md
framework,44e6a294e4441e9e3338008af0288979b3f677e8,2025-04-23,CHANGELOG.md
framework,a784ef91fdae0c993317f4c7386bbe5ca42417df,2025-04-23,CHANGELOG.md
framework,3faeb0726cb55b4f672bf549cc93b716545b84c2,2025-04-22,CHANGELOG.md
framework,22f61b33090b57ab154e840752b0d2dbd0a7a3d7,2025-04-16,CHANGELOG.md
framework,f5036188b8d225e86701c2079ad6b81a1c9b0579,2025-04-16,CHANGELOG.md
framework,ff4f657ca9d9af36e021a67c6eeb97949a0e27d0,2025-04-15,CHANGELOG.md
framework,25025b859bd44c054de51e06ed9d1b0a76ef8cb7,2025-04-08,CHANGELOG.md
framework,454d1905050d4f62aba9e36f60f0e37215bc3f87,2025-04-08,CHANGELOG.md
framework,84f017826b97f1927ce0fa7cf965ca52d3ebbb86,2025-04-03,CHANGELOG.md
framework,7d77b0129956f60299a9337ce3fe4e2be0820b0a,2025-04-03,CHANGELOG.md
framework,ea7742a9fb6e7f6743bdeaffd745eaee5032b62f,2025-04-03,CHANGELOG.md
framework,e6b7c31fae5f7a41d90296f951a4f953c3e27c86,2025-04-02,CHANGELOG.md
framework,11948174215013f405cc923e7f761b9649d90b72,2025-04-01,CHANGELOG.md
framework,1409a7b287294ca5f76a164118a7da98a0570f05,2025-03-30,CHANGELOG.md
framework,450f8803ce022b3b73c7b97f45e2cea82e10e0bf,2025-03-29,CHANGELOG.md
framework,704555cbc6f1ad979209a5a410243f88bad4e3e2,2025-03-18,CHANGELOG.md
framework,be9dea9a6ad4323514dc25736b0126e5455e17d7,2025-03-12,CHANGELOG.md
framework,88bdf4763998eb4d0ceddb85b41c2ed5eeb348c9,2025-03-12,CHANGELOG.md
framework,2a2050214ded9ff176e1f1e7e8a254baa2f539a6,2025-03-05,CHANGELOG.md
framework,3dd1872b48873a84d58e395e3aff984da6442127,2025-03-05,CHANGELOG.md
framework,761b42613af571e175255b03aedbc2cd7e0b7e65,2025-03-04,CHANGELOG.md
framework,abf823f36b5cb31b910cbbb14225dccfeeb52263,2025-02-24,CHANGELOG.md
framework,376e9f19da9cc37858a55572a9d2ef0be9830c35,2025-02-24,CHANGELOG.md
framework,9de752590837b8a056f9b18c493907f83c86ae9c,2025-02-24,CHANGELOG.md
framework,fe4ea95e375924276b99d662743ddbdc41a8a9ef,2025-02-19,CHANGELOG.md
framework,6e41df67763ad3d39e8c9da08521acf7f60bce5f,2025-02-19,CHANGELOG.md
framework,c6820d9831a95a050c1e16241784a5530f994165,2025-02-18,CHANGELOG.md
framework,966a22ac8f7a5191e17818ce5eb5d0df2543e114,2025-02-12,CHANGELOG.md
framework,df2f224d35dc745cb8dac531badad691445652ae,2025-02-11,CHANGELOG.md
framework,dd5c90d39a7a0bbb1e9a5fdb8931806d2fef4e73,2025-01-31,CHANGELOG.md
framework,a267443d132f5cefa3887f363a32f6efc390d870,2025-01-30,CHANGELOG.md
framework,38be038e34ce26578bbf0750b63d8c4a66ab7f82,2025-01-30,CHANGELOG.md
framework,3d98cf668d99b0f957542e1a8032bcd1f058af17,2025-01-30,CHANGELOG.md
framework,850963734fdf9ef2246a0de836575a4450668d09,2025-01-28,CHANGELOG.md
framework,ecc005024251a1710fb3e16881ac006ce2eb2e86,2025-01-24,CHANGELOG.md
framework,9bba0f7614896dd8ba4c123eb8d2454cffa7fa77,2025-01-22,CHANGELOG.md
framework,1fa6b1f18c981d3f45dc88ec2aea26148a2168b9,2025-01-21,CHANGELOG.md
framework,b504a739f63440bfd59696be2bf8d79bd7d87ebf,2025-01-21,CHANGELOG.md
framework,6eaa4b3a4d3961d90ba90def9f141367a82ac995,2025-01-15,CHANGELOG.md
framework,74587500c575b3fd278252eaa5aa4b04ec625b38,2025-01-14,CHANGELOG.md
framework,f99942d29315841fc8334d03d39a5d87ffc002b4,2025-01-14,CHANGELOG.md
framework,ee8dcf1f4e4243b2e7ebaf4bf49a3988a6a500f1,2025-01-02,CHANGELOG.md
framework,df198665a936d028e7dea3b9850d9f69e0015934,2024-12-17,CHANGELOG.md
framework,3ac290c1a551bd6aaf2c2cc46cec1e42facae0e4,2024-12-17,CHANGELOG.md
framework,874d753c7959b74f2966a8f8016f3ff744ef0174,2024-12-12,CHANGELOG.md
framework,0755902b42fe1dfee63fa1203a6f964e3bd822f9,2024-12-10,CHANGELOG.md
framework,8ffd13c6c66d431450a08d78005feac2c332c72b,2024-11-27,CHANGELOG.md
framework,e7b12ff811e4955224d292962d2f369627c6a47b,2024-11-26,CHANGELOG.md
framework,3dcbda210ddd755af269f26fab37ff14ff6e9e09,2024-11-26,CHANGELOG.md
framework,a9acf847e1b49acc87b3fe64ea942380eb382088,2024-11-26,CHANGELOG.md
framework,a0da1ea6bf4c62bb4a0895155e143c6a9e8b2471,2024-11-20,CHANGELOG.md
framework,59bf3bfc0f9acce5b1d11c08ddba01f82201c678,2024-11-19,CHANGELOG.md
framework,3c672db23565c035903104e5329b5b32df560382,2024-11-19,CHANGELOG.md
framework,e8c9f0ae9e2dd217e349d57bd143779c697d5536,2024-11-19,CHANGELOG.md
framework,835cb93346e63a33bfb3c73180a3a0e3d0e4e60c,2024-11-15,CHANGELOG.md
framework,9dee495a84732b76b3e943d6fde093029a50768b,2024-11-12,CHANGELOG.md
framework,923ee74bff9aeb16919f7bfbc14cde9091b4949b,2024-11-12,CHANGELOG.md
framework,6bed63f07c3b9ffc187fa3161cf116c43d6b41eb,2024-10-30,CHANGELOG.md
framework,4b5ce19b3bbe1d317585d4b98da66fbb6e7357af,2024-10-22,CHANGELOG.md
framework,94f5888c9decde0444976faf4e61bc022365d4b0,2024-10-16,CHANGELOG.md
framework,b69ba70e268a25fd91026e3b7ca8a13f5e2ca838,2024-10-15,CHANGELOG.md
framework,cf4bfd6732bbc4c1f4afecde56bd00e79629ae84,2024-10-09,CHANGELOG.md
framework,d96127964a3ea1b654ae7f1fb10754c00e737c2c,2024-10-08,CHANGELOG.md
framework,6715c440d5aeaa668c49e4178a9b70ec82e3bcbe,2024-10-08,CHANGELOG.md
framework,25873116d90107414a21ab22a3b20e5a802f9a26,2024-10-01,CHANGELOG.md
framework,0d7842256c3441aef0aa3408a704c62096405090,2024-09-26,CHANGELOG.md
framework,09aaeb40cb7c21b4837305c4561164997c45f090,2024-09-25,CHANGELOG.md
framework,81dde578204efcbdd30f24ae813f316f196612eb,2024-09-24,CHANGELOG.md
framework,e2196b182a375fb6e7ecdaf8ad80fd708a75326c,2024-09-13,CHANGELOG.md
framework,1b3ef8f48a3b4fe8c9a601c0c051422592f0d19f,2024-09-12,CHANGELOG.md
framework,73f36e14ec4372cb7b9a62c62042640f5843cb74,2024-09-12,CHANGELOG.md
framework,042c267059bc8aa284af5579d3f6e69624b9519a,2024-09-11,CHANGELOG.md
framework,1c1aeb52e5bf3b128665260312a099d1d971b417,2024-09-11,CHANGELOG.md
framework,02caa90584bc39a325ddf6c6488ef7be0f8b3aa7,2024-09-11,CHANGELOG.md
framework,7a3166c8d6a2cb6e5c0890ad6a5b7067ba7d2a20,2024-09-03,CHANGELOG.md
framework,ecb3fa799a9a221ea1ec6ebc06c8e87afda74ab3,2024-08-20,CHANGELOG.md
framework,05a9554ac0c7361504a54e350787aba84d028ce7,2024-08-09,CHANGELOG.md
framework,6c07bcaa0784c8bf751e9f78cf805cbf2a6cdbc3,2024-08-06,CHANGELOG.md
framework,763b942466f310cb83b711bf9cd243c5b161cd07,2024-08-06,CHANGELOG.md
framework,8f10e792c4cc59b26eae5c2bc818e379571fdd54,2024-08-01,.github/SECURITY.md
framework,516bf8d73d678eefce7a7ca3efea6904b83e0036,2024-07-30,CHANGELOG.md
framework,639a2ee9ba16e5cff0a20fbe348c69487e681506,2024-07-30,CHANGELOG.md
framework,8ca1b5bbb9811585b58154a9e69aa0c67583e097,2024-07-26,CHANGELOG.md
framework,f505304ff702d837cec45e2d45448b78dbae56a4,2024-07-26,CHANGELOG.md
framework,82f9d3d6ec6e6f8923bc5fce2ea2ca79e133e6e2,2024-07-23,CHANGELOG.md
framework,c278f6ccb8ac3b25dbe41c89a40e6416a16b96b4,2024-07-23,CHANGELOG.md
framework,db9e7f140886d5e0402e5523b36e9700f8bda154,2024-07-16,CHANGELOG.md
framework,68e88bbcee1e9b0b02ca267916ee25f45ab3935c,2024-07-09,CHANGELOG.md
framework,e052cb83b0bbd73c0359d1ab3770c0d0a1831f23,2024-07-09,CHANGELOG.md
framework,500d93a008fec1f135352bfd446c7f2177800919,2024-07-02,CHANGELOG.md
framework,f14318f1e4f5acb38c676381a014cd40d1842fc8,2024-07-02,CHANGELOG.md
framework,ade813aa4b866268bc2131b89c67dbf6ade787da,2024-06-27,CHANGELOG.md
framework,ef374dbada8f915790bbfaffd431c4dc785a3176,2024-06-25,CHANGELOG.md
framework,35f07d3d3ceafc748f6301b5f4520dbd15924e36,2024-06-21,CHANGELOG.md
framework,9a650d5d164d57634b645467b7d977b385624d10,2024-06-20,CHANGELOG.md
framework,ae63a5b968f764ad0c5ecd86669bcc5fb8be90f7,2024-06-18,CHANGELOG.md
framework,a7538760e2dfb744e1e6d26bae16d75749f343f2,2024-06-18,CHANGELOG.md
framework,af3648fb36e6267930b25567dc152a48d1cd8adb,2024-06-04,CHANGELOG.md
framework,683e9bc6c9a8bfc65665b2761526ffa7e9f2e8b3,2024-05-30,CHANGELOG.md
